source_id,run_id,started_at,finished_at,run_status,run_source_url,records_seen,records_loaded,message,fetch_rowid,fetch_source_url,fetched_at,content_sha256,bytes
moncloa_referencias,151,2026-02-16T12:37:45+00:00,2026-02-16T12:37:54+00:00,ok,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/samples/moncloa_referencias_sample.html",3,3,"Ingesta completada: 3/3 registros validos (from-file)",151,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/samples/moncloa_referencias_sample.html",2026-02-16T12:37:45+00:00,112150bf3b49a83617a890e9c78b9bcdfb509acfd7adb8744a9b407fdbdb8d23,2285
moncloa_referencias,154,2026-02-16T14:53:08+00:00,2026-02-16T14:53:18+00:00,ok,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",20,20,"Ingesta completada: 20/20 registros validos (from-dir)",154,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",2026-02-16T14:53:08+00:00,ab08b7dc09a46c890f055e95fdeac5e7d716a5023f8792f19ce440a239271ddf,21234
moncloa_referencias,157,2026-02-16T16:00:17+00:00,2026-02-16T16:00:20+00:00,error,https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/index.aspx,0,0,"Error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,,,,
moncloa_referencias,159,2026-02-16T16:00:27+00:00,2026-02-16T16:00:37+00:00,ok,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",20,20,"Ingesta completada: 20/20 registros validos (from-dir)",159,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",2026-02-16T16:00:27+00:00,ab08b7dc09a46c890f055e95fdeac5e7d716a5023f8792f19ce440a239271ddf,21234
moncloa_referencias,161,2026-02-16T16:04:52+00:00,2026-02-16T16:05:08+00:00,ok,https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/index.aspx,2,2,"Ingesta completada: 2/2 registros validos",161,https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/index.aspx,2026-02-16T16:04:58+00:00,81edee6b508d2e50cdb9679ef9815fc01ca8936af3253cfe2690c7d0cd76bce2,2079
moncloa_referencias,162,2026-02-16T16:05:08+00:00,2026-02-16T16:05:16+00:00,ok,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",20,20,"Ingesta completada: 20/20 registros validos (from-dir)",162,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",2026-02-16T16:05:08+00:00,ab08b7dc09a46c890f055e95fdeac5e7d716a5023f8792f19ce440a239271ddf,21234
moncloa_referencias,165,2026-02-16T16:06:35+00:00,2026-02-16T16:06:50+00:00,ok,https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/index.aspx,2,2,"Ingesta completada: 2/2 registros validos",165,https://www.lamoncloa.gob.es/consejodeministros/referencias/paginas/index.aspx,2026-02-16T16:06:40+00:00,81edee6b508d2e50cdb9679ef9815fc01ca8936af3253cfe2690c7d0cd76bce2,2079
moncloa_referencias,166,2026-02-16T16:06:50+00:00,2026-02-16T16:07:01+00:00,ok,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",20,20,"Ingesta completada: 20/20 registros validos (from-dir)",166,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/manual/moncloa_exec/ai-ops-04-20260216",2026-02-16T16:06:50+00:00,ab08b7dc09a46c890f055e95fdeac5e7d716a5023f8792f19ce440a239271ddf,21234
moncloa_rss_referencias,152,2026-02-16T12:37:45+00:00,2026-02-16T12:37:50+00:00,error,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/samples/moncloa_rss_referencias_sample.xml",0,0,"Error: database is locked",,,,,
moncloa_rss_referencias,153,2026-02-16T12:38:00+00:00,2026-02-16T12:38:07+00:00,ok,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/samples/moncloa_rss_referencias_sample.xml",4,4,"Ingesta completada: 4/4 registros validos (from-file)",153,"file://REPO_ROOT/vota-con-la-chola/etl/data/raw/samples/moncloa_rss_referencias_sample.xml",2026-02-16T12:38:00+00:00,61dc7a736f1f2e74ee5c8e9f7c391e3e8d0a7d3cf2470ce95460680d9f11d977,4548
