source_id,runs_total,runs_ok,max_loaded_any,max_loaded_network,last_loaded
asamblea_ceuta_diputados,3,2,25,25,25
asamblea_extremadura_diputados,1,1,65,65,65
asamblea_madrid_ocupaciones,3,3,9188,9188,9188
asamblea_melilla_diputados,3,3,26,26,26
asamblea_murcia_diputados,1,1,54,54,54
congreso_diputados,7,6,350,350,350
congreso_iniciativas,4,4,491,491,491
congreso_intervenciones,2,1,614,614,614
congreso_votaciones,20,12,300,300,40
cortes_aragon_diputados,10,5,75,75,75
cortes_clm_diputados,1,1,33,33,33
cortes_cyl_procuradores,1,1,81,81,81
corts_valencianes_diputats,2,2,99,99,99
europarl_meps,4,4,60,60,60
infoelectoral_descargas,3,3,263,263,263
infoelectoral_procesos,6,5,257,257,257
jgpa_diputados,1,1,45,45,45
moncloa_referencias,8,7,20,2,20
moncloa_rss_referencias,10,8,8,8,8
municipal_concejales,2,2,66895,66895,66895
parlament_balears_diputats,1,1,59,59,59
parlament_catalunya_diputats,1,1,135,135,135
parlamento_andalucia_diputados,1,1,109,109,109
parlamento_canarias_diputados,1,1,79,79,79
parlamento_cantabria_diputados,2,2,35,35,35
parlamento_galicia_deputados,8,5,75,0,75
parlamento_larioja_diputados,1,1,33,33,33
parlamento_navarra_parlamentarios_forales,8,3,50,50,50
parlamento_vasco_parlamentarios,1,1,75,75,75
senado_iniciativas,5,4,3607,3607,3607
senado_senadores,8,6,1560,1560,1560
senado_votaciones,43,28,5534,5534,1
