metric,value
source_id,bdns_api_subvenciones
mode,from-file
command,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --from-file etl/data/raw/samples/bdns_api_subvenciones_sample.json --snapshot-date 2026-02-17 --timeout 30
exit_code,0
before_records,3
after_records,3
delta_records,0
run_id,200
run_status,ok
run_records_seen,3
run_records_loaded,3
run_started_at,2026-02-17T08:45:01+00:00
run_finished_at,2026-02-17T08:45:08+00:00
snapshot,2026-02-17
