date,value,value_text,source_id,frequency,unit
2026-02-13,0.0,,aemet_opendata_series,D,mm
2026-02-13,9.2,,aemet_opendata_series,D,degC
2026-02-14,1.2,,aemet_opendata_series,D,mm
2026-02-14,8.7,,aemet_opendata_series,D,degC
2026-02-15,0.0,,aemet_opendata_series,D,mm
2026-02-15,10.1,,aemet_opendata_series,D,degC
2025-11-01,11.7,,bde_series_api,M,PERCENT
2025-11-01,3.98,,bde_series_api,M,%
2025-12-01,11.5,,bde_series_api,M,PERCENT
2025-12-01,4.02,,bde_series_api,M,%
2026-01-01,11.4,,bde_series_api,M,PERCENT
2026-01-01,4.1,,bde_series_api,M,%
2003-01-01,2193.0,,eurostat_sdmx,A,THS_PER
2003-01-01,1058.0,,eurostat_sdmx,A,THS_PER
2003-01-01,863.0,,eurostat_sdmx,A,THS_PER
2003-01-01,7.5,,eurostat_sdmx,A,PC_ACT
2003-01-01,7.4,,eurostat_sdmx,A,PC_ACT
2003-01-01,1659.0,,eurostat_sdmx,A,THS_PER
2003-01-01,8.0,,eurostat_sdmx,A,PC_POP
2003-01-01,0.9,,eurostat_sdmx,A,PC_POP
2003-01-01,6.3,,eurostat_sdmx,A,PC_POP
2003-01-01,856.0,,eurostat_sdmx,A,THS_PER
2003-01-01,796.0,,eurostat_sdmx,A,THS_PER
2003-01-01,7.5,,eurostat_sdmx,A,PC_POP
2003-01-01,20.1,,eurostat_sdmx,A,PC_ACT
