metric,value
source_id,placsp_sindicacion
mode,from-file
command,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source placsp_sindicacion --from-file etl/data/raw/samples/placsp_sindicacion_sample.xml --snapshot-date 2026-02-17 --timeout 30
exit_code,0
before_records,109
after_records,109
delta_records,0
run_id,193
run_status,ok
run_records_seen,3
run_records_loaded,3
run_started_at,2026-02-17T08:42:52+00:00
run_finished_at,2026-02-17T08:42:58+00:00
snapshot,20260217
