policy_event_id,source_id,source_record_pk,source_url,title,summary,policy_instrument_id,domain_id
money:bdns:bdns_api_subvenciones:concesion:bdnsc_2026_9001,bdns_subvenciones,126519,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/convocatorias/1001,BDNS-2026-1001 - Empresa Solar SA,Ministerio de Industria y Turismo,22,
money:bdns:bdns_api_subvenciones:concesion:bdnsc_2026_9002,bdns_subvenciones,126520,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/concesiones/9002,BDNS-2026-1002 - Cooperativa Agricola Norte,"Ministerio de Agricultura, Pesca y Alimentacion",22,
money:bdns:bdns_api_subvenciones:conv:bdns_2026_1003:ben:asociacion_cultural_centro,bdns_subvenciones,126521,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/concesiones/9003,BDNS-2026-1003 - Asociacion Cultural Centro,Ministerio de Cultura,22,
money:bdns:bdns_autonomico:concesion:auto_and_2026_3001,bdns_subvenciones,126857,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/autonomico/andalucia/3001,AUTO-AND-2026-2001 - Fundacion Innova Sur,Junta de Andalucia,22,
money:bdns:bdns_autonomico:conv:auto_cat_2026_2002:ben:centre_tecnologic_delta,bdns_subvenciones,126858,https://www.pap.hacienda.gob.es/bdnstrans/GE/es/autonomico/catalunya/3002,AUTO-CAT-2026-2002 - Centre Tecnologic Delta,Generalitat de Catalunya,22,
money:placsp:placsp_autonomico:expediente:and_2026_0001:4f1665224f97,placsp_contratacion,126852,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=and0001,Licitacion regional - Expediente: AND-2026-0001,Junta de Andalucia - Servicio Andaluz de Salud | 85100000,21,
money:placsp:placsp_autonomico:expediente:cat_2026_0002:575bfd60c21e,placsp_contratacion,126853,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=cat0002,Licitacion regional - Expediente: CAT-2026-0002,Generalitat de Catalunya | 79710000,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_14295729:7df26e03b5a8,placsp_contratacion,126746,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YpBmklhcyac%2B1TMyIiZmzw%3D%3D,Suministro de material de ferretería para las actuaciones del ámbito territorial de la gerencia provincial de Tragsa en Cádiz,,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_15119410:d9ff0adf5cce,placsp_contratacion,126747,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=goqRPz%2BrOK25HQrHoP3G5A%3D%3D,"Redacción de los proyectos técnicos y dirección de obra de la primera fase constructiva del proceso de transformación del recinto ferial de la Institución Ferial de Canarias, INFECAR (plaza ferial, zonas de servicio, punto limpio, instalaciones y espacios libres)",,21,
money:placsp:placsp_autonomico:expediente:contrataciondelestadoes_sindicacion_licitacionesperfilcontratante_15731539:b907de87e1a5,placsp_contratacion,126748,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Vokq9%2BVZGCLI8aL3PRS10Q%3D%3D,"Suministro e instalación de LMT 20 KV, CT 1000 KVA, CS con media y Línea aérea de BT para la obra de Modernización de la Zona Regable Tierras de Almería (Almería), En el marco del Plan de Recuperación, Transformación y Resiliencia. Financiado por la Unión Europea - NEXT GENERATIONEU.",,21,
