metric,value
schema_version,v2
source_id,bdns_autonomico
mode,strict-network
exit_code,1
run_records_loaded,0
snapshot_date,2026-02-17
run_id,202
run_status,error
run_records_seen,0
before_records,0
after_records,0
delta_records,0
run_started_at,2026-02-17T08:45:08+00:00
run_finished_at,2026-02-17T08:45:09+00:00
source_url,
command,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --snapshot-date 2026-02-17 --strict-network --timeout 30
message,
source_record_id,
entity_id,
