schema_version,source_id,mode,exit_code,run_records_loaded,snapshot_date,run_id,run_status,run_records_seen,before_records,after_records,delta_records,run_started_at,run_finished_at,source_url,command,message,source_record_id,entity_id,_origin_file
v2,aemet_opendata_series,from-file,0,2,2026-02-17,246,ok,2,2,2,0,2026-02-17T10:40:35+00:00,2026-02-17T10:40:44+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/aemet_opendata_series_sample.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source aemet_opendata_series --from-file etl/data/raw/samples/aemet_opendata_series_sample.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/aemet-sql/aemet_opendata_series__from-file_run_snapshot.csv
v2,aemet_opendata_series,replay,0,2,2026-02-17,247,ok,2,2,2,0,2026-02-17T10:40:49+00:00,2026-02-17T10:40:50+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source aemet_opendata_series --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/aemet-sql/aemet_opendata_series__replay_run_snapshot.csv
v2,aemet_opendata_series,strict-network,1,0,2026-02-17,245,error,0,2,2,0,2026-02-17T10:40:29+00:00,2026-02-17T10:40:30+00:00,https://opendata.aemet.es/opendata/api/valores/climatologicos,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source aemet_opendata_series --url https://opendata.aemet.es/opendata/api/valores/climatologicos --snapshot-date 2026-02-17 --strict-network --timeout 30,Error: aemet_blocker=contract; error_type=HTTPError; detail=HTTP Error 404: No Encontrado,,,docs/etl/sprints/AI-OPS-10/evidence/aemet-sql/aemet_opendata_series__strict-network_run_snapshot.csv
v2,bde_series_api,from-file,0,2,2026-02-17,243,ok,2,2,2,0,2026-02-17T10:38:36+00:00,2026-02-17T10:38:45+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/bde_series_api_sample.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bde_series_api --from-file etl/data/raw/samples/bde_series_api_sample.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/bde-sql/bde_series_api__from-file_run_snapshot.csv
v2,bde_series_api,replay,0,2,2026-02-17,244,ok,2,2,2,0,2026-02-17T10:38:51+00:00,2026-02-17T10:38:59+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bde_series_api --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/bde-sql/bde_series_api__replay_run_snapshot.csv
v2,bde_series_api,strict-network,1,0,2026-02-17,242,error,0,2,2,0,2026-02-17T10:38:28+00:00,2026-02-17T10:38:32+00:00,https://api.bde.es/datos/series/PARO.TASA.ES.M,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bde_series_api --url https://api.bde.es/datos/series/PARO.TASA.ES.M --snapshot-date 2026-02-17 --strict-network --timeout 30,"Error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",,,docs/etl/sprints/AI-OPS-10/evidence/bde-sql/bde_series_api__strict-network_run_snapshot.csv
v2,bdns_api_subvenciones,from-file,0,3,2026-02-17,237,ok,3,3,3,0,2026-02-17T10:34:57+00:00,2026-02-17T10:35:04+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/bdns_api_subvenciones_sample.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --from-file etl/data/raw/samples/bdns_api_subvenciones_sample.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 3/3 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_api_subvenciones__from-file_run_snapshot.csv
v2,bdns_api_subvenciones,replay,0,3,2026-02-17,238,ok,3,3,3,0,2026-02-17T10:35:10+00:00,2026-02-17T10:35:17+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 3/3 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_api_subvenciones__replay_run_snapshot.csv
v2,bdns_autonomico,from-file,0,2,2026-02-17,235,ok,2,2,2,0,2026-02-17T10:34:32+00:00,2026-02-17T10:34:41+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/etl/data/raw/samples/bdns_autonomico_sample.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --from-file etl/data/raw/samples/bdns_autonomico_sample.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_autonomico__from-file_run_snapshot.csv
v2,bdns_autonomico,replay,0,2,2026-02-17,236,ok,2,2,2,0,2026-02-17T10:34:45+00:00,2026-02-17T10:34:53+00:00,file:///Users/jesus/Library/CloudStorage/GoogleDrive-gsus123456@gmail.com/My Drive/CdC/Obsidian Vault/vota-con-la-chola/docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json,python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_autonomico --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_autonomico/bdns_autonomico_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45,Ingesta completada: 2/2 registros validos (from-file),,,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_autonomico__replay_run_snapshot.csv
