source_id,run_id,run_status,run_records_seen,run_records_loaded,source_records_total,run_started_at,run_finished_at,message,generated_at,_origin_file
aemet_opendata_series,246,ok,2,2,2,2026-02-17T10:40:35+00:00,2026-02-17T10:40:44+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:40:44+00:00,docs/etl/sprints/AI-OPS-10/evidence/aemet-sql/aemet_opendata_series__from-file_source_records_snapshot.csv
aemet_opendata_series,247,ok,2,2,2,2026-02-17T10:40:49+00:00,2026-02-17T10:40:50+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:40:50+00:00,docs/etl/sprints/AI-OPS-10/evidence/aemet-sql/aemet_opendata_series__replay_source_records_snapshot.csv
aemet_opendata_series,245,error,0,0,2,2026-02-17T10:40:29+00:00,2026-02-17T10:40:30+00:00,Error: aemet_blocker=contract; error_type=HTTPError; detail=HTTP Error 404: No Encontrado,2026-02-17T10:40:30+00:00,docs/etl/sprints/AI-OPS-10/evidence/aemet-sql/aemet_opendata_series__strict-network_source_records_snapshot.csv
bde_series_api,243,ok,2,2,2,2026-02-17T10:38:36+00:00,2026-02-17T10:38:45+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:38:46+00:00,docs/etl/sprints/AI-OPS-10/evidence/bde-sql/bde_series_api__from-file_source_records_snapshot.csv
bde_series_api,244,ok,2,2,2,2026-02-17T10:38:51+00:00,2026-02-17T10:38:59+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:38:59+00:00,docs/etl/sprints/AI-OPS-10/evidence/bde-sql/bde_series_api__replay_source_records_snapshot.csv
bde_series_api,242,error,0,0,2,2026-02-17T10:38:28+00:00,2026-02-17T10:38:32+00:00,"Error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",2026-02-17T10:38:32+00:00,docs/etl/sprints/AI-OPS-10/evidence/bde-sql/bde_series_api__strict-network_source_records_snapshot.csv
bdns_api_subvenciones,237,ok,3,3,3,2026-02-17T10:34:57+00:00,2026-02-17T10:35:04+00:00,Ingesta completada: 3/3 registros validos (from-file),2026-02-17T10:35:05+00:00,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_api_subvenciones__from-file_source_records_snapshot.csv
bdns_api_subvenciones,238,ok,3,3,3,2026-02-17T10:35:10+00:00,2026-02-17T10:35:17+00:00,Ingesta completada: 3/3 registros validos (from-file),2026-02-17T10:35:17+00:00,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_api_subvenciones__replay_source_records_snapshot.csv
bdns_autonomico,235,ok,2,2,2,2026-02-17T10:34:32+00:00,2026-02-17T10:34:41+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:34:41+00:00,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_autonomico__from-file_source_records_snapshot.csv
bdns_autonomico,236,ok,2,2,2,2026-02-17T10:34:45+00:00,2026-02-17T10:34:53+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:34:53+00:00,docs/etl/sprints/AI-OPS-10/evidence/bdns-replay-sql/bdns_autonomico__replay_source_records_snapshot.csv
bdns_api_subvenciones,233,error,0,0,3,2026-02-17T10:33:19+00:00,2026-02-17T10:33:20+00:00,Error: Respuesta HTML inesperada para BDNS feed (payload_sig=0401a40b059385b8a4d3e2fd933fe16213e22dd72df2f2fe2cdbd2872114c2fa),2026-02-17T10:33:20+00:00,docs/etl/sprints/AI-OPS-10/evidence/bdns-strict-sql/bdns_api_subvenciones__strict-network_source_records_snapshot.csv
bdns_autonomico,234,error,0,0,2,2026-02-17T10:33:19+00:00,2026-02-17T10:33:20+00:00,Error: Respuesta HTML inesperada para BDNS feed (payload_sig=0401a40b059385b8a4d3e2fd933fe16213e22dd72df2f2fe2cdbd2872114c2fa),2026-02-17T10:33:20+00:00,docs/etl/sprints/AI-OPS-10/evidence/bdns-strict-sql/bdns_autonomico__strict-network_source_records_snapshot.csv
eurostat_sdmx,240,ok,2,2,2396,2026-02-17T10:36:59+00:00,2026-02-17T10:37:06+00:00,Ingesta completada: 2/2 registros validos (from-file),2026-02-17T10:37:06+00:00,docs/etl/sprints/AI-OPS-10/evidence/eurostat-sql/eurostat_sdmx__from-file_source_records_snapshot.csv
