metric,value
captured_at_utc,2026-02-17T12:09:05Z
computed_method_combined,68612
computed_method_declared,239
computed_method_votes,68528
topic_positions_max_as_of_date,2026-02-16
topic_positions_total,137379
topic_positions_with_evidence_count,137379
topic_set_1_high_stakes_coverage_pct,20.00
topic_set_1_high_stakes_pairs,60
topic_set_1_high_stakes_pairs_with_position,12
topic_set_1_latest_as_of_date,2026-02-16
topic_set_1_rows_latest,164
topic_set_2_high_stakes_coverage_pct,95.83
topic_set_2_high_stakes_pairs,24
topic_set_2_high_stakes_pairs_with_position,23
topic_set_2_latest_as_of_date,2026-02-12
topic_set_2_rows_latest,11916
