metric,value
captured_at_utc,2026-02-17T12:10:06Z
recompute_exit_code,0
recompute_as_of_date,2026-02-16
computed_method_combined,68612
computed_method_declared,239
computed_method_votes,137056
topic_positions_max_as_of_date,2026-02-16
topic_positions_total,205907
topic_positions_with_evidence_count,205907
topic_set_1_high_stakes_coverage_pct,100.00
topic_set_1_high_stakes_pairs,60
topic_set_1_high_stakes_pairs_with_position,60
topic_set_1_latest_as_of_date,2026-02-16
topic_set_1_rows_latest,62734
topic_set_2_high_stakes_coverage_pct,95.83
topic_set_2_high_stakes_pairs,24
topic_set_2_high_stakes_pairs_with_position,23
topic_set_2_latest_as_of_date,2026-02-16
topic_set_2_rows_latest,5958
