queue_key,csv_line,priority,reason,sanction_source_id,kpi_id,period_date,metric_key,source_url
line:2:missing_required_field,2,100,missing_required_field,es:sanctions:tear_resolutions,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:tear_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:3:missing_required_field,3,100,missing_required_field,es:sanctions:tear_resolutions,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:tear_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:4:missing_required_field,4,100,missing_required_field,es:sanctions:tear_resolutions,kpi:resolution_delay_p90_days,2025-12-31,kpi:resolution_delay_p90_days|es:sanctions:tear_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:5:missing_required_field,5,100,missing_required_field,es:sanctions:teac_resolutions,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:teac_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:6:missing_required_field,6,100,missing_required_field,es:sanctions:teac_resolutions,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:teac_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:7:missing_required_field,7,100,missing_required_field,es:sanctions:teac_resolutions,kpi:resolution_delay_p90_days,2025-12-31,kpi:resolution_delay_p90_days|es:sanctions:teac_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:8:missing_required_field,8,100,missing_required_field,es:sanctions:contencioso_sentencias,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,https://www.poderjudicial.es/
line:9:missing_required_field,9,100,missing_required_field,es:sanctions:contencioso_sentencias,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,https://www.poderjudicial.es/
line:10:missing_required_field,10,100,missing_required_field,es:sanctions:contencioso_sentencias,kpi:resolution_delay_p90_days,2025-12-31,kpi:resolution_delay_p90_days|es:sanctions:contencioso_sentencias|2025-12-31|year,https://www.poderjudicial.es/
line:11:missing_required_field,11,100,missing_required_field,es:sanctions:defensor_pueblo_quejas,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,https://www.defensordelpueblo.es/
line:12:missing_required_field,12,100,missing_required_field,es:sanctions:defensor_pueblo_quejas,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,https://www.defensordelpueblo.es/
line:13:missing_required_field,13,100,missing_required_field,es:sanctions:defensor_pueblo_quejas,kpi:resolution_delay_p90_days,2025-12-31,kpi:resolution_delay_p90_days|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,https://www.defensordelpueblo.es/
line:2:missing_ratio_components,2,70,missing_ratio_components,es:sanctions:tear_resolutions,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:tear_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:3:missing_ratio_components,3,70,missing_ratio_components,es:sanctions:tear_resolutions,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:tear_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:5:missing_ratio_components,5,70,missing_ratio_components,es:sanctions:teac_resolutions,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:teac_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:6:missing_ratio_components,6,70,missing_ratio_components,es:sanctions:teac_resolutions,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:teac_resolutions|2025-12-31|year,https://sede.agenciatributaria.gob.es/
line:8:missing_ratio_components,8,70,missing_ratio_components,es:sanctions:contencioso_sentencias,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,https://www.poderjudicial.es/
line:9:missing_ratio_components,9,70,missing_ratio_components,es:sanctions:contencioso_sentencias,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:contencioso_sentencias|2025-12-31|year,https://www.poderjudicial.es/
line:11:missing_ratio_components,11,70,missing_ratio_components,es:sanctions:defensor_pueblo_quejas,kpi:formal_annulment_rate,2025-12-31,kpi:formal_annulment_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,https://www.defensordelpueblo.es/
line:12:missing_ratio_components,12,70,missing_ratio_components,es:sanctions:defensor_pueblo_quejas,kpi:recurso_estimation_rate,2025-12-31,kpi:recurso_estimation_rate|es:sanctions:defensor_pueblo_quejas|2025-12-31|year,https://www.defensordelpueblo.es/
