kind,id,label,value
meta,topic_set_id,,1
meta,as_of_date,,2026-02-16
meta,computed_method,,combined
meta,computed_version,,v1
total,topics_total,,200
total,topics_high_stakes,,60
total,parties_total,,16
total,party_topic_positions_total,,3200
concern,seguridad_justicia,Seguridad y justicia,37
concern,empleo,Empleo,14
concern,energia,Energia,11
concern,transporte,Transporte,11
concern,corrupcion,Corrupcion,10
concern,campo_rural,Campo y mundo rural,9
concern,educacion,Educacion,9
concern,coste_vida,Coste de vida,8
concern,vivienda,Vivienda,8
concern,igualdad,Igualdad,6
concern,inmigracion,Inmigracion,6
concern,sanidad,Sanidad,3
