queue_key,sanction_source_id,kpi_id,kpi_label,period_date,period_granularity,label,organismo,source_url,metric_exists,source_record_present,evidence_present,metric_key,metric_key_expected,status,priority,next_action
es:sanctions:contencioso_sentencias|kpi:formal_annulment_rate|all|all,es:sanctions:contencioso_sentencias,kpi:formal_annulment_rate,Formal annulment rate,,,Contentious-administrative judgments,Poder Judicial,https://www.poderjudicial.es/,False,False,False,,kpi:formal_annulment_rate|es:sanctions:contencioso_sentencias,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:contencioso_sentencias|kpi:recurso_estimation_rate|all|all,es:sanctions:contencioso_sentencias,kpi:recurso_estimation_rate,Resource estimation rate,,,Contentious-administrative judgments,Poder Judicial,https://www.poderjudicial.es/,False,False,False,,kpi:recurso_estimation_rate|es:sanctions:contencioso_sentencias,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:contencioso_sentencias|kpi:resolution_delay_p90_days|all|all,es:sanctions:contencioso_sentencias,kpi:resolution_delay_p90_days,Resolution delay p90 (days),,,Contentious-administrative judgments,Poder Judicial,https://www.poderjudicial.es/,False,False,False,,kpi:resolution_delay_p90_days|es:sanctions:contencioso_sentencias,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:defensor_pueblo_quejas|kpi:formal_annulment_rate|all|all,es:sanctions:defensor_pueblo_quejas,kpi:formal_annulment_rate,Formal annulment rate,,,Defensor del Pueblo complaints,Defensor del Pueblo,https://www.defensordelpueblo.es/,False,False,False,,kpi:formal_annulment_rate|es:sanctions:defensor_pueblo_quejas,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:defensor_pueblo_quejas|kpi:recurso_estimation_rate|all|all,es:sanctions:defensor_pueblo_quejas,kpi:recurso_estimation_rate,Resource estimation rate,,,Defensor del Pueblo complaints,Defensor del Pueblo,https://www.defensordelpueblo.es/,False,False,False,,kpi:recurso_estimation_rate|es:sanctions:defensor_pueblo_quejas,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:defensor_pueblo_quejas|kpi:resolution_delay_p90_days|all|all,es:sanctions:defensor_pueblo_quejas,kpi:resolution_delay_p90_days,Resolution delay p90 (days),,,Defensor del Pueblo complaints,Defensor del Pueblo,https://www.defensordelpueblo.es/,False,False,False,,kpi:resolution_delay_p90_days|es:sanctions:defensor_pueblo_quejas,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:teac_resolutions|kpi:formal_annulment_rate|all|all,es:sanctions:teac_resolutions,kpi:formal_annulment_rate,Formal annulment rate,,,TEAC resolutions,Tribunal Economico-Administrativo Central,https://sede.agenciatributaria.gob.es/,False,False,False,,kpi:formal_annulment_rate|es:sanctions:teac_resolutions,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:teac_resolutions|kpi:recurso_estimation_rate|all|all,es:sanctions:teac_resolutions,kpi:recurso_estimation_rate,Resource estimation rate,,,TEAC resolutions,Tribunal Economico-Administrativo Central,https://sede.agenciatributaria.gob.es/,False,False,False,,kpi:recurso_estimation_rate|es:sanctions:teac_resolutions,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:teac_resolutions|kpi:resolution_delay_p90_days|all|all,es:sanctions:teac_resolutions,kpi:resolution_delay_p90_days,Resolution delay p90 (days),,,TEAC resolutions,Tribunal Economico-Administrativo Central,https://sede.agenciatributaria.gob.es/,False,False,False,,kpi:resolution_delay_p90_days|es:sanctions:teac_resolutions,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:tear_resolutions|kpi:formal_annulment_rate|all|all,es:sanctions:tear_resolutions,kpi:formal_annulment_rate,Formal annulment rate,,,TEAR tax claims resolutions,Tribunales Economico-Administrativos Regionales,https://sede.agenciatributaria.gob.es/,False,False,False,,kpi:formal_annulment_rate|es:sanctions:tear_resolutions,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:tear_resolutions|kpi:recurso_estimation_rate|all|all,es:sanctions:tear_resolutions,kpi:recurso_estimation_rate,Resource estimation rate,,,TEAR tax claims resolutions,Tribunales Economico-Administrativos Regionales,https://sede.agenciatributaria.gob.es/,False,False,False,,kpi:recurso_estimation_rate|es:sanctions:tear_resolutions,missing_metric,90,ingest_official_review_kpi_metric
es:sanctions:tear_resolutions|kpi:resolution_delay_p90_days|all|all,es:sanctions:tear_resolutions,kpi:resolution_delay_p90_days,Resolution delay p90 (days),,,TEAR tax claims resolutions,Tribunales Economico-Administrativos Regionales,https://sede.agenciatributaria.gob.es/,False,False,False,,kpi:resolution_delay_p90_days|es:sanctions:tear_resolutions,missing_metric,90,ingest_official_review_kpi_metric
