scope,metric,pre,final,delta
overall,downloaded_doc_links,4041,4041,0
overall,missing_doc_links,4676,4732,56
overall,missing_doc_links_actionable,4599,4655,56
overall,missing_doc_links_likely_not_expected,77,77,0
overall,actionable_doc_links_closed_pct,0.4724102328782838,0.4693947338424712,-0.0030154990358126077
overall,downloaded_doc_links_pct,0.4635769186646782,0.4606178046278354,-0.0029591140368427915
overall,effective_downloaded_doc_links_pct,0.46770833333333334,0.46469641214351426,-0.003011921189819078
senado,downloaded_doc_links,3229,3229,0
senado,missing_doc_links,4676,4732,56
senado,missing_doc_links_actionable,4599,4655,56
senado,missing_doc_links_likely_not_expected,77,77,0
senado,actionable_doc_links_closed_pct,0.41821631878557874,0.4152744630071599,-0.0029418557784188226
senado,downloaded_doc_links_pct,0.40847564832384564,0.40560231126742874,-0.0028733370564169025
senado,effective_downloaded_doc_links_pct,0.4124936126724578,0.4095636732623034,-0.002929939410154403
