scope,metric,after_fix,after_review_closure,delta
overall,extraction_needs_review_doc_links,2,0,-2.0
overall,extraction_review_closed_pct,0.9995243757431629,1.0,0.00047562425683711496
overall,extraction_coverage_pct,1.0,1.0,0.0
overall,actionable_doc_links_closed_pct,0.4905357347711369,0.4905357347711369,0.0
overall,missing_doc_links_actionable,4441,4441,0.0
congreso,extraction_needs_review_doc_links,2,0,-2.0
congreso,extraction_review_closed_pct,0.9975369458128078,1.0,0.0024630541871921707
congreso,extraction_coverage_pct,1.0,1.0,0.0
congreso,actionable_doc_links_closed_pct,1.0,1.0,0.0
congreso,missing_doc_links_actionable,0,0,0.0
senado,extraction_needs_review_doc_links,0,0,0.0
senado,extraction_review_closed_pct,1.0,1.0,0.0
senado,extraction_coverage_pct,1.0,1.0,0.0
senado,actionable_doc_links_closed_pct,0.4382036685641999,0.4382036685641999,0.0
senado,missing_doc_links_actionable,4441,4441,0.0
