scope,metric,pre,post,delta
overall,downloaded_doc_links,4041,4205,164
overall,missing_doc_links,4676,4512,-164
overall,missing_doc_links_actionable,4599,4441,-158
overall,missing_doc_links_likely_not_expected,77,71,-6
overall,actionable_doc_links_closed_pct,0.4724102328782838,0.4905357347711369,0.018125501892853058
overall,downloaded_doc_links_pct,0.4635769186646782,0.48239073075599403,0.01881381209131583
overall,effective_downloaded_doc_links_pct,0.46770833333333334,0.486352070321536,0.018643736988202653
overall,extraction_coverage_pct,0.0,0.8068965517241379,0.8068965517241379
overall,extraction_review_closed_pct,0.0,1.0,1.0
senado,downloaded_doc_links,3229,3393,164
senado,missing_doc_links,4676,4512,-164
senado,missing_doc_links_actionable,4599,4441,-158
senado,missing_doc_links_likely_not_expected,77,71,-6
senado,actionable_doc_links_closed_pct,0.41821631878557874,0.4382036685641999,0.019987349778621155
senado,downloaded_doc_links_pct,0.40847564832384564,0.4292220113851992,0.02074636306135358
senado,effective_downloaded_doc_links_pct,0.4124936126724578,0.43311207556803677,0.02061846289557895
senado,extraction_coverage_pct,0.0,1.0,1.0
senado,extraction_review_closed_pct,0.0,1.0,1.0
