scope,metric,postfix,after_fix,delta
overall,downloaded_doc_links_with_extraction,3393,4205,812.0
overall,downloaded_doc_links_missing_extraction,812,0,-812.0
overall,extraction_coverage_pct,0.8068965517241379,1.0,0.19310344827586212
overall,extraction_needs_review_doc_links,0,2,2.0
overall,extraction_review_closed_pct,1.0,0.9995243757431629,-0.00047562425683711496
overall,actionable_doc_links_closed_pct,0.4905357347711369,0.4905357347711369,0.0
overall,missing_doc_links_actionable,4441,4441,0.0
congreso,downloaded_doc_links_with_extraction,0,812,812.0
congreso,downloaded_doc_links_missing_extraction,812,0,-812.0
congreso,extraction_coverage_pct,0.0,1.0,1.0
congreso,extraction_needs_review_doc_links,0,2,2.0
congreso,extraction_review_closed_pct,0.0,0.9975369458128078,0.9975369458128078
congreso,actionable_doc_links_closed_pct,1.0,1.0,0.0
congreso,missing_doc_links_actionable,0,0,0.0
senado,downloaded_doc_links_with_extraction,3393,3393,0.0
senado,downloaded_doc_links_missing_extraction,0,0,0.0
senado,extraction_coverage_pct,1.0,1.0,0.0
senado,extraction_needs_review_doc_links,0,0,0.0
senado,extraction_review_closed_pct,1.0,1.0,0.0
senado,actionable_doc_links_closed_pct,0.4382036685641999,0.4382036685641999,0.0
senado,missing_doc_links_actionable,4441,4441,0.0
