scope,metric,pre,post,delta
overall,downloaded_doc_links_with_excerpt,3393,4205,812.0
overall,downloaded_doc_links_missing_excerpt,812,0,-812.0
overall,excerpt_coverage_pct,0.8068965517241379,1.0,0.19310344827586212
overall,doc_links_with_fetch_status,8512,8717,205.0
overall,doc_links_missing_fetch_status,205,0,-205.0
overall,fetch_status_coverage_pct,0.9764827348858552,1.0,0.02351726511414476
overall,missing_doc_links_actionable,4441,4441,0.0
overall,actionable_doc_links_closed_pct,0.4905357347711369,0.4905357347711369,0.0
congreso,downloaded_doc_links_with_excerpt,0,812,812.0
congreso,downloaded_doc_links_missing_excerpt,812,0,-812.0
congreso,excerpt_coverage_pct,0.0,1.0,1.0
congreso,doc_links_with_fetch_status,607,812,205.0
congreso,doc_links_missing_fetch_status,205,0,-205.0
congreso,fetch_status_coverage_pct,0.7475369458128078,1.0,0.25246305418719217
congreso,missing_doc_links_actionable,0,0,0.0
congreso,actionable_doc_links_closed_pct,1.0,1.0,0.0
senado,downloaded_doc_links_with_excerpt,3393,3393,0.0
senado,downloaded_doc_links_missing_excerpt,0,0,0.0
senado,excerpt_coverage_pct,1.0,1.0,0.0
senado,doc_links_with_fetch_status,7905,7905,0.0
senado,doc_links_missing_fetch_status,0,0,0.0
senado,fetch_status_coverage_pct,1.0,1.0,0.0
senado,missing_doc_links_actionable,4441,4441,0.0
senado,actionable_doc_links_closed_pct,0.4382036685641999,0.4382036685641999,0.0
