code,status,detail
D_1NBAF000,error,"La serie D_1NBAF000 no existe"
D_1NBAF001,error,"La serie D_1NBAF001 no existe"
D_1NBAF002,error,"La serie D_1NBAF002 no existe"
D_1NBAF003,error,"La serie D_1NBAF003 no existe"
D_1NBAF004,error,"La serie D_1NBAF004 no existe"
D_1NBAF005,error,"La serie D_1NBAF005 no existe"
D_1NBAF006,error,"La serie D_1NBAF006 no existe"
D_1NBAF007,error,"La serie D_1NBAF007 no existe"
D_1NBAF008,error,"La serie D_1NBAF008 no existe"
D_1NBAF009,error,"La serie D_1NBAF009 no existe"
D_1NBAF010,error,"La serie D_1NBAF010 no existe"
D_1NBAF011,error,"La serie D_1NBAF011 no existe"
D_1NBAF012,error,"La serie D_1NBAF012 no existe"
D_1NBAF013,error,"La serie D_1NBAF013 no existe"
D_1NBAF014,error,"La serie D_1NBAF014 no existe"
D_1NBAF015,error,"La serie D_1NBAF015 no existe"
D_1NBAF016,error,"La serie D_1NBAF016 no existe"
D_1NBAF017,error,"La serie D_1NBAF017 no existe"
D_1NBAF018,error,"La serie D_1NBAF018 no existe"
D_1NBAF019,error,"La serie D_1NBAF019 no existe"
D_1NBAF020,error,"La serie D_1NBAF020 no existe"
D_1NBAF021,error,"La serie D_1NBAF021 no existe"
D_1NBAF022,error,"La serie D_1NBAF022 no existe"
D_1NBAF023,error,"La serie D_1NBAF023 no existe"
D_1NBAF024,error,"La serie D_1NBAF024 no existe"
D_1NBAF025,error,"La serie D_1NBAF025 no existe"
D_1NBAF026,error,"La serie D_1NBAF026 no existe"
D_1NBAF027,error,"La serie D_1NBAF027 no existe"
D_1NBAF028,error,"La serie D_1NBAF028 no existe"
D_1NBAF029,error,"La serie D_1NBAF029 no existe"
D_1NBAF030,error,"La serie D_1NBAF030 no existe"
D_1NBAF031,error,"La serie D_1NBAF031 no existe"
D_1NBAF032,error,"La serie D_1NBAF032 no existe"
D_1NBAF033,error,"La serie D_1NBAF033 no existe"
D_1NBAF034,error,"La serie D_1NBAF034 no existe"
D_1NBAF035,error,"La serie D_1NBAF035 no existe"
D_1NBAF036,error,"La serie D_1NBAF036 no existe"
D_1NBAF037,error,"La serie D_1NBAF037 no existe"
D_1NBAF038,error,"La serie D_1NBAF038 no existe"
D_1NBAF039,error,"La serie D_1NBAF039 no existe"
D_1NBAF040,error,"La serie D_1NBAF040 no existe"
D_1NBAF041,error,"La serie D_1NBAF041 no existe"
D_1NBAF042,error,"La serie D_1NBAF042 no existe"
D_1NBAF043,error,"La serie D_1NBAF043 no existe"
D_1NBAF044,error,"La serie D_1NBAF044 no existe"
D_1NBAF045,error,"La serie D_1NBAF045 no existe"
D_1NBAF046,error,"La serie D_1NBAF046 no existe"
D_1NBAF047,error,"La serie D_1NBAF047 no existe"
D_1NBAF048,error,"La serie D_1NBAF048 no existe"
D_1NBAF049,error,"La serie D_1NBAF049 no existe"
D_1NBAF050,error,"La serie D_1NBAF050 no existe"
D_1NBAF051,error,"La serie D_1NBAF051 no existe"
D_1NBAF052,error,"La serie D_1NBAF052 no existe"
D_1NBAF053,error,"La serie D_1NBAF053 no existe"
D_1NBAF054,error,"La serie D_1NBAF054 no existe"
D_1NBAF055,error,"La serie D_1NBAF055 no existe"
D_1NBAF056,error,"La serie D_1NBAF056 no existe"
D_1NBAF057,error,"La serie D_1NBAF057 no existe"
D_1NBAF058,error,"La serie D_1NBAF058 no existe"
D_1NBAF059,error,"La serie D_1NBAF059 no existe"
D_1NBAF060,error,"La serie D_1NBAF060 no existe"
D_1NBAF061,error,"La serie D_1NBAF061 no existe"
D_1NBAF062,error,"La serie D_1NBAF062 no existe"
D_1NBAF063,error,"La serie D_1NBAF063 no existe"
D_1NBAF064,error,"La serie D_1NBAF064 no existe"
D_1NBAF065,error,"La serie D_1NBAF065 no existe"
D_1NBAF066,error,"La serie D_1NBAF066 no existe"
D_1NBAF067,error,"La serie D_1NBAF067 no existe"
D_1NBAF068,error,"La serie D_1NBAF068 no existe"
D_1NBAF069,error,"La serie D_1NBAF069 no existe"
D_1NBAF070,error,"La serie D_1NBAF070 no existe"
D_1NBAF071,error,"La serie D_1NBAF071 no existe"
D_1NBAF072,error,"La serie D_1NBAF072 no existe"
D_1NBAF073,error,"La serie D_1NBAF073 no existe"
D_1NBAF074,error,"La serie D_1NBAF074 no existe"
D_1NBAF075,error,"La serie D_1NBAF075 no existe"
D_1NBAF076,error,"La serie D_1NBAF076 no existe"
D_1NBAF077,error,"La serie D_1NBAF077 no existe"
D_1NBAF078,error,"La serie D_1NBAF078 no existe"
D_1NBAF079,error,"La serie D_1NBAF079 no existe"
D_1NBAF080,error,"La serie D_1NBAF080 no existe"
D_1NBAF081,error,"La serie D_1NBAF081 no existe"
D_1NBAF082,error,"La serie D_1NBAF082 no existe"
D_1NBAF083,error,"La serie D_1NBAF083 no existe"
D_1NBAF084,error,"La serie D_1NBAF084 no existe"
D_1NBAF085,error,"La serie D_1NBAF085 no existe"
D_1NBAF086,error,"La serie D_1NBAF086 no existe"
D_1NBAF087,error,"La serie D_1NBAF087 no existe"
D_1NBAF088,error,"La serie D_1NBAF088 no existe"
D_1NBAF089,error,"non_json"
D_1NBAF090,error,"La serie D_1NBAF090 no existe"
D_1NBAF091,error,"La serie D_1NBAF091 no existe"
D_1NBAF092,error,"La serie D_1NBAF092 no existe"
D_1NBAF093,error,"La serie D_1NBAF093 no existe"
