code,status,detail
D_1NBAA472,error,"La serie D_1NBAA472 no existe"
D_1NBAB472,error,"La serie D_1NBAB472 no existe"
D_1NBAC472,error,"La serie D_1NBAC472 no existe"
D_1NBAD472,ok,"list"
D_1NBAE472,ok,"list"
D_1NBAF472,ok,"list"
D_1NBAG472,error,"La serie D_1NBAG472 no existe"
D_1NBAH472,error,"La serie D_1NBAH472 no existe"
D_1NBAI472,error,"La serie D_1NBAI472 no existe"
D_1NBAJ472,error,"La serie D_1NBAJ472 no existe"
D_1NBAK472,error,"La serie D_1NBAK472 no existe"
D_1NBAL472,error,"La serie D_1NBAL472 no existe"
D_1NBAM472,error,"La serie D_1NBAM472 no existe"
D_1NBAN472,error,"La serie D_1NBAN472 no existe"
D_1NBAO472,error,"La serie D_1NBAO472 no existe"
D_1NBAP472,error,"La serie D_1NBAP472 no existe"
D_1NBAQ472,error,"La serie D_1NBAQ472 no existe"
D_1NBAR472,error,"La serie D_1NBAR472 no existe"
D_1NBAS472,error,"La serie D_1NBAS472 no existe"
D_1NBAT472,error,"La serie D_1NBAT472 no existe"
D_1NBAU472,error,"La serie D_1NBAU472 no existe"
D_1NBAV472,error,"La serie D_1NBAV472 no existe"
D_1NBAW472,error,"La serie D_1NBAW472 no existe"
D_1NBAX472,error,"La serie D_1NBAX472 no existe"
D_1NBAY472,error,"La serie D_1NBAY472 no existe"
D_1NBAZ472,error,"La serie D_1NBAZ472 no existe"
D_1NBBA472,error,"La serie D_1NBBA472 no existe"
D_1NBBB472,error,"La serie D_1NBBB472 no existe"
D_1NBBC472,error,"La serie D_1NBBC472 no existe"
D_1NBBD472,error,"La serie D_1NBBD472 no existe"
D_1NBBE472,error,"La serie D_1NBBE472 no existe"
D_1NBBF472,error,"La serie D_1NBBF472 no existe"
D_1NBBG472,error,"La serie D_1NBBG472 no existe"
D_1NBBH472,error,"La serie D_1NBBH472 no existe"
D_1NBBI472,error,"La serie D_1NBBI472 no existe"
D_1NBBJ472,error,"La serie D_1NBBJ472 no existe"
D_1NBBK472,error,"La serie D_1NBBK472 no existe"
D_1NBBL472,error,"La serie D_1NBBL472 no existe"
D_1NBBM472,error,"La serie D_1NBBM472 no existe"
D_1NBBN472,error,"La serie D_1NBBN472 no existe"
D_1NBBO472,error,"La serie D_1NBBO472 no existe"
D_1NBBP472,error,"La serie D_1NBBP472 no existe"
D_1NBBQ472,error,"La serie D_1NBBQ472 no existe"
D_1NBBR472,error,"La serie D_1NBBR472 no existe"
D_1NBBS472,error,"La serie D_1NBBS472 no existe"
D_1NBBT472,error,"La serie D_1NBBT472 no existe"
D_1NBBU472,error,"La serie D_1NBBU472 no existe"
D_1NBBV472,error,"La serie D_1NBBV472 no existe"
D_1NBBW472,error,"La serie D_1NBBW472 no existe"
D_1NBBX472,error,"La serie D_1NBBX472 no existe"
D_1NBBY472,error,"La serie D_1NBBY472 no existe"
D_1NBBZ472,error,"La serie D_1NBBZ472 no existe"
D_1NBCA472,error,"La serie D_1NBCA472 no existe"
D_1NBCB472,error,"La serie D_1NBCB472 no existe"
D_1NBCC472,error,"La serie D_1NBCC472 no existe"
D_1NBCD472,error,"La serie D_1NBCD472 no existe"
D_1NBCE472,error,"La serie D_1NBCE472 no existe"
D_1NBCF472,error,"La serie D_1NBCF472 no existe"
D_1NBCG472,error,"La serie D_1NBCG472 no existe"
D_1NBCH472,error,"La serie D_1NBCH472 no existe"
D_1NBCI472,error,"La serie D_1NBCI472 no existe"
D_1NBCJ472,error,"La serie D_1NBCJ472 no existe"
D_1NBCK472,error,"La serie D_1NBCK472 no existe"
D_1NBCL472,error,"La serie D_1NBCL472 no existe"
D_1NBCM472,error,"La serie D_1NBCM472 no existe"
D_1NBCN472,error,"La serie D_1NBCN472 no existe"
D_1NBCO472,error,"La serie D_1NBCO472 no existe"
D_1NBCP472,error,"La serie D_1NBCP472 no existe"
D_1NBCQ472,error,"La serie D_1NBCQ472 no existe"
D_1NBCR472,error,"La serie D_1NBCR472 no existe"
D_1NBCS472,error,"La serie D_1NBCS472 no existe"
D_1NBCT472,error,"La serie D_1NBCT472 no existe"
D_1NBCU472,error,"La serie D_1NBCU472 no existe"
D_1NBCV472,error,"La serie D_1NBCV472 no existe"
D_1NBCW472,error,"La serie D_1NBCW472 no existe"
D_1NBCX472,error,"La serie D_1NBCX472 no existe"
D_1NBCY472,error,"La serie D_1NBCY472 no existe"
D_1NBCZ472,error,"La serie D_1NBCZ472 no existe"
D_1NBDA472,error,"La serie D_1NBDA472 no existe"
D_1NBDB472,error,"La serie D_1NBDB472 no existe"
D_1NBDC472,error,"La serie D_1NBDC472 no existe"
D_1NBDD472,error,"La serie D_1NBDD472 no existe"
D_1NBDE472,error,"La serie D_1NBDE472 no existe"
D_1NBDF472,error,"La serie D_1NBDF472 no existe"
D_1NBDG472,error,"La serie D_1NBDG472 no existe"
D_1NBDH472,error,"La serie D_1NBDH472 no existe"
D_1NBDI472,error,"La serie D_1NBDI472 no existe"
D_1NBDJ472,error,"La serie D_1NBDJ472 no existe"
D_1NBDK472,error,"La serie D_1NBDK472 no existe"
D_1NBDL472,error,"La serie D_1NBDL472 no existe"
D_1NBDM472,error,"La serie D_1NBDM472 no existe"
D_1NBDN472,error,"La serie D_1NBDN472 no existe"
D_1NBDO472,error,"La serie D_1NBDO472 no existe"
D_1NBDP472,error,"La serie D_1NBDP472 no existe"
D_1NBDQ472,error,"La serie D_1NBDQ472 no existe"
D_1NBDR472,error,"La serie D_1NBDR472 no existe"
D_1NBDS472,error,"La serie D_1NBDS472 no existe"
D_1NBDT472,error,"La serie D_1NBDT472 no existe"
D_1NBDU472,error,"La serie D_1NBDU472 no existe"
D_1NBDV472,error,"La serie D_1NBDV472 no existe"
D_1NBDW472,error,"La serie D_1NBDW472 no existe"
D_1NBDX472,error,"La serie D_1NBDX472 no existe"
D_1NBDY472,error,"La serie D_1NBDY472 no existe"
D_1NBDZ472,error,"La serie D_1NBDZ472 no existe"
D_1NBEA472,error,"La serie D_1NBEA472 no existe"
D_1NBEB472,error,"La serie D_1NBEB472 no existe"
D_1NBEC472,error,"La serie D_1NBEC472 no existe"
D_1NBED472,error,"La serie D_1NBED472 no existe"
D_1NBEE472,error,"La serie D_1NBEE472 no existe"
D_1NBEF472,error,"La serie D_1NBEF472 no existe"
D_1NBEG472,error,"La serie D_1NBEG472 no existe"
D_1NBEH472,error,"La serie D_1NBEH472 no existe"
D_1NBEI472,error,"La serie D_1NBEI472 no existe"
D_1NBEJ472,error,"La serie D_1NBEJ472 no existe"
D_1NBEK472,error,"La serie D_1NBEK472 no existe"
D_1NBEL472,error,"La serie D_1NBEL472 no existe"
D_1NBEM472,error,"La serie D_1NBEM472 no existe"
