code,status,ok,error_type,error_detail,results_count
D_1NBAA000,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA001,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA002,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA003,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA004,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA005,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA006,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA007,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA008,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA009,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA010,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA011,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA012,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA013,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA014,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA015,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA016,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA017,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA018,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA019,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA020,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA021,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA022,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA023,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA024,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA025,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA026,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA027,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA028,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA029,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA030,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA031,412,False,http_error,HTTP Error 412: Precondition Failed,0
D_1NBAA032,412,False,http_error,HTTP Error 412: Precondition Failed,0
