code,status,ok,error_type,error_detail,results_count
D_1NBAA301,200,True,,,1
D_1NBAA304,200,True,,,1
D_1NBAA317,200,True,,,1
D_1NBAA372,200,True,,,1
D_1NBAA572,200,True,,,1
D_1NBAC372,200,True,,,1
D_1NBAC572,200,True,,,1
D_1NBAC972,200,True,,,1
D_1NBAD301,200,True,,,1
D_1NBAD302,200,True,,,1
D_1NBAD306,200,True,,,1
D_1NBAD311,200,True,,,1
D_1NBAD317,200,True,,,1
D_1NBAD372,200,True,,,1
D_1NBAD472,200,True,,,1
D_1NBAD572,200,True,,,1
D_1NBAD972,200,True,,,1
D_1NBAE472,200,True,,,1
D_1NBAE572,200,True,,,1
D_1NBAE972,200,True,,,1
D_1NBAF472,200,True,,,1
D_1NBAF572,200,True,,,1
D_1NBAS372,200,True,,,1
D_1NBAS572,200,True,,,1
D_1NBAS972,200,True,,,1
D_1NBBO020,200,True,,,1
D_1NBBO072,200,True,,,1
D_1NBBO303,200,True,,,1
D_1NBBO305,200,True,,,1
D_1NBBO307,200,True,,,1
D_1NBBO308,200,True,,,1
D_1NBBO309,200,True,,,1
D_1NBBO310,200,True,,,1
D_1NBBO311,200,True,,,1
D_1NBBO314,200,True,,,1
D_1NBBO315,200,True,,,1
D_1NBBO316,200,True,,,1
D_1NBBO320,200,True,,,1
D_1NBBO333,200,True,,,1
D_1NBBO349,200,True,,,1
D_1NBBO572,200,True,,,1
D_1NBBP301,200,True,,,1
D_1NBBP302,200,True,,,1
D_1NBBP303,200,True,,,1
D_1NBBP304,200,True,,,1
D_1NBBP305,200,True,,,1
D_1NBBP306,200,True,,,1
D_1NBBP307,200,True,,,1
D_1NBBP308,200,True,,,1
D_1NBBP309,200,True,,,1
D_1NBBP310,200,True,,,1
D_1NBBP311,200,True,,,1
D_1NBBP314,200,True,,,1
D_1NBBP315,200,True,,,1
D_1NBBP316,200,True,,,1
D_1NBBP317,200,True,,,1
D_1NBBP349,200,True,,,1
D_1NBBP572,200,True,,,1
