party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
2,PP,es_generales_2023,programa,https://www.pp.es/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
14,VOX,es_generales_2023,programa,https://www.voxespana.es/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
18,EAJ-PNV,es_generales_2023,programa,https://www.eaj-pnv.eus/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
22,EH Bildu,es_generales_2023,programa,https://ehbildu.eus/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
29,SUMAR,es_generales_2023,programa,https://movimientosumar.es/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
73,UPN,es_generales_2023,programa,https://www.upn.org/upn-pide-a-gimeno-que-revierta-los-recortes-en-la-implantacion-de-la-fp-dual-y-abra-un-proceso-de-dialogo/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
276,BNG,es_generales_2023,programa,https://www.bng.gal/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
347,CCa,es_generales_2023,programa,https://coalicioncanaria.org/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
1055,Ciudadanos,es_generales_2023,programa,https://www.ciudadanos-cs.org/por-los-tuyos-propuestas-2023-28m,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
4756,FORO Asturias,es_generales_2023,programa,https://foroasturias.es/planasturias/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
7628,Izquierda Unida,es_generales_2023,programa,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
18201,EQUO,es_generales_2023,programa,https://verdesequo.es/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
61293,Compromis,es_generales_2023,programa,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,pdf,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
67790,PSC,es_generales_2023,programa,https://www.socialistes.cat/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
68157,CUP,es_generales_2023,programa,https://cup.cat/,html,es,nacional,2026-02-28,,deeplink-best-candidate-ai-ops-241
