party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
2,PP,es_generales_2023,programa,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
14,VOX,es_generales_2023,programa,https://www.voxespana.es/espana/manifiesto-fundacional-vox,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_generales_2023,programa,https://www.eaj-pnv.eus/documentos,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
22,EH Bildu,es_generales_2023,programa,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
29,SUMAR,es_generales_2023,programa,https://movimientosumar.es/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
73,UPN,es_generales_2023,programa,https://www.upn.org/propuestas,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
276,BNG,es_generales_2023,programa,https://www.bng.gal/estaticas/programas-eleitorais.html,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
347,CCa,es_generales_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
1055,Ciudadanos,es_generales_2023,programa,https://www.ciudadanos-cs.org/programa-electoral,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
4756,FORO Asturias,es_generales_2023,programa,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
7628,Izquierda Unida,es_generales_2023,programa,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
61293,Compromis,es_generales_2023,programa,https://compromis.net/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
67790,PSC,es_generales_2023,programa,https://www.socialistes.cat/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
68157,CUP,es_generales_2023,programa,https://cup.cat/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18201,EQUO,es_generales_2023,programa,https://verdesequo.es/propuestas,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
2,PP,es_europeas_2024,programa,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
14,VOX,es_europeas_2024,programa,https://www.voxespana.es/espana/manifiesto-fundacional-vox,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_europeas_2024,programa,https://www.eaj-pnv.eus/documentos,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
22,EH Bildu,es_europeas_2024,programa,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
29,SUMAR,es_europeas_2024,programa,https://movimientosumar.es/programa,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
73,UPN,es_europeas_2024,programa,https://www.upn.org/propuestas,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
276,BNG,es_europeas_2024,programa,https://www.bng.gal/estaticas/programas-eleitorais.html,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
347,CCa,es_europeas_2024,programa,https://coalicioncanaria.org/programas-electorales/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
1055,Ciudadanos,es_europeas_2024,programa,https://www.ciudadanos-cs.org/programa-electoral,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
4756,FORO Asturias,es_europeas_2024,programa,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
7628,Izquierda Unida,es_europeas_2024,programa,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
61293,Compromis,es_europeas_2024,programa,https://compromis.net/programa,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
67790,PSC,es_europeas_2024,programa,https://www.socialistes.cat/programa,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
68157,CUP,es_europeas_2024,programa,https://cup.cat/programa,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18201,EQUO,es_europeas_2024,programa,https://verdesequo.es/propuestas,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
2,PP,es_autonomicas_2023,programa,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,pdf,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
14,VOX,es_autonomicas_2023,programa,https://www.voxespana.es/espana/manifiesto-fundacional-vox,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_autonomicas_2023,programa,https://www.eaj-pnv.eus/documentos,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
22,EH Bildu,es_autonomicas_2023,programa,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,pdf,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
29,SUMAR,es_autonomicas_2023,programa,https://movimientosumar.es/programa,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
73,UPN,es_autonomicas_2023,programa,https://www.upn.org/propuestas,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
276,BNG,es_autonomicas_2023,programa,https://www.bng.gal/estaticas/programas-eleitorais.html,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
347,CCa,es_autonomicas_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
1055,Ciudadanos,es_autonomicas_2023,programa,https://www.ciudadanos-cs.org/programa-electoral,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
