party_id,selected_reason,selected_score,selected_url,source_url,candidates_evaluated
2,candidate_selected,17,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,https://www.pp.es/,12
14,candidate_selected,17,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,https://www.voxespana.es/,12
18,no_candidate_above_threshold,4,https://www.eaj-pnv.eus/,https://www.eaj-pnv.eus/,12
22,candidate_selected,8,https://ehbildu.eus/dokumentuak/gardentasuna/2024_PyG.pdf,https://ehbildu.eus/,12
29,candidate_selected,22,https://movimientosumar.es/programa,https://movimientosumar.es/,12
73,no_candidate_above_threshold,4,https://www.upn.org/,https://www.upn.org/,12
276,candidate_selected,13,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,https://www.bng.gal/,12
347,no_candidate_above_threshold,0,https://coalicioncanaria.org/,https://coalicioncanaria.org/,12
1055,candidate_selected,40,https://www.ciudadanos-cs.org/programa-electoral,https://www.ciudadanos-cs.org/,12
4756,candidate_selected,17,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,https://foroasturias.es/,12
7628,no_candidate_above_threshold,0,https://izquierdaunida.org/,https://izquierdaunida.org/,12
18201,candidate_selected,12,https://verdesequo.es/programa,https://verdesequo.es/,12
61293,candidate_selected,11,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,https://compromis.net/,12
67790,no_candidate_above_threshold,0,https://www.socialistes.cat/,https://www.socialistes.cat/,12
68157,candidate_selected,20,https://cup.cat/programa,https://cup.cat/,12
