party_name,evidence_before,evidence_after,delta_evidence,support_before,support_after,delta_support,unclear_before,unclear_after,delta_unclear
BNG,27,36,9,0,0,0,27,36,9
CCa,9,0,-9,0,0,0,9,0,-9
CUP,15,15,0,3,9,6,12,6,-6
Ciudadanos,36,36,0,18,18,0,18,18,0
Compromis,21,32,11,6,24,18,15,8,-7
EAJ-PNV,27,0,-27,0,0,0,27,0,-27
EH Bildu,18,0,-18,0,0,0,18,0,-18
EQUO,24,3,-21,3,0,-3,21,3,-18
FORO Asturias,48,48,0,20,24,4,28,24,-4
Izquierda Unida,24,0,-24,0,0,0,24,0,-24
PP,44,56,12,0,1,1,44,55,11
PSC,3,0,-3,0,0,0,3,0,-3
SUMAR,33,33,0,6,9,3,27,24,-3
UPN,30,0,-30,0,0,0,30,0,-30
VOX,27,33,6,0,3,3,27,30,3
