party_name,source_url,evidence_before,evidence_after,delta_evidence,support_before,support_after,delta_support,unclear_before,unclear_after,delta_unclear
BNG,https://www.bng.gal/estaticas/programas-eleitorais.html,18,0,-18,0,0,0,18,0,-18
BNG,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,9,36,27,0,0,0,9,36,27
CCa,https://coalicioncanaria.org/programas-electorales/,9,0,-9,0,0,0,9,0,-9
CUP,https://cup.cat/programa,15,15,0,3,9,6,12,6,-6
Ciudadanos,https://www.ciudadanos-cs.org/programa-electoral,36,36,0,18,18,0,18,18,0
Compromis,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,0,32,32,0,24,24,0,8,8
Compromis,https://compromis.net/programa,21,0,-21,6,0,-6,15,0,-15
EAJ-PNV,https://www.eaj-pnv.eus/documentos,27,0,-27,0,0,0,27,0,-27
EH Bildu,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,18,0,-18,0,0,0,18,0,-18
EQUO,https://verdesequo.es/programa,0,3,3,0,0,0,0,3,3
EQUO,https://verdesequo.es/propuestas,24,0,-24,3,0,-3,21,0,-21
FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,48,48,0,20,24,4,28,24,-4
Izquierda Unida,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,24,0,-24,0,0,0,24,0,-24
PP,https://www.pp.es/storage/2023/11/es_platform_final62_0.pdf,0,12,12,0,1,1,0,11,11
PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,44,44,0,0,0,0,44,44,0
PSC,https://www.socialistes.cat/programa,3,0,-3,0,0,0,3,0,-3
SUMAR,https://movimientosumar.es/programa,33,33,0,6,9,3,27,24,-3
UPN,https://www.upn.org/propuestas,30,0,-30,0,0,0,30,0,-30
VOX,https://www.voxespana.es/espana/manifiesto-fundacional-vox,27,0,-27,0,0,0,27,0,-27
VOX,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,0,33,33,0,3,3,0,30,30
