party_name,source_url,evidence_rows,support_rows,unclear_rows
PP,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,44,0,44
UPN,https://www.upn.org/propuestas,30,0,30
"FORO Asturias",https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,48,20,28
SUMAR,https://movimientosumar.es/programa,33,6,27
VOX,https://www.voxespana.es/espana/manifiesto-fundacional-vox,27,0,27
EAJ-PNV,https://www.eaj-pnv.eus/documentos,27,0,27
"Izquierda Unida",https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,24,0,24
EQUO,https://verdesequo.es/propuestas,24,3,21
Ciudadanos,https://www.ciudadanos-cs.org/programa-electoral,36,18,18
"EH Bildu",https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,18,0,18
BNG,https://www.bng.gal/estaticas/programas-eleitorais.html,18,0,18
Compromis,https://compromis.net/programa,21,6,15
CUP,https://cup.cat/programa,15,3,12
CCa,https://coalicioncanaria.org/programas-electorales/,9,0,9
BNG,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,9,0,9
PSC,https://www.socialistes.cat/programa,3,0,3
