evidence_id,person_id,topic_id,stance,stance_method,confidence,excerpt
1560280,75682,897,unclear,programa_metadata,0.2,"7112 subvenciones recibidas 18066612 correspondencia y franqueo 8328762 aportacion del partido 49000000 publicidad en prensa y radio 12485668 otra publicidad y propaganda 28065053 "
1560281,75682,898,unclear,programa_metadata,0.2,"erdi sozialista euskadiko ezkerra psoe 19 iv4 alderdi popularra 20 iv5 podemos 21 iv6 irabazi 22 4 abreviaturas 23 introduccion 25 i conclusiones 28 i1 limitaciones al alcance del "
1560282,75682,900,unclear,programa_metadata,0.2,"ad se ha presentado dentro del plazo previsto y de acuerdo con los principios establecidos en los articulos 1212 y 1331 de la loreg 2 todos los cobros y pagos justificados por las "
1560283,75682,902,unclear,programa_metadata,0.2,"resos tesoreria 2532646 acreedores total 18820535 total 18820535 se han descontado de los gastos electorales 4 facturas por importe de 28944 euros correspondientes a suministro de "
1560284,75682,903,unclear,programa_metadata,0.2,"873 subvenciones recibidas 3069706 publicidad en prensa y radio 1227745 aportacion del partido 3069021 otra publicidad y propaganda 4116329 total ingresos 6138727 alquileres 24500 "
1560285,75682,904,unclear,programa_metadata,0.2,"tira diruz ez lagungarriak diruz lagungarriak araba 200376 9575 190801 bizkaia 304486 9575 294911 gipuzkoa 131081 9575 121506 guztira 635943 28725 607218 23 abreviaturas tvcp hkee "
1560286,75682,897,unclear,programa_metadata,0.2,"7112 subvenciones recibidas 18066612 correspondencia y franqueo 8328762 aportacion del partido 49000000 publicidad en prensa y radio 12485668 otra publicidad y propaganda 28065053 "
1560287,75682,898,unclear,programa_metadata,0.2,"erdi sozialista euskadiko ezkerra psoe 19 iv4 alderdi popularra 20 iv5 podemos 21 iv6 irabazi 22 4 abreviaturas 23 introduccion 25 i conclusiones 28 i1 limitaciones al alcance del "
1560288,75682,900,unclear,programa_metadata,0.2,"ad se ha presentado dentro del plazo previsto y de acuerdo con los principios establecidos en los articulos 1212 y 1331 de la loreg 2 todos los cobros y pagos justificados por las "
1560289,75682,902,unclear,programa_metadata,0.2,"resos tesoreria 2532646 acreedores total 18820535 total 18820535 se han descontado de los gastos electorales 4 facturas por importe de 28944 euros correspondientes a suministro de "
1560290,75682,903,unclear,programa_metadata,0.2,"873 subvenciones recibidas 3069706 publicidad en prensa y radio 1227745 aportacion del partido 3069021 otra publicidad y propaganda 4116329 total ingresos 6138727 alquileres 24500 "
1560291,75682,904,unclear,programa_metadata,0.2,"tira diruz ez lagungarriak diruz lagungarriak araba 200376 9575 190801 bizkaia 304486 9575 294911 gipuzkoa 131081 9575 121506 guztira 635943 28725 607218 23 abreviaturas tvcp hkee "
1560292,75682,897,unclear,programa_metadata,0.2,"7112 subvenciones recibidas 18066612 correspondencia y franqueo 8328762 aportacion del partido 49000000 publicidad en prensa y radio 12485668 otra publicidad y propaganda 28065053 "
1560293,75682,898,unclear,programa_metadata,0.2,"erdi sozialista euskadiko ezkerra psoe 19 iv4 alderdi popularra 20 iv5 podemos 21 iv6 irabazi 22 4 abreviaturas 23 introduccion 25 i conclusiones 28 i1 limitaciones al alcance del "
1560294,75682,900,unclear,programa_metadata,0.2,"ad se ha presentado dentro del plazo previsto y de acuerdo con los principios establecidos en los articulos 1212 y 1331 de la loreg 2 todos los cobros y pagos justificados por las "
1560295,75682,902,unclear,programa_metadata,0.2,"resos tesoreria 2532646 acreedores total 18820535 total 18820535 se han descontado de los gastos electorales 4 facturas por importe de 28944 euros correspondientes a suministro de "
1560296,75682,903,unclear,programa_metadata,0.2,"873 subvenciones recibidas 3069706 publicidad en prensa y radio 1227745 aportacion del partido 3069021 otra publicidad y propaganda 4116329 total ingresos 6138727 alquileres 24500 "
1560297,75682,904,unclear,programa_metadata,0.2,"tira diruz ez lagungarriak diruz lagungarriak araba 200376 9575 190801 bizkaia 304486 9575 294911 gipuzkoa 131081 9575 121506 guztira 635943 28725 607218 23 abreviaturas tvcp hkee "
1560298,75682,897,unclear,programa_metadata,0.2,"7112 subvenciones recibidas 18066612 correspondencia y franqueo 8328762 aportacion del partido 49000000 publicidad en prensa y radio 12485668 otra publicidad y propaganda 28065053 "
1560299,75682,898,unclear,programa_metadata,0.2,"erdi sozialista euskadiko ezkerra psoe 19 iv4 alderdi popularra 20 iv5 podemos 21 iv6 irabazi 22 4 abreviaturas 23 introduccion 25 i conclusiones 28 i1 limitaciones al alcance del "
