party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
18,EAJ-PNV,es_generales_2023,programa,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
73,UPN,es_generales_2023,programa,https://www.upn.org/propuestas,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
347,CCa,es_generales_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
7628,Izquierda Unida,es_generales_2023,programa,https://izquierdaunida.org/wp-content/uploads/2019/10/Programa-IU-10N-22-medidas-clave.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
67790,PSC,es_generales_2023,programa,https://www.socialistes.cat/coneixnos/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_europeas_2024,programa,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
73,UPN,es_europeas_2024,programa,https://www.upn.org/propuestas,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
347,CCa,es_europeas_2024,programa,https://coalicioncanaria.org/programas-electorales/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
7628,Izquierda Unida,es_europeas_2024,programa,https://izquierdaunida.org/wp-content/uploads/2019/10/Programa-IU-10N-22-medidas-clave.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
67790,PSC,es_europeas_2024,programa,https://www.socialistes.cat/coneixnos/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_autonomicas_2023,programa,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
73,UPN,es_autonomicas_2023,programa,https://www.upn.org/propuestas,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
347,CCa,es_autonomicas_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
7628,Izquierda Unida,es_autonomicas_2023,programa,https://izquierdaunida.org/wp-content/uploads/2019/10/Programa-IU-10N-22-medidas-clave.pdf,pdf,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
67790,PSC,es_autonomicas_2023,programa,https://www.socialistes.cat/coneixnos/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;deeplink-auto-ai-ops-245
