party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
18,EAJ-PNV,es_generales_2023,programa,https://www.eaj-pnv.eus/documentos,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
73,UPN,es_generales_2023,programa,https://www.upn.org/propuestas,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
347,CCa,es_generales_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
7628,Izquierda Unida,es_generales_2023,programa,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
67790,PSC,es_generales_2023,programa,https://www.socialistes.cat/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
18,EAJ-PNV,es_europeas_2024,programa,https://www.eaj-pnv.eus/documentos,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
73,UPN,es_europeas_2024,programa,https://www.upn.org/propuestas,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
347,CCa,es_europeas_2024,programa,https://coalicioncanaria.org/programas-electorales/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
7628,Izquierda Unida,es_europeas_2024,programa,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
67790,PSC,es_europeas_2024,programa,https://www.socialistes.cat/programa,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
18,EAJ-PNV,es_autonomicas_2023,programa,https://www.eaj-pnv.eus/documentos,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
73,UPN,es_autonomicas_2023,programa,https://www.upn.org/propuestas,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
347,CCa,es_autonomicas_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
7628,Izquierda Unida,es_autonomicas_2023,programa,https://izquierdaunida.org/programa-electoral-de-izquierda-unida-para-las-elecciones-generales-del-10n-de-2019/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
67790,PSC,es_autonomicas_2023,programa,https://www.socialistes.cat/programa,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
