party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
2,PP,es_generales_2023,programa,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
14,VOX,es_generales_2023,programa,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_generales_2023,programa,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-250-recovery-v2-targeted
22,EH Bildu,es_generales_2023,programa,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override
29,SUMAR,es_generales_2023,programa,https://movimientosumar.es/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
73,UPN,es_generales_2023,programa,https://www.upn.org/propuestas,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
276,BNG,es_generales_2023,programa,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
347,CCa,es_generales_2023,programa,https://coalicioncanaria.org/programas-electorales/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
1055,Ciudadanos,es_generales_2023,programa,https://www.ciudadanos-cs.org/programa-electoral,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
4756,FORO Asturias,es_generales_2023,programa,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
7628,Izquierda Unida,es_generales_2023,programa,https://izquierdaunida.org/wp-content/uploads/2019/10/Programa-IU-10N-22-medidas-clave.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-250-recovery-v2-targeted
61293,Compromis,es_generales_2023,programa,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
67790,PSC,es_generales_2023,programa,https://www.socialistes.cat/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
68157,CUP,es_generales_2023,programa,https://cup.cat/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18201,EQUO,es_generales_2023,programa,https://verdesequo.es/programa,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
2,PP,es_europeas_2024,programa,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
14,VOX,es_europeas_2024,programa,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
18,EAJ-PNV,es_europeas_2024,programa,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-250-recovery-v2-targeted
22,EH Bildu,es_europeas_2024,programa,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override
29,SUMAR,es_europeas_2024,programa,https://movimientosumar.es/programa,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
73,UPN,es_europeas_2024,programa,https://www.upn.org/propuestas,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
276,BNG,es_europeas_2024,programa,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
347,CCa,es_europeas_2024,programa,https://coalicioncanaria.org/programas-electorales/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override
1055,Ciudadanos,es_europeas_2024,programa,https://www.ciudadanos-cs.org/programa-electoral,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
4756,FORO Asturias,es_europeas_2024,programa,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245
7628,Izquierda Unida,es_europeas_2024,programa,https://izquierdaunida.org/wp-content/uploads/2019/10/Programa-IU-10N-22-medidas-clave.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-250-recovery-v2-targeted
