party_name,evidence_before,evidence_after,delta_evidence,support_before,support_after,delta_support,unclear_before,unclear_after,delta_unclear
BNG,36,36,0,0,0,0,36,36,0
CCa,0,35,35,0,10,10,0,25,25
CUP,15,15,0,9,9,0,6,6,0
Ciudadanos,36,36,0,18,18,0,18,18,0
Compromis,32,32,0,24,24,0,8,8,0
EAJ-PNV,0,36,36,0,6,6,0,30,30
EH Bildu,24,24,0,0,0,0,24,24,0
EQUO,3,3,0,0,0,0,3,3,0
FORO Asturias,48,48,0,24,24,0,24,24,0
Izquierda Unida,0,36,36,0,3,3,0,33,33
PP,56,56,0,1,1,0,55,55,0
SUMAR,33,33,0,9,9,0,24,24,0
VOX,33,33,0,3,3,0,30,30,0
