party_name,evidence_before,evidence_after,delta_evidence,support_before,support_after,delta_support,unclear_before,unclear_after,delta_unclear
BNG,36,36,0,0,0,0,36,36,0
CCa,35,35,0,10,18,8,25,17,-8
CUP,15,15,0,9,9,0,6,6,0
Ciudadanos,36,36,0,18,21,3,18,15,-3
Compromis,32,32,0,24,24,0,8,8,0
EAJ-PNV,36,36,0,6,15,9,30,21,-9
EH Bildu,24,24,0,0,0,0,24,24,0
EQUO,3,3,0,0,0,0,3,3,0
FORO Asturias,48,48,0,24,28,4,24,20,-4
Izquierda Unida,36,36,0,3,15,12,33,21,-12
PP,56,56,0,1,3,2,55,53,-2
PSC,36,36,0,0,21,21,36,15,-21
SUMAR,33,33,0,9,15,6,24,18,-6
UPN,36,36,0,27,27,0,9,9,0
VOX,33,33,0,3,3,0,30,30,0
