party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
22,EH Bildu,es_generales_2023,programa,https://ehbildu.eus/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-homepage-seed
276,BNG,es_generales_2023,programa,https://www.bng.gal/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed
18201,EQUO,es_generales_2023,programa,https://verdes-equo.es/,html,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed
22,EH Bildu,es_europeas_2024,programa,https://ehbildu.eus/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-homepage-seed
276,BNG,es_europeas_2024,programa,https://www.bng.gal/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed
18201,EQUO,es_europeas_2024,programa,https://verdes-equo.es/,html,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed
22,EH Bildu,es_autonomicas_2023,programa,https://ehbildu.eus/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-homepage-seed
276,BNG,es_autonomicas_2023,programa,https://www.bng.gal/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed
18201,EQUO,es_autonomicas_2023,programa,https://verdes-equo.es/,html,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed
22,EH Bildu,es_autonomicas_2023,programa_pdf,https://ehbildu.eus/dokumentuak/gardentasuna/2015_eleccionesjjggmayo.pdf,pdf,es,autonomico,2026-02-28,,pdf-priority-ai-ops-242;ai-ops-249-recovery-override
276,BNG,es_europeas_2024,programa_pdf,https://www.bng.gal/media/bnggaliza/files/2024/07/09/EFA-Election-Manifesto-2024_EN.pdf,pdf,es,ue,2026-02-28,,pdf-priority-ai-ops-242
