party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
22,EH Bildu,es_generales_2023,programa,https://ehbildu.eus/herriak/irunea/dokumentuak/ES_1682328517.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
276,BNG,es_generales_2023,programa,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
18201,EQUO,es_generales_2023,programa,https://verdesequo.es/wp-content/uploads/2023/07/Un-Programa-para-ti-bueno.pdf,pdf,es,nacional,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
22,EH Bildu,es_europeas_2024,programa,https://ehbildu.eus/herriak/irunea/dokumentuak/ES_1682328517.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
276,BNG,es_europeas_2024,programa,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
18201,EQUO,es_europeas_2024,programa,https://verdesequo.es/wp-content/uploads/2023/07/Un-Programa-para-ti-bueno.pdf,pdf,es,ue,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
22,EH Bildu,es_autonomicas_2023,programa,https://ehbildu.eus/herriak/irunea/dokumentuak/ES_1682328517.pdf,pdf,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
276,BNG,es_autonomicas_2023,programa,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,pdf,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
18201,EQUO,es_autonomicas_2023,programa,https://verdesequo.es/wp-content/uploads/2023/07/Un-Programa-para-ti-bueno.pdf,pdf,es,autonomico,2026-02-28,,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-homepage-seed;ai-ops-253-residual-support0-targeted-v1
22,EH Bildu,es_autonomicas_2023,programa_pdf,https://ehbildu.eus/herriak/irunea/dokumentuak/ES_1682328517.pdf,pdf,es,autonomico,2026-02-28,,pdf-priority-ai-ops-242;ai-ops-249-recovery-override;ai-ops-253-residual-support0-targeted-v1
276,BNG,es_europeas_2024,programa_pdf,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,pdf,es,ue,2026-02-28,,pdf-priority-ai-ops-242;ai-ops-253-residual-support0-targeted-v1
