party_name,evidence_before,evidence_after,delta_evidence,support_before,support_after,delta_support,unclear_before,unclear_after,delta_unclear
BNG,36,48,12,0,1,1,36,47,11
CCa,35,35,0,18,18,0,17,17,0
CUP,15,15,0,9,9,0,6,6,0
Ciudadanos,36,36,0,21,21,0,15,15,0
Compromis,32,32,0,24,24,0,8,8,0
EAJ-PNV,36,36,0,15,15,0,21,21,0
EH Bildu,24,48,24,0,20,20,24,28,4
EQUO,3,36,33,0,24,24,3,12,9
FORO Asturias,48,48,0,28,28,0,20,20,0
Izquierda Unida,36,36,0,15,15,0,21,21,0
PP,56,56,0,3,3,0,53,53,0
PSC,36,36,0,21,21,0,15,15,0
SUMAR,33,33,0,15,15,0,18,18,0
UPN,36,36,0,27,27,0,9,9,0
VOX,33,33,0,3,3,0,30,30,0
