party_name,pre_evidence_rows,post_evidence_rows,delta_evidence_rows,pre_support_rows,post_support_rows,delta_support_rows,pre_unclear_rows,post_unclear_rows,delta_unclear_rows
Izquierda Unida,36,36,0,15,15,0,21,21,0
CCa,35,35,0,18,18,0,17,17,0
EQUO,36,36,0,24,24,0,12,12,0
UPN,36,36,0,27,27,0,9,9,0
Compromis,32,32,0,24,24,0,8,8,0
CUP,15,15,0,9,9,0,6,6,0
SUMAR,33,33,0,15,18,3,18,15,-3
Ciudadanos,36,36,0,21,24,3,15,12,-3
PSC,36,36,0,21,24,3,15,12,-3
EH Bildu,48,48,0,20,24,4,28,24,-4
FORO Asturias,48,48,0,28,32,4,20,16,-4
BNG,48,48,0,1,7,6,47,41,-6
VOX,33,33,0,3,9,6,30,24,-6
EAJ-PNV,36,36,0,15,24,9,21,12,-9
PP,56,56,0,3,23,20,53,33,-20
