party_name,pre_evidence_rows,post_evidence_rows,delta_evidence_rows,pre_support_rows,post_support_rows,delta_support_rows,pre_unclear_rows,post_unclear_rows,delta_unclear_rows,pre_support_ratio,post_support_ratio,delta_support_ratio
EH Bildu,48,48,0,24,24,0,24,24,0,0.5,0.5,0.0
Izquierda Unida,36,36,0,15,15,0,21,21,0,0.4167,0.4167,0.0
SUMAR,33,33,0,18,18,0,15,15,0,0.5455,0.5455,0.0
EQUO,36,36,0,24,24,0,12,12,0,0.6667,0.6667,0.0
PSC,36,36,0,24,24,0,12,12,0,0.6667,0.6667,0.0
CUP,15,15,0,9,9,0,6,6,0,0.6,0.6,0.0
PP,56,56,0,23,24,1,33,32,-1,0.4107,0.4286,0.0179
VOX,33,33,0,9,12,3,24,21,-3,0.2727,0.3636,0.0909
Ciudadanos,36,36,0,24,27,3,12,9,-3,0.6667,0.75,0.0833
EAJ-PNV,36,36,0,24,27,3,12,9,-3,0.6667,0.75,0.0833
UPN,36,36,0,27,30,3,9,6,-3,0.75,0.8333,0.0833
CCa,35,35,0,18,22,4,17,13,-4,0.5143,0.6286,0.1143
FORO Asturias,48,48,0,32,36,4,16,12,-4,0.6667,0.75,0.0833
Compromis,32,32,0,24,28,4,8,4,-4,0.75,0.875,0.125
BNG,48,48,0,7,18,11,41,30,-11,0.1458,0.375,0.2292
