party_id,party_name,election_cycle,kind,source_url,format_hint,language,scope,snapshot_date,local_path,notes
1055,Ciudadanos,es_autonomicas_2023,programa,https://www.ciudadanos-cs.org/programa-electoral,html,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/20cfdcde72565a09ef2befbfb559fa4c5a1dc17a05e57a5d75c87ee8e5e83c93.html,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
14,VOX,es_autonomicas_2023,programa,https://www.voxespana.es/wp-content/uploads/2025/10/Programa-WEB-021025.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/0d3e55ebe42c6bf5ad468cc5a14fff4423a454d9fbbea2890f62b5114fbd4cf2.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
18201,EQUO,es_autonomicas_2023,programa,https://verdesequo.es/wp-content/uploads/2023/07/Un-Programa-para-ti-bueno.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/87a2eb0e240c6b431027c2eea9fdd994219b4f3f11d28d3902630b7ded093549.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
18,EAJ-PNV,es_autonomicas_2023,programa,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/46fec3a017cdc5c4e506fa5e228b97690071d5a03dfd3d8128392aa20f57d132.pdf,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-250-recovery-v2-targeted;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
22,"EH Bildu",es_autonomicas_2023,programa,https://ehbildu.eus/herriak/irunea/dokumentuak/ES_1682328517.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/d82af4c09b076bdd33618da6bcb8416170ac03d88c112cd6013df2d3da4811e9.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-249-recovery-override;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
22,"EH Bildu",es_autonomicas_2023,programa_pdf,https://ehbildu.eus/herriak/irunea/dokumentuak/ES_1682328517.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/d82af4c09b076bdd33618da6bcb8416170ac03d88c112cd6013df2d3da4811e9.pdf,pdf-priority-ai-ops-242;ai-ops-249-recovery-override;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
276,BNG,es_autonomicas_2023,programa,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/ca4ce43f0df94bf0f77dcdd459588312990df3db915c902bd0b2152b205ad0e3.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
29,SUMAR,es_autonomicas_2023,programa,https://movimientosumar.es/programa,html,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/8f2696b9f96fc44f10b7de3aedb23c9e90a2e744a79570770793dfe95a1db8de.html,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
2,PP,es_autonomicas_2023,programa,https://www.pp.es/storage/2025/09/Manifesto_2024.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/278089a5c1af19006e8e8a0aa324cb9b513334dbe023561d911fc073c1227ee1.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
347,CCa,es_autonomicas_2023,programa,https://coalicioncanaria.org/wp-content/uploads/cc-pdf/programas-electorales/00%20Programa%20Electoral%20Elecciones%20auton%C3%B3micas%20y%20municipales%202023.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/1b3b8b2504907658669e93b225e2c532b94881bec0d33ed610450b27f36a5bcc.pdf,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-250-recovery-v3-targeted;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
4756,"FORO Asturias",es_autonomicas_2023,programa,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/01caf5a40db4e3634b8bcd501991eff55589563055989a2599bf32fce9532d1c.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
4756,"FORO Asturias",es_autonomicas_2023,programa_pdf,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/01caf5a40db4e3634b8bcd501991eff55589563055989a2599bf32fce9532d1c.pdf,pdf-priority-ai-ops-242;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
61293,Compromis,es_autonomicas_2023,programa,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/da6ee75692555f57f0a1f8aea4f2cd62952386e2868afa321ecc98a1ed838b81.pdf,official-party-site-homepage-ai-ops-240;deeplink-auto-ai-ops-245;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
61293,Compromis,es_autonomicas_2023,programa_pdf,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,pdf,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/da6ee75692555f57f0a1f8aea4f2cd62952386e2868afa321ecc98a1ed838b81.pdf,pdf-priority-ai-ops-242;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
67790,PSC,es_autonomicas_2023,programa,https://www.socialistes.cat/es/actualitat/programa-electoral-psc-montgat-2023-2027/,html,es,autonomico,2026-02-28,etl/data/raw/text_documents/programas_partidos/acb970a24a70ba40da09b070fe4ffb7b5efe5da21ef3e648ed0d2df05588fa3a.html,official-party-site-homepage-ai-ops-240;ai-ops-249-recovery-override;ai-ops-251-recovery-v4-psc-upn;ai-ops-253-residual-support0-targeted-v1;ai-ops-253-local-replay
