party_name,pre_evidence_rows,post_evidence_rows,delta_evidence_rows,pre_support_rows,post_support_rows,delta_support_rows,pre_unclear_rows,post_unclear_rows,delta_unclear_rows,pre_support_ratio,post_support_ratio,delta_support_ratio
BNG,48,48,0,18,20,2,30,28,-2,0.3750,0.4167,0.0417
CCa,35,35,0,22,24,2,13,11,-2,0.6286,0.6857,0.0571
CUP,15,15,0,9,9,0,6,6,0,0.6000,0.6000,0.0000
Ciudadanos,36,36,0,27,27,0,9,9,0,0.7500,0.7500,0.0000
Compromis,32,32,0,28,28,0,4,4,0,0.8750,0.8750,0.0000
EAJ-PNV,36,36,0,27,27,0,9,9,0,0.7500,0.7500,0.0000
EH Bildu,48,48,0,24,30,6,24,18,-6,0.5000,0.6250,0.1250
EQUO,36,36,0,24,24,0,12,12,0,0.6667,0.6667,0.0000
FORO Asturias,48,48,0,36,33,-3,12,15,3,0.7500,0.6875,-0.0625
Izquierda Unida,36,36,0,15,15,0,21,21,0,0.4167,0.4167,0.0000
PP,56,56,0,24,24,0,32,32,0,0.4286,0.4286,0.0000
PSC,36,36,0,24,26,2,12,10,-2,0.6667,0.7222,0.0556
SUMAR,33,33,0,18,22,4,15,11,-4,0.5455,0.6667,0.1212
UPN,36,36,0,30,30,0,6,6,0,0.8333,0.8333,0.0000
VOX,33,33,0,12,16,4,21,17,-4,0.3636,0.4848,0.1212
