party_name,excerpt
BNG,"paxina 25 4 a defensa dos dereitos das persoas lgbt paxina 27 5 na defensa da democracia e das liberdades publicas paxina 31 6 por uns servizos publicos de calidade a educacion b sanidade paxina 39 7 economia ao servizo das maiorias sociais a por unha nova fiscalidade b crise industrial c agro e pesca d ciencia e innov"
BNG,"ualdade real paxina 25 4 a defensa dos dereitos das persoas lgbt paxina 27 5 na defensa da democracia e das liberdades publicas paxina 31 6 por uns servizos publicos de calidade a educacion b sanidade paxina 39 7 economia ao servizo das maiorias sociais a por unha nova fiscalidade b crise industrial c agro e pesca d ci"
BNG,"rciais ou insuficientes que fosen que inicialmente o psoe se negaba a adoptar ou cualificaba de imposibeis entre elas medidas para o control da escalada de prezos especialmente na electricidade e carburantes na aplicacion de impostos a banca as enerxeticas e as grandes fortunas ou mesmo moitas das axudas aos sectores a"
BNG,"a laboral do pp non derrogada na sua totalidade e so moi parcialmente modificada os novos recortes en pensions a escalada belicista e o aumento do gasto militar ou a proteccion da corrupcion da monarquia o psoe votou reiteradamente con pp e vox para rexeitar as comisions de investigacion que propuxemos o bng e outras f"
BNG,"das persoas que o precisen e soliciten e limitar as consultas telefonicas ou telematicas a actividades complementarias recuperacion das xerencias de atencion primaria con capacidade de decision resolutiva e orzamentaria incrementar a capacidade diagnostica e de acceso a tecnoloxia de atencion primaria permitir solicita"
BNG,"ions de territorio produtor de electricidade reformar o bono social do estado aumentando a sua cobertura e considerando as condicions habitacionais e climaticas de galiza prohibir permanentemente os cortes de luz auga e gas as familias e coletivos socialmente vulnerabeis e impulsar de xeito efeitivo o autoconsumo e a e"
BNG,"o seu caso con base en criterios de obxectividade evitando a arbitrariedade existente actualmente ligada a unha forma especifica de clientelismo que constitue de facto un xeito de corrupcion os organos administrativos encargados da concesion das axudas elaboraran informes anuais con toda a informacion relevante dos eix"
BNG,"o a capacidade de decision do pobo galego avanzando no noso reconecemento como nacion e no noso autogoberno 3 coidar as persoas especialmente a quen mais o precisa reducindo as desigualdades asi como fortalecendo e ampliando os servizos publicos esenciais 4 coidar o territorio e o planeta a traves dun pais mais ordenad"
BNG,"populares e traballadoras asi o aumento continuado das taxas de xuro por parte do bce do 0 en 2012 ao 45 actual un tipo nunca visto desde o ano 2001 provocaron o aumento das cotas hipotecarias afogando familias e tecido produtivo mentres as entidades financeiras atinxian record de lucros a ue non quixo despregar ningun"
BNG,"ses das grandes transnacionais que exercen un forte poder lobistico sobre o seu deseno como esta a acontecer na galiza cos macroproxectos de enerxia eolica terrestre e marina ao amparo de politicas europeas que non tenen en conta a nosa especificidade ou coa megacelulosa proxectada pola empresa greenfiber altri greenal"
BNG,"oliticas vertebradoras do punto de vista territorial e de mobilidade a proba mais evidente foi a non inclusion inicial da nosa nacion no corredor atlantico da rede transeuropea de transportes a falla de conexions modernas con portugal ou os problemas sistematicos no transporte que viven diariamente moitas galegas e gal"
BNG,"belicista cada vez mais desenfreada outra mostra do fracasado modelo neoliberal da ue son os fluxos migratorios que non paran de exacerbarse non so provocando a chegada masiva de inmigrantes extracomunitarias que foxen de guerras e miseria nos seus paises de orixe provocadas en parte directa ou indirectamente polas pol"
BNG,"de control en termos de seguridade e a ser o financiador a cargo de debeda publica dun gran negocio que se esta a demostrar que estivo atravesado por un afan especulativo e tramas corruptas diante dos graves efectos economicos e sociais que se derivaron da pandemia a ue deu unha resposta aparentemente distinta da despr"
BNG,"populares e traballadoras asi o aumento continuado das taxas de xuro por parte do bce do 0 en 2012 ao 45 actual un tipo nunca visto desde o ano 2001 provocaron o aumento das cotas hipotecarias afogando familias e tecido produtivo mentres as entidades financeiras atinxian record de lucros a ue non quixo despregar ningun"
BNG,"ses das grandes transnacionais que exercen un forte poder lobistico sobre o seu deseno como esta a acontecer na galiza cos macroproxectos de enerxia eolica terrestre e marina ao amparo de politicas europeas que non tenen en conta a nosa especificidade ou coa megacelulosa proxectada pola empresa greenfiber altri greenal"
BNG,"oliticas vertebradoras do punto de vista territorial e de mobilidade a proba mais evidente foi a non inclusion inicial da nosa nacion no corredor atlantico da rede transeuropea de transportes a falla de conexions modernas con portugal ou os problemas sistematicos no transporte que viven diariamente moitas galegas e gal"
BNG,"belicista cada vez mais desenfreada outra mostra do fracasado modelo neoliberal da ue son os fluxos migratorios que non paran de exacerbarse non so provocando a chegada masiva de inmigrantes extracomunitarias que foxen de guerras e miseria nos seus paises de orixe provocadas en parte directa ou indirectamente polas pol"
BNG,"de control en termos de seguridade e a ser o financiador a cargo de debeda publica dun gran negocio que se esta a demostrar que estivo atravesado por un afan especulativo e tramas corruptas diante dos graves efectos economicos e sociais que se derivaron da pandemia a ue deu unha resposta aparentemente distinta da despr"
BNG,"produtivo mentres as entidades financeiras atinxian record de lucros a ue non quixo despregar ningunha medida efectiva e real para combater a carestia da vida empurrada pola crise inflacionaria nin o crecente empobrecemento social o horizonte que trazan reformas en curso como a da denominada gobernanza economica da ue "
BNG,"remo nun cadro de evidente emerxencia sanitaria a ue permitiu na practica unha intervencion publica efectiva senon que relegou o papel do publico a medidas de control en termos de seguridade e a ser o financiador a cargo de debeda publica dun gran negocio que se esta a demostrar que estivo atravesado por un afan especu"
