party_name,pre_evidence_rows,post_evidence_rows,delta_evidence_rows,pre_support_rows,post_support_rows,delta_support_rows,pre_unclear_rows,post_unclear_rows,delta_unclear_rows,pre_support_ratio,post_support_ratio,delta_support_ratio
BNG,48,48,0,20,24,4,28,24,-4,0.4167,0.5000,0.0833
CCa,35,35,0,24,24,0,11,11,0,0.6857,0.6857,0.0000
CUP,15,15,0,9,12,3,6,3,-3,0.6000,0.8000,0.2000
Ciudadanos,36,36,0,27,27,0,9,9,0,0.7500,0.7500,0.0000
Compromis,32,32,0,28,28,0,4,4,0,0.8750,0.8750,0.0000
EAJ-PNV,36,36,0,27,27,0,9,9,0,0.7500,0.7500,0.0000
EH Bildu,48,48,0,30,34,4,18,14,-4,0.6250,0.7083,0.0833
EQUO,36,36,0,24,27,3,12,9,-3,0.6667,0.7500,0.0833
FORO Asturias,48,48,0,33,45,12,15,3,-12,0.6875,0.9375,0.2500
Izquierda Unida,36,36,0,15,18,3,21,18,-3,0.4167,0.5000,0.0833
PP,56,56,0,24,29,5,32,27,-5,0.4286,0.5179,0.0893
PSC,36,36,0,26,27,1,10,9,-1,0.7222,0.7500,0.0278
SUMAR,33,33,0,22,22,0,11,11,0,0.6667,0.6667,0.0000
UPN,36,36,0,30,30,0,6,6,0,0.8333,0.8333,0.0000
VOX,33,33,0,16,18,2,17,15,-2,0.4848,0.5455,0.0606
