sample_id,party_name,source_url,evidence_id,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560337,poboacion para o acceso a certos servizos ou produtos financeiros como prestamos tarxetas de credito domiciliacion bancaria da nomina etc limitar os xuros abusivos para prestamos hipotecarios que tenan como finalidade a adquisicion da primeira vivenda mediante un sistema que considere criterios de vulnerabilidade socia,true_positive,propuesta programatica accionable en concern relevante
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560338,ion da natureza dos rendementos minorando a tributacion polos ingresos do traballo e aumentando a correspondente aos derivados do capital e deducions inversamente proporcionais aos tipos de gravame imposto de sociedades estabelecer a progresividade en funcion da dimension da empresa e deducions inversamente proporciona,true_positive,propuesta programatica accionable en concern relevante
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560340,o de normalizacion da lingua galego no sergas d educacion o ensino e un dereito e como tal debe ser garantido a traves dun servizo publico universal de calidade e gratuito para garantir este dereito desde o bng propomos incrementar o investimento publico en educacion co obxectivo de alcanzar progresivamente o 7 do pib ,true_positive,propuesta programatica accionable en concern relevante
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560342,plan integral do ensino no rural garantir as infraestruturas os servizos complementarios e medios necesarios para prestar un ensino de calidade e adaptado a realidade de cada zona eixo 04 un pais con benestar social 39 facilitar os servizos complementares gratuitos comedor e transporte escolar no ensino publico asumind,true_positive,propuesta programatica accionable en concern relevante
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560343,anceiro que supervise e controle entidades e axentes financeiros limitando movementos especulativos de capital e supeditando a actividade financeira as necesidades da economia produtiva acordar medidas complementarias a aposta por instrumentos financeiros propios para impediren a expulsion dos nosos aforros e a sua uti,true_positive,propuesta programatica accionable en concern relevante
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560345,habitual acheguen mais ao sostemento dos servizos publicos galegos ao tempo que dotaremos a escala deste imposto de maior progresividade asi mesmo aproveitaremos as nosas capacidades fiscais para crear novos tributos ou modificar alguns dos existentes para afondar na protecion dos interesses ambientais da maioria socia,true_positive,propuesta programatica accionable en concern relevante
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560439,lugueiros de curta duracion para evitar a especulacion en relacion coa defensa do sistema publico de asistencia social o bng propora no parlamento europeo todas medidas de apoio a sanidade publica galega o impulso a programas de saude mental o acceso aos medicamentos en igualdade de condicions para todos os estados mem,true_positive,propuesta programatica accionable en concern relevante
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560440,de sancions inmediatas ao estado israeli ensino publico frear a mercantilizacion do ensino en todos os niveis particularmente no superior plan bolona continuando a aposta por unha universidade publica galega e de calidade educativa e investigadora co fomento das iniciativas de apoio economico a innovacion nas universid,true_positive,propuesta programatica accionable en concern relevante
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560441,zar o seu novo modelo enerxetico diante 11 medidas urxentes 20 da progresiva eliminacion de materias primas finitas demanda do reconecemento do dereito de galiza a ter unha tarifa electrica galega que lle permita facer do seu papel de produtora excedentaria un motor de desenvolvemento economico e social en harmonia e c,true_positive,propuesta programatica accionable en concern relevante
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2024/05/14/24_bng_programa_europeas_2.pdf,1560445,ervacion neste ambito estabelecemento dun novo status institucional para galiza na ue en materia pesqueira reconecendo formalmente o seu caracter como zona altamente dependente da pesca e posibilitando a sua presenza con dereito de decision e obxeccion nas institucions comunitarias onde se adoptaren decisions en materi,true_positive,propuesta programatica accionable en concern relevante
