batch_id,source_id,member_name_normalized,final_decision,final_person_id,agreement_ratio,adjudicator_note
factory-20260219-lane_b-001,congreso_votaciones,josé luis Ábalos meco,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,carlos gil santiago,match,24871,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,jorge pueyo sanz,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,maría del socorro cuesta rodríguez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,pedro casares hontañón,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,francisco lucas ayala,match,72309,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,noelia núñez gonzález,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,sandra fernández herranz,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,joseba koldobika martÍnez urionabarrenetxea,match,75211,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,santos cerdán león,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,maría guijarro ceballos,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,aitor esteban bravo,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,iñaki ruiz de pinedo undiano,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,gala pin ferrando,match,68452,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,maría del mar gonzález bella,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,sergio carlos matos castro,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,paula fernández pena,match,74655,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,Íñigo errejón galván,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,josÉ,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,montserrat bassa coll,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,francisco javier,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,asier antona gómez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,mercedes gonzález fernández,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,sonia guerra lópez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,eduard pujol bonell,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,teresa llorens carbonell,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,adriana lastra fernández,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,esteban gonzález pons,match,386,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,senado_votaciones,virginia,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,hana jalloul muro,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa rosario,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,juan marÍa,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,ana maría pastor julián,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,pedro luis huguet tous,match,72902,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,congreso_votaciones,zaida cantera de castro,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,josÉ manuel,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,pedro,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa josÉ,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,miguel Ángel,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,josÉ luis,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa pilar,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,david regades fernández,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,josé miñones conde,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,Ángel,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,francisco,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,juan josÉ,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,congreso_votaciones,javier de andrés guerra,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa del mar angulo martÍnez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,ricardo luis gabriel canals lizano,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,alberto,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,juan marÍa cornejo lÓpez,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,antonio,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,sebastiÁn,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,vicente,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,iÑaki,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,joan,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,carmen,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,jesÚs,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,josÉ antonio,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,josÉ marÍa,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,Óscar,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,josep,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa dolores,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,congreso_votaciones,josé ramón gómez besteiro,match,70789,1.00,pass1/pass2 exact match
factory-20260219-lane_b-001,senado_votaciones,carles,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,marÍa del carmen,ambiguous,,0.50,pass disagreement or multi-candidate conflict
factory-20260219-lane_b-001,senado_votaciones,rosa marÍa,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,marÍa,no_match,,1.00,pass1/pass2 agree no_match
factory-20260219-lane_b-001,senado_votaciones,juan,ambiguous,,0.50,pass disagreement or multi-candidate conflict
