batch_id,source_id,member_name_normalized,member_name_example,group_code_example,legislature_example,candidate_person_ids_json,candidate_names_json,candidate_party_json,task_note
factory-20260219-lane_b-001,congreso_votaciones,josé luis Ábalos meco,José Luis Ábalos Meco,GMx,,[],[],[],unresolved_rows=1569
factory-20260219-lane_b-001,congreso_votaciones,carlos gil santiago,Carlos Gil Santiago,GP,,[24871],"[""Carlos Santiago""]","[""EAJ-PNV""]",unresolved_rows=1566
factory-20260219-lane_b-001,congreso_votaciones,jorge pueyo sanz,Jorge Pueyo Sanz,GSUMAR,,"[325, 43718, 67934, 67934, 67934]","[""Luisa Sanz Mart\u00ednez"", ""MARIA SANZ"", ""PALOMA IN\u00c9S SANZ JER\u00d3NIMO"", ""PALOMA IN\u00c9S SANZ JER\u00d3NIMO"", ""PALOMA IN\u00c9S SANZ JER\u00d3NIMO""]","[""PSOE"", ""PSN-PSOE"", """", ""14:801"", ""15:801""]",unresolved_rows=1566
factory-20260219-lane_b-001,congreso_votaciones,maría del socorro cuesta rodríguez,María del Socorro Cuesta Rodríguez,GP,,[],[],[],unresolved_rows=1558
factory-20260219-lane_b-001,congreso_votaciones,pedro casares hontañón,Pedro Casares Hontañón,GS,,[],[],[],unresolved_rows=1219
factory-20260219-lane_b-001,congreso_votaciones,francisco lucas ayala,Francisco Lucas Ayala,GS,,[72309],"[""Francisco Lucas Ayala""]","[""Grupo Parlamentario Socialista hasta el 07/08/2023, fecha en la que renuncia a su esca\u00f1o tras ser elegido diputado a Cortes.""]",unresolved_rows=1218
factory-20260219-lane_b-001,congreso_votaciones,noelia núñez gonzález,Noelia Núñez González,GP,,[],[],[],unresolved_rows=1218
factory-20260219-lane_b-001,congreso_votaciones,sandra fernández herranz,Sandra Fernández Herranz,GP,,"[387, 68512, 74394]","[""Esther HERRANZ GARC\u00cdA"", ""Felipe Vilas Herranz"", ""JAVIER VICENTE SANTAMAR\u00cdA HERRANZ""]","[""Grupo del Partido Popular Europeo (Dem\u00f3crata-Cristianos)"", ""Grupo Parlamentario Popular"", ""GPP""]",unresolved_rows=1199
factory-20260219-lane_b-001,senado_votaciones,joseba koldobika martÍnez urionabarrenetxea,JOSEBA KOLDOBIKA MARTÍNEZ URIONABARRENETXEA,"GRUPO PARLAMENTARIO DE IZQUIERDA CONFEDERAL (ADELANTE ANDALUCÍA, MÉS PER MALLORCA, MÁS MADRID, COMPROMÍS, GEROA BAI Y AGRUPACIÓN SOCIALISTA GOMERA)",,[75211],"[""KOLDO MART\u00cdNEZ URIONABARRENETXEA""]","[""14:804""]",unresolved_rows=1168
factory-20260219-lane_b-001,congreso_votaciones,santos cerdán león,Santos Cerdán León,GS,,[],[],[],unresolved_rows=1164
factory-20260219-lane_b-001,congreso_votaciones,maría guijarro ceballos,María Guijarro Ceballos,GS,,"[72707, 73166]","[""Eva Ceballos Marroqu\u00edn"", ""Mar\u00eda Bel\u00e9n Ceballos de la Herr\u00e1n""]","[""Socialista"", ""Grupo Parlamentario Popular""]",unresolved_rows=1144
factory-20260219-lane_b-001,congreso_votaciones,aitor esteban bravo,Aitor Esteban Bravo,GV (EAJ-PNV),,"[62, 67765, 67765, 68064, 68631]","[""Juan Bravo Baena"", ""MIRIAM BRAVO S\u00c1NCHEZ"", ""MIRIAM BRAVO S\u00c1NCHEZ"", ""MIRIAM BRAVO S\u00c1NCHEZ"", ""Juan Bravo Rivera""]","[""PP"", """", ""15:801"", """", ""Grupo Parlamentario Popular""]",unresolved_rows=1067
factory-20260219-lane_b-001,congreso_votaciones,iñaki ruiz de pinedo undiano,Iñaki Ruiz de Pinedo Undiano,GEH Bildu,,[],[],[],unresolved_rows=920
factory-20260219-lane_b-001,congreso_votaciones,gala pin ferrando,Gala Pin Ferrando,GSUMAR,,[68452],"[""Elia Picardo Ferrando""]","[""Grupo Parlamentario Popular""]",unresolved_rows=898
factory-20260219-lane_b-001,congreso_votaciones,maría del mar gonzález bella,María del Mar González Bella,GP,,"[198, 357, 30854, 36850, 38873]","[""Ana Mart\u00ednez Labella"", ""Bella Verano Dom\u00ednguez"", ""BELLA MERCEDES"", ""ATZARA BELLATRIX"", ""Anabella""]","[""PP"", ""PP"", ""PSOE-A"", ""ASG-X TU"", ""PSOE""]",unresolved_rows=785
factory-20260219-lane_b-001,congreso_votaciones,sergio carlos matos castro,Sergio Carlos Matos Castro,GS,,"[40, 56, 67855, 67855, 68078]","[""Trinidad Carmen Argota Castro"", ""Jos\u00e9 Antonio Berm\u00fadez de Castro Fern\u00e1ndez"", ""MAR\u00cdA TERESA MALLADA DE CASTRO"", ""MAR\u00cdA TERESA MALLADA DE CASTRO"", ""MAR\u00cdA TERESA MALLADA DE CASTRO""]","[""PSOE"", ""PP"", """", ""15:801"", """"]",unresolved_rows=769
factory-20260219-lane_b-001,congreso_votaciones,paula fernández pena,Paula Fernández Pena,GS,,[74655],"[""PAULA MAR\u00cdA FERN\u00c1NDEZ PENA""]","[""GPS""]",unresolved_rows=723
factory-20260219-lane_b-001,congreso_votaciones,Íñigo errejón galván,Íñigo Errejón Galván,GPlu,,[],[],[],unresolved_rows=635
factory-20260219-lane_b-001,senado_votaciones,josÉ,JOSÉ,GRUPO PARLAMENTARIO ENTESA PEL PROGRÉS DE CATALUNYA,,[],[],[],unresolved_rows=629
factory-20260219-lane_b-001,congreso_votaciones,montserrat bassa coll,Montserrat Bassa Coll,GR,,"[67926, 67926, 67926, 68012, 68509]","[""MAR\u00cdA SALOM COLL"", ""MAR\u00cdA SALOM COLL"", ""MAR\u00cdA SALOM COLL"", ""MAR\u00cdA SALOM COLL"", ""Juan Jim\u00e9nez Collado""]","["""", ""14:801"", ""15:801"", """", ""Grupo Parlamentario Popular""]",unresolved_rows=551
factory-20260219-lane_b-001,senado_votaciones,francisco javier,FRANCISCO JAVIER,GRUPO PARLAMENTARIO MIXTO,,"[1085, 1124, 1343, 1556, 1570]","[""FRANCISCO JAVIER"", ""FRANCISCO JAVIER"", ""FRANCISCO JAVIER"", ""FRANCISCO JAVIER"", ""FRANCISCO JAVIER""]","[""PSOE"", ""PSOE"", ""UCIN"", ""VOX"", ""PP""]",unresolved_rows=544
factory-20260219-lane_b-001,congreso_votaciones,asier antona gómez,Asier Antona Gómez,GP,,[],[],[],unresolved_rows=540
factory-20260219-lane_b-001,congreso_votaciones,mercedes gonzález fernández,Mercedes González Fernández,GS,,[],[],[],unresolved_rows=540
factory-20260219-lane_b-001,congreso_votaciones,sonia guerra lópez,Sonia Guerra López,GS,,[],[],[],unresolved_rows=527
factory-20260219-lane_b-001,congreso_votaciones,eduard pujol bonell,Eduard Pujol Bonell,GJxCAT,,"[67906, 67906, 68216]","[""EDUARD PUJOL BONELL"", ""EDUARD PUJOL BONELL"", ""EDUARD PUJOL BONELL""]","["""", ""15:807"", """"]",unresolved_rows=526
factory-20260219-lane_b-001,congreso_votaciones,teresa llorens carbonell,Teresa Llorens Carbonell,GS,,"[67775, 67775, 68190]","[""FERNANDO CARBONELL TATAY"", ""FERNANDO CARBONELL TATAY"", ""FERNANDO CARBONELL TATAY""]","["""", ""15:806"", """"]",unresolved_rows=526
factory-20260219-lane_b-001,congreso_votaciones,adriana lastra fernández,Adriana Lastra Fernández,GS,,[],[],[],unresolved_rows=451
factory-20260219-lane_b-001,congreso_votaciones,esteban gonzález pons,Esteban González Pons,GP,,[386],"[""Esteban GONZ\u00c1LEZ PONS""]","[""Grupo del Partido Popular Europeo (Dem\u00f3crata-Cristianos)""]",unresolved_rows=435
factory-20260219-lane_b-001,senado_votaciones,virginia,VIRGINIA,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,,"[1266, 1493, 5703, 6475, 7605]","[""VIRGINIA"", ""VIRGINIA"", ""VIRGINIA"", ""VIRGINIA"", ""VIRGINIA""]","[""PP"", ""ACORD PER GUANYAR"", ""PSOE"", ""PP"", ""PP""]",unresolved_rows=380
factory-20260219-lane_b-001,congreso_votaciones,hana jalloul muro,Hana Jalloul Muro,GS,,"[389, 69150]","[""Hana JALLOUL MURO"", ""Hana Jalloul Muro""]","[""Grupo de la Alianza Progresista de Socialistas y Dem\u00f3cratas en el Parlamento Europeo"", ""Grupo Parlamentario Socialista""]",unresolved_rows=376
factory-20260219-lane_b-001,senado_votaciones,marÍa rosario,MARÍA ROSARIO,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,,"[1017, 1346, 1808, 1810, 2034]","[""ROSARIO ANA"", ""ROSARIO PILAR"", ""ROSARIO VICENTA"", ""TANIA ANA ROSARIO"", ""ROSARIO""]","[""PSOE"", ""VOX"", ""PP"", ""PP"", ""PP""]",unresolved_rows=351
factory-20260219-lane_b-001,senado_votaciones,juan marÍa,JUAN MARÍA,GRUPO PARLAMENTARIO SOCIALISTA,,[],[],[],unresolved_rows=348
factory-20260219-lane_b-001,congreso_votaciones,ana maría pastor julián,Ana María Pastor Julián,GP,,[],[],[],unresolved_rows=335
factory-20260219-lane_b-001,congreso_votaciones,pedro luis huguet tous,Pedro Luis Huguet Tous,GP,,[72902],"[""Excm. Sr. Pere Llu\u00eds Huguet Tous""]","[""Partit Popular""]",unresolved_rows=333
