batch_id,unit_type,unit_id,final_concern_ids_csv,primary_concern_id,agreement_ratio,adjudicator_note
factory-20260219-lane_d-001,parl_initiative_doc,141590,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141591,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141592,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141593,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141594,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141595,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141596,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141597,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141598,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141599,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141600,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141601,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141602,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141602,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141602,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141603,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141604,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141605,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141605,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141605,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141606,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141607,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141607,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141608,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141609,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141610,vivienda,vivienda,1.00,single-pass deterministic adjudication
factory-20260219-lane_d-001,parl_initiative_doc,141611,vivienda,vivienda,1.00,single-pass deterministic adjudication
