batch_id,policy_event_id,policy_axis_key,final_direction,final_intensity,final_confidence,agreement_ratio,adjudicator_note
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260210-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260210-referencia-rueda-de-prensa-ministros.aspx,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260203-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260203-referencia-rueda-de-prensa-ministros.aspx,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260127-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260127-referencia-rueda-de-prensa-ministros.aspx,vivienda,0,0.35,0.45,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_rss_referencias:tipo16:20260120-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260120-referencia-rueda-de-prensa-ministros.aspx,igualdad,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260113-referencia-rueda-de-prensa-ministros.aspx,coste_vida,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20260107-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251223-referencia-rueda-de-prensa-ministros.aspx,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251216-referencia-rueda-de-prensa-ministros.aspx,empleo,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251209-referencia-rueda-de-prensa-ministros.aspx,educacion,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251202-referencia-rueda-de-prensa-ministros.aspx,energia,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251125-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251118-referencia-rueda-de-prensa-ministros.aspx,energia,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251111-referencia-rueda-de-prensa-ministros.aspx,empleo,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251104-referencia-rueda-de-prensa-ministros.aspx,campo_rural,1,0.60,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251028-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251021-referencia-rueda-de-prensa-ministros.aspx,seguridad_justicia,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251014-referencia-rueda-de-prensa-ministros.aspx,transporte,0,0.35,0.58,1.00,pass1/pass2 agreement
factory-20260219-lane_e-001,moncloa:moncloa_referencias:referencia:20251007-referencia-rueda-de-prensa-ministros.aspx,vivienda,1,0.60,0.45,0.50,pass disagreement; kept pass1 conservative default
