sample_id,party_name,source_url,evidence_id,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,uita as vivendas solos e promocions da sareb de forma que permitan aumentar a oferta de parque publico de vivenda do igvs ali onde exista demanda impulsar a proteccion das persoas arrendadoras fomentando entre outros contratos mais longos e estabeis reformular a fiscalidade sobre a vivenda con criterios redistributivos,,
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,s queremos salientar os repetidos pronunciamentos do congreso a favor da continuidade de alcoa na marina que apoiaron a loita dos traballadores e traballadoras e impulsaron o goberno a actuar para evitar o fechamento da empresa mais tamen as numerosas emendas presentadas que ainda que fose parcialmente contribuiron a m,,
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,idades do noso pais ai figuran propostas de partidas para recuperar o deficit historico da galiza en materia de investimentos en infraestruturas viarias ferroviarias e servizos de transporte publico para atender a grave crise industrial que padece o noso pais e avanzar nunha transicion xusta para introducion 05 que gal,,
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560543,rioritarias para os intereses sociais e economicos das galegas e dos galegos como a creacion de tres novos xulgados de violencia de xenero no noso pais a solucion ao problema dos emigrantes retornados coa facenda espanola saldar a debeda coa galiza na lei de dependencia a modernizacion xeral da rede ferroviaria interna,,
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560545,arina que apoiaron a loita dos traballadores e traballadoras e impulsaron o goberno a actuar para evitar o fechamento da empresa mais tamen as numerosas emendas presentadas que ainda que fose parcialmente contribuiron a mellorar diversas leis como exemplo na lei de pesca foron incorporadas tres propostas do bng moi rel,,
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,obre a renda das persoas fisicas irpf consideramos preciso incrementar a sua progresividade que pague mais quen mais renda obten deflactar as tarifas do irpf en funcion da taxa de inflacion na galiza estabelecer distintos tipos de gravame en funcion da natureza dos rendementos minorando a tributacion polos ingresos do ,,
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,fenda por razon de xenero en calquera ambito ou servizo publico introducion do termo feminicidio na lexislacion espanola e impulso dun estatuto de vitima de feminicidio para unha abordaxe integral da violencia machista mellorar o sistema de proteccion das mulleres en situacion de violencia machista a traves entre outra,,
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,fenda por razon de xenero en calquera ambito ou servizo publico introducion do termo feminicidio na lexislacion espanola e impulso dun estatuto de vitima de feminicidio para unha abordaxe integral da violencia machista mellorar o sistema de proteccion das mulleres en situacion de violencia machista a traves entre outra,,
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560337,poboacion para o acceso a certos servizos ou produtos financeiros como prestamos tarxetas de credito domiciliacion bancaria da nomina etc limitar os xuros abusivos para prestamos hipotecarios que tenan como finalidade a adquisicion da primeira vivenda mediante un sistema que considere criterios de vulnerabilidade socia,,
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560338,ion da natureza dos rendementos minorando a tributacion polos ingresos do traballo e aumentando a correspondente aos derivados do capital e deducions inversamente proporcionais aos tipos de gravame imposto de sociedades estabelecer a progresividade en funcion da dimension da empresa e deducions inversamente proporciona,,
S011,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560925,ion de primera de vivienda por jovenes o personas con discapacidad pagina 38 de 125 adquisicion de vivienda por parte de mujeres victimas de violencia de genero adquisicion de viviendas en nucleos rurales adquisicion de vivienda por familias numerosas con ampliacion de superficie habitable 2 establecer un tipo general ,,
S012,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560926,a los trabajadores desempleados 5 de igual modo reforzaremos las funciones de orientacion desempenadas por asociaciones y entidades sin animo de lucro que veran ampliadas sus competencias y asignaciones presupuestarias impulsaremos tambien el papel de las medidas de acompanamiento al empleo de esta forma se completara ,,
S013,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560927,o boton sos etc 11 reforzaremos las plantillas de acuerdo a la normativa vigente sobre contratacion para garantizar la cobertura asistencial adecuada en cada nivel con el objetivo de no sobrecargar a los trabajadores 12 impulsaremos la implantacion definitiva de las diferentes especialidades de enfermeria geriatria sal,,
S014,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560928,or anadido del producto y la localizacion de las empresas en el territorio del principado de asturias 3 incentivar la innovacion tecnologica en las fases de transformacion y comercializacion de los productos pesqueros 4 facilitar el acercamiento de las empresas de transformacion y comercializacion de los productos pesq,,
S015,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560929,stas zonas tambien deben estar dotadas de redes de servicios adecuadas y a precios competitivos todos estos factores son decisivos para la localizacion de nuevas iniciativas empresariales capaces de atraer inversiones 4 promoveremos un nuevo marco regulatorio energetico que sea estable a precios competitivos y duradero,,
S016,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560930,icas que llegue a todos los lugares sin ella solo habra desertizacion empresarial fuera de los grandes nucleos implicar y formar a los empleados publicos un activo fundamental sin los cuales no se podra llevara a cabo 6 impulsaremos una administracion menos burocratizada con una ambiciosa reforma que garantice la simpl,,
S017,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560931,asi como el desarrollo de la geotermia a partir de los pagina 24 de 125 millones de m3 de aguas subterraneas embalsadas en el fondo de pozos mineros abandonados proximos a posibles puntos de consumo de calor acciones a impulsar y o potenciar en las areas de transporte y distribucion 1 resolver las notables deficiencias,,
S018,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560932,a base de los siguientes principios un servicio publico de calidad al servicio de los administrados una justicia profesional y altamente cualificada y una justicia tecnologicamente avanzada para ello desde foro asturias proponemos 1 elevar justicia al rango de consejeria para poner de relieve la asuncion de las compete,,
S019,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560934,istracion publica 5 suprimira aquellos organismos entidades y empresas publicas que no descansen en la racionalidad economica o administrativa o que supongan una disminucion de la transparencia sin que ello perjudique la prestacion de los servicios publicos 14 rtpa foro asturias velara por la calidad y mejorara la efic,,
