sample_id,party_name,source_url,evidence_id,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,acordos de estrutura a nivel da galiza deben prevalecer sobre aqueles de ambito estatal de semellantes caracteristicas eliminar as empresas de traballo temporal ett a subcontratacion en cadea e as falsas os autonomas os reforzar o servizo publico de emprego sepe e garantir a cobertura de todas as persoas sen ocupacion ,,
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560539,so as prestacions ortoprotesicas ou a rehabilitacion a doentes con deficit funcional recuperabel para todas as persoas que as precisen con financiamento 100 publico asi como as prestacions sanitarias actualmente fora da atencion primaria ou so parcialmente financiadas como asistencia odontoloxica podoloxia optico optom,,
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560540,o non e asi moitas persoas son vitimas de comportamentos e actitudes discriminatorias racistas e xenofobas que proceden do ambito privado mais tamen do publico desde o bloque nacionalista galego asumimos o compromiso de impulsar as reformas lexislativas necesarias para garantir os dereitos da poboacion migrante vivenda,,
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560541,ntacion basica produtos do mar elementos de hixiene persoal e feminina transporte publico de pasaxeiros investimentos en eficiencia enerxetica e enerxias renovabeis no ambito domestico e nas pequenas e medianas empresas estabelecer a permanencia da rebaixa do ive da electricidade gas biomasa para quecemento e madeira p,,
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,eso a bens basicos no caso das rendas mais baixas e das clases populares defendemos reducir a imposicion do ive de bens e servizos esenciais asi como os bens de caracter cultural para que tributen no tramo superreducido estabelecer a rebaixa permanente do ive de produtos de alimentacion basica produtos do mar elementos,,
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,tal e das rendas mais altas porque o sistema actual discrimina as persoas cuxa principal fonte de ingresos e o traballo en primeiro lugar a respecto do imposto sobre a renda das persoas fisicas irpf consideramos preciso incrementar a sua progresividade que pague mais quen mais renda obten deflactar as tarifas do irpf e,,
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,a discriminacion ou fenda por razon de xenero en calquera ambito ou servizo publico introducion do termo feminicidio na lexislacion espanola e impulso dun estatuto de vitima de feminicidio para unha abordaxe integral da violencia machista mellorar o sistema de proteccion das mulleres en situacion de violencia machista ,,
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,fenda por razon de xenero en calquera ambito ou servizo publico introducion do termo feminicidio na lexislacion espanola e impulso dun estatuto de vitima de feminicidio para unha abordaxe integral da violencia machista mellorar o sistema de proteccion das mulleres en situacion de violencia machista a traves entre outra,,
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560338,ion da natureza dos rendementos minorando a tributacion polos ingresos do traballo e aumentando a correspondente aos derivados do capital e deducions inversamente proporcionais aos tipos de gravame imposto de sociedades estabelecer a progresividade en funcion da dimension da empresa e deducions inversamente proporciona,,
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,1560339,un pais con benestar social 32 butilizacion de 100 do hospital meixoeiro co aumento da complexidade das intervencions cirurxicas e con dotacion de unidade de criticos 24 horas c iniciar as actuacions para incorporar ao hospital povisa a rede publica e realizar de xeito directo a xestion deste centro hospitalario garant,,
