sample_id,party_name,source_url,evidence_id,window_index,window_count,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,1,4,os reforzar o servizo publico de emprego sepe e garantir a cobertura de todas as persoas sen ocupacion impulsar un plan de accion contra a sinistralidade laboral que abranga a promocion do emprego estabel naqueles sectores,,
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,2,4,sociedades estabelecer a sua progresividade en funcion da dimension da empresa deducions inversamente proporcionais aos tipos de gravame soportados aplicar un incremento da porcentaxe de reducion da base imponibel do is do 10 ao 25 pola,,
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560539,3,4,a participacion economica das usuarias os da sanidade publica no financiamento da prestacion farmaceutica para por fin ao modelo actual de copagamentos e repagamentos que se revela como u,,
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560540,0,5,o non e asi moitas persoas son vitimas de comportamentos e actitudes discriminatorias racistas e xenofobas que proceden do ambito privado mais tamen do publico desde o bloque nacionalista galego asumimos o compromiso de impulsar as,,
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560541,1,4,enerxetica e enerxias renovabeis no ambito domestico e nas pequenas e medianas empresas estabelecer a permanencia da rebaixa do ive da electricidade gas biomasa para quecemento e madeira para lena no 5 e do resto de,,
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,2,4,impulsar unha tarifa electrica galega que considere a traves de reducion nas peaxes do transporte o papel da galiza de nacion excedentaria na producion electrica compensando o impacto ambiental e social derivado da sua producion modificar,,
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560543,0,3,rioritarias para os intereses sociais e economicos das galegas e dos galegos como a creacion de tres novos xulgados de violencia de xenero no noso pais a solucion ao problema dos emigrantes retornados coa facenda espanola,,
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,0,5,tal e das rendas mais altas porque o sistema actual discrimina as persoas cuxa principal fonte de ingresos e o traballo en primeiro lugar a respecto do imposto sobre a renda das persoas fisicas irpf consideramos,,
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,3,4,e acordos do convenio de istambul sen requirir as vitimas demostracion de resistencia ou de secuelas fisicas e que os elementos de viol,,
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,0,4,ecesarias para estender os mecanismos de xeolocalizacion do agresor a partir daqueles casos con valoracion de risco medio cumprimento das obrigas internacionais en materia de prevencion e loita contra todas as formas de violencia machista nomeadamente,,
S011,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560925,0,5,ion de primera de vivienda por jovenes o personas con discapacidad pagina 38 de 125 adquisicion de vivienda por parte de mujeres victimas de violencia de genero adquisicion de viviendas en nucleos rurales adquisicion de vivienda,,
S012,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560926,2,4,medidas de acompanamiento al empleo de esta forma se completara por estas dos vias empresa y entidades sin fin de lucro un programa orientador y de insercion realmente eficaz 6 impulsaremos un moderno portal web de,,
S013,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560927,3,4,en todas las areas sanitarias como referentes y consultores de los medicos de atencion primaria y especializada pagina 47 de 125 14 aprobaremos la nueva categoria profesional,,
S014,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560928,3,5,a los centros autonomicos de investigacion 5 poner en marcha programas de difusion y potenciacion de imagen de las empresas de transformacion y comercializacion asturianas basadas en productos locales de cal,,
S015,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560929,1,4,son decisivos para la localizacion de nuevas iniciativas empresariales capaces de atraer inversiones 4 promoveremos un nuevo marco regulatorio energetico que sea estable a precios competitivos y duraderos y con contratos a largo plazo en el,,
