evidence_id,review_id,review_reason,status,person_name,topic_label,suggested_stance,suggested_confidence
1561422,11416,no_signal,pending,UPN,Corrupcion,,
1561419,11415,no_signal,pending,CUP,Transporte,,
1561416,11414,no_signal,pending,PSC,Inmigracion,,
1561408,11413,no_signal,pending,Compromis,Sanidad,,
1561406,11412,no_signal,pending,FORO Asturias,Inmigracion,,
1561403,11411,no_signal,pending,PP,Corrupcion,,
1561402,11410,no_signal,pending,PP,Corrupcion,,
1561401,11409,no_signal,pending,PP,Inmigracion,,
1561400,11408,no_signal,pending,PP,Seguridad y justicia,,
1561399,11407,no_signal,pending,PP,Transporte,,
1561395,11406,no_signal,pending,PP,Empleo,,
1561394,11405,no_signal,pending,SUMAR,Corrupcion,,
1561393,11404,no_signal,pending,BNG,Corrupcion,,
1561392,11403,no_signal,pending,EH Bildu,Corrupcion,,
1561391,11402,no_signal,pending,EH Bildu,Inmigracion,,
1561390,11401,no_signal,pending,EAJ-PNV,Corrupcion,,
1561385,11400,no_signal,pending,Ciudadanos,Corrupcion,,
1561382,11399,no_signal,pending,UPN,Corrupcion,,
1561379,11398,no_signal,pending,CUP,Transporte,,
1561376,11397,no_signal,pending,PSC,Inmigracion,,
1561368,11396,no_signal,pending,Compromis,Sanidad,,
1561366,11395,no_signal,pending,FORO Asturias,Inmigracion,,
1561365,11394,no_signal,pending,PP,Corrupcion,,
1561364,11393,no_signal,pending,PP,Inmigracion,,
1561363,11392,no_signal,pending,PP,Seguridad y justicia,,
1561362,11391,no_signal,pending,PP,Transporte,,
1561358,11390,no_signal,pending,PP,Empleo,,
1561357,11389,no_signal,pending,PP,Corrupcion,,
1561356,11388,no_signal,pending,PP,Inmigracion,,
1561355,11387,no_signal,pending,PP,Seguridad y justicia,,
1561354,11386,no_signal,pending,PP,Transporte,,
1561350,11385,no_signal,pending,PP,Empleo,,
1561349,11384,no_signal,pending,SUMAR,Corrupcion,,
1561348,11383,no_signal,pending,BNG,Corrupcion,,
1561346,11382,no_signal,pending,BNG,Coste de vida,,
1561343,11381,no_signal,pending,BNG,Corrupcion,,
1561341,11380,no_signal,pending,BNG,Coste de vida,,
1561338,11379,no_signal,pending,EH Bildu,Corrupcion,,
1561337,11378,no_signal,pending,EH Bildu,Inmigracion,,
1561336,11377,no_signal,pending,EAJ-PNV,Corrupcion,,
1561331,11376,no_signal,pending,Ciudadanos,Corrupcion,,
1561328,11375,no_signal,pending,UPN,Corrupcion,,
1561325,11374,no_signal,pending,CUP,Transporte,,
1561322,11373,no_signal,pending,PSC,Inmigracion,,
1561314,11372,no_signal,pending,Compromis,Sanidad,,
1561308,11371,no_signal,pending,Compromis,Sanidad,,
1561306,11370,no_signal,pending,FORO Asturias,Inmigracion,,
1561304,11369,no_signal,pending,FORO Asturias,Inmigracion,,
1561301,11368,no_signal,pending,PP,Corrupcion,,
1561300,11367,no_signal,pending,PP,Inmigracion,,
1561299,11366,no_signal,pending,PP,Seguridad y justicia,,
1561298,11365,no_signal,pending,PP,Transporte,,
1561294,11364,no_signal,pending,PP,Empleo,,
1561293,11363,no_signal,pending,SUMAR,Corrupcion,,
1561292,11362,no_signal,pending,BNG,Igualdad,,
1561291,11361,no_signal,pending,BNG,Corrupcion,,
1561289,11360,no_signal,pending,EH Bildu,Corrupcion,,
1561288,11359,no_signal,pending,EH Bildu,Inmigracion,,
1561287,11358,no_signal,pending,EH Bildu,Corrupcion,,
1561286,11357,no_signal,pending,EH Bildu,Inmigracion,,
1561285,11356,no_signal,pending,EAJ-PNV,Corrupcion,,
1561280,11355,no_signal,pending,Ciudadanos,Corrupcion,,
1561278,11192,no_signal,pending,PSOE,Sanidad,,
1561277,11191,no_signal,pending,PSOE,Empleo,,
