sample_id,party_name,source_url,evidence_id,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,emprego sepe e garantir a cobertura de todas as persoas sen ocupacion impulsar un plan de accion contra a sinistralidade laboral que abranga a promocion do emprego estabel naqueles sectores con maiores taxas de sinistralidade un maior control e fiscalizacion,true_positive,propuesta programatica de vivienda/fiscalidad | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,inversamente proporcionais aos tipos de gravame soportados aplicar un incremento da porcentaxe de reducion da base imponibel do is do 10 ao 25 pola denominada reserva de capitalizacion as entidades de reducida,false_positive,bloque retrospectivo narrativo sin propuesta accionable explicita | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_20260228.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560539,da sanidade publica no financiamento da prestacion farmaceutica para por fin ao modelo actual de copagamentos e repagamentos que se revela como u,true_positive,ai-ops-266:manual_review | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560540,publico desde o bloque nacionalista galego asumimos o compromiso de impulsar as reformas lexislativas necesarias para garantir os dereitos da poboacion migrante vivenda traballo atencion sanitaria educacion asi como favorecer e facilitar os procesos de 2 mais dereitos para unha,true_positive,ai-ops-266:manual_review | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560541,publico de pasaxeiros investimentos en eficiencia enerxetica e enerxias renovabeis no ambito domestico e nas pequenas e medianas empresas estabelecer a permanencia da rebaixa do ive da electricidade gas biomasa para quecemento e madeira para lena no 5 e do,true_positive,ai-ops-266:manual_review | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,implantacion pivote en funcion do desenvolvemento social e economico das zonas produtoras impulsar unha tarifa electrica galega que considere a traves de reducion nas peaxes do transporte o papel da galiza de nacion excedentaria na producion electrica compensando o impacto,true_positive,propuestas de inversion e infraestructuras | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560543,saldar a debeda coa galiza na lei de dependencia a modernizacion xeral da rede ferroviaria interna galega coa excepcion dos casos citados,true_positive,medidas concretas: creacion de juzgados y modernizacion | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,galiza estabelecer distintos tipos de gravame en funcion da natureza dos rendementos minorando a tributacion polos ingresos do traballo e aumentando a correspondente aos derivados do capital deducions inversamente pr,true_positive,medidas fiscales concretas sobre IRPF/gravamen | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,en materia de violencia sexual de forma que o consentimento sexa o elemento central en lina coas exixencias e acordos do convenio de istambul sen requirir as vitimas demostracion de resistencia ou de secuelas fisicas e que os elementos de,true_positive,medidas concretas contra violencia machista | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,de forma que o consentimento sexa o elemento central en lina coas exixencias e acordos do convenio de istambul sen requirir as vitimas demostracion de resistencia ou de secue,true_positive,medidas concretas contra violencia machista | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
