sample_id,party_name,source_url,evidence_id,window_index,window_count,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,0,1,semellantes caracteristicas eliminar as empresas de traballo temporal ett a subcontratacion en cadea e as falsas os autonomas os reforzar o servizo publico de emprego sepe e garantir a cobertura de todas as persoas sen ocupacion impulsar un plan de accion contra a sinistralidade laboral que abranga a promocion do empre,,
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,0,1,actividade de explotacion na galiza e situan o seu domicilio social 7 a economia ao servizo das maiorias sociais 39 que galiza conte con mais forza noutras partes do estado deben tributar aqui polo imposto de sociedades estabelecer a sua progresividade en funcion da dimension da empresa deducions inversamente proporcio,,
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560539,0,1,so as prestacions ortoprotesicas ou a rehabilitacion a doentes con deficit funcional recuperabel para todas as persoas que as precisen con financiamento 100 publico asi como as prestacions sanitarias actualmente fora da atencion primaria ou so parcialmente financiadas como asistencia odontoloxica podoloxia optico optom,,
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560540,0,1,o non e asi moitas persoas son vitimas de comportamentos e actitudes discriminatorias racistas e xenofobas que proceden do ambito privado mais tamen do publico desde o bloque nacionalista galego asumimos o compromiso de impulsar as reformas lexislativas necesarias para garantir os dereitos da poboacion migrante vivenda,,
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560541,0,1,ntacion basica produtos do mar elementos de hixiene persoal e feminina transporte publico de pasaxeiros investimentos en eficiencia enerxetica e enerxias renovabeis no ambito domestico e nas pequenas e medianas empresas estabelecer a permanencia da rebaixa do ive da electricidade gas biomasa para quecemento e madeira p,,
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,0,1,ma aos centros de consumo ao control publico da enerxia a consideracion do acceso a enerxia como un ben publico e esencial e cuxa implantacion pivote en funcion do desenvolvemento social e economico das zonas produtoras impulsar unha tarifa electrica galega que considere a traves de reducion nas peaxes do transporte o,,
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560543,0,1,rioritarias para os intereses sociais e economicos das galegas e dos galegos como a creacion de tres novos xulgados de violencia de xenero no noso pais a solucion ao problema dos emigrantes retornados coa facenda espanola saldar a debeda coa galiza na lei de dependencia a modernizacion xeral da rede ferroviaria interna,,
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,0,1,tal e das rendas mais altas porque o sistema actual discrimina as persoas cuxa principal fonte de ingresos e o traballo en primeiro lugar a respecto do imposto sobre a renda das persoas fisicas irpf consideramos preciso incrementar a sua progresividade que pague mais quen mais renda obten deflactar as tarifas do irpf e,,
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,0,1,do agresor a partir daqueles casos con valoracion de risco medio cumprimento das obrigas internacionais en materia de prevencion e loita contra todas as formas de violencia machista nomeadamente do convenio de istambul revisar a lexislacion en materia de violencia sexual de forma que o consentimento sexa o elemento cen,,
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,0,1,ecesarias para estender os mecanismos de xeolocalizacion do agresor a partir daqueles casos con valoracion de risco medio cumprimento das obrigas internacionais en materia de prevencion e loita contra todas as formas de violencia machista nomeadamente do convenio de istambul revisar a lexislacion en materia de violenci,,
S011,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560925,0,1,ion de primera de vivienda por jovenes o personas con discapacidad pagina 38 de 125 adquisicion de vivienda por parte de mujeres victimas de violencia de genero adquisicion de viviendas en nucleos rurales adquisicion de vivienda por familias numerosas con ampliacion de superficie habitable 2 establecer un tipo general,,
S012,FORO Asturias,https://foroasturias.es/wp-content/uploads/2023/05/Programa-electoral-FORO-Asturias-20232027.pdf,1560926,0,1,a los trabajadores desempleados 5 de igual modo reforzaremos las funciones de orientacion desempenadas por asociaciones y entidades sin animo de lucro que veran ampliadas sus competencias y asignaciones presupuestarias impulsaremos tambien el papel de las medidas de acompanamiento al empleo de esta forma se completara,,
