sample_id,party_name,source_url,evidence_id,excerpt,manual_label,manual_note
S001,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560537,semellantes caracteristicas eliminar as empresas de traballo temporal ett a subcontratacion en cadea e as falsas os autonomas os reforzar o servizo publico de emprego sepe e garantir a cobertura de todas as persoas sen ocupacion impulsar un plan de accion contra a sinistralidade laboral que abranga a promocion do empre,true_positive,propuesta programatica de vivienda/fiscalidad | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S002,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560538,actividade de explotacion na galiza e situan o seu domicilio social 7 a economia ao servizo das maiorias sociais 39 que galiza conte con mais forza noutras partes do estado deben tributar aqui polo imposto de sociedades estabelecer a sua progresividade en funcion da dimension da empresa deducions inversamente proporcio,false_positive,bloque retrospectivo narrativo sin propuesta accionable explicita | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S003,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560539,so as prestacions ortoprotesicas ou a rehabilitacion a doentes con deficit funcional recuperabel para todas as persoas que as precisen con financiamento 100 publico asi como as prestacions sanitarias actualmente fora da atencion primaria ou so parcialmente financiadas como asistencia odontoloxica podoloxia optico optom,true_positive,ai_ops_271_manual_review_fill | carry_forward:programas_support_precision_manual_labels_fill_20260228.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S004,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560540,o non e asi moitas persoas son vitimas de comportamentos e actitudes discriminatorias racistas e xenofobas que proceden do ambito privado mais tamen do publico desde o bloque nacionalista galego asumimos o compromiso de impulsar as reformas lexislativas necesarias para garantir os dereitos da poboacion migrante vivenda,true_positive,ai_ops_271_manual_review_fill | carry_forward:programas_support_precision_manual_labels_fill_20260228.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S005,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560541,ntacion basica produtos do mar elementos de hixiene persoal e feminina transporte publico de pasaxeiros investimentos en eficiencia enerxetica e enerxias renovabeis no ambito domestico e nas pequenas e medianas empresas estabelecer a permanencia da rebaixa do ive da electricidade gas biomasa para quecemento e madeira p,true_positive,ai_ops_271_manual_review_fill | carry_forward:programas_support_precision_manual_labels_fill_20260228.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S006,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560542,ma aos centros de consumo ao control publico da enerxia a consideracion do acceso a enerxia como un ben publico e esencial e cuxa implantacion pivote en funcion do desenvolvemento social e economico das zonas produtoras impulsar unha tarifa electrica galega que considere a traves de reducion nas peaxes do transporte o,true_positive,propuestas de inversion e infraestructuras | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S007,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560543,rioritarias para os intereses sociais e economicos das galegas e dos galegos como a creacion de tres novos xulgados de violencia de xenero no noso pais a solucion ao problema dos emigrantes retornados coa facenda espanola saldar a debeda coa galiza na lei de dependencia a modernizacion xeral da rede ferroviaria interna,true_positive,medidas concretas: creacion de juzgados y modernizacion | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S008,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560830,tal e das rendas mais altas porque o sistema actual discrimina as persoas cuxa principal fonte de ingresos e o traballo en primeiro lugar a respecto do imposto sobre a renda das persoas fisicas irpf consideramos preciso incrementar a sua progresividade que pague mais quen mais renda obten deflactar as tarifas do irpf e,true_positive,medidas fiscales concretas sobre IRPF/gravamen | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S009,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560831,do agresor a partir daqueles casos con valoracion de risco medio cumprimento das obrigas internacionais en materia de prevencion e loita contra todas as formas de violencia machista nomeadamente do convenio de istambul revisar a lexislacion en materia de violencia sexual de forma que o consentimento sexa o elemento cen,true_positive,medidas concretas contra violencia machista | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
S010,BNG,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,1560832,ecesarias para estender os mecanismos de xeolocalizacion do agresor a partir daqueles casos con valoracion de risco medio cumprimento das obrigas internacionais en materia de prevencion e loita contra todas as formas de violencia machista nomeadamente do convenio de istambul revisar a lexislacion en materia de violenci,true_positive,medidas concretas contra violencia machista | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv | carry_forward:programas_support_precision_sample_labeled_latest.csv
