evidence_id,party_name,topic_key,stance,stance_method,source_url,matched_fiscal_terms,has_employment_anchor,suspicious_support,excerpt
1560338,BNG,concern:v1:empleo,support,declared:regex_v3,https://www.bng.gal/media/bnggaliza/files/2024/01/24/24_bng_galegas_programa_goberno.pdf,imposto de sociedades|tribut|iva|sociedades,True,False,ion da natureza dos rendementos minorando a tributacion polos ingresos do traballo e aumentando a correspondente aos derivados do capital e deducions inversamente proporcionais aos tipos de gravame imposto de sociedades estabelecer a progresividade en funcion da dimension da empresa e deducions inversamente proporcionais aos tipos de gravame soportados ive c
1560538,BNG,concern:v1:empleo,unclear,declared:regex_v3,https://www.bng.gal/media/bnggaliza/files/2023/07/05/23_bng_xerais_programa.pdf,imposto de sociedades|tribut|sociedades,False,False,actividade de explotacion na galiza e situan o seu domicilio social 7 a economia ao servizo das maiorias sociais 39 que galiza conte con mais forza noutras partes do estado deben tributar aqui polo imposto de sociedades estabelecer a sua progresividade en funcion da dimension da empresa deducions inversamente proporcionais aos tipos de gravame soportados apl
1561052,CCa,concern:v1:empleo,unclear,programa_metadata,https://coalicioncanaria.org/wp-content/uploads/cc-pdf/programas-electorales/Manifiesto%20Europeas%202024.pdf,iva|sociedades,True,False,las islas manifiesto electoral 9 de junio elecciones europeas 2024 en europa estos cambios son percibidos con cierta aprehension tanto por las sociedades debido a su impacto en el empleo y la estructura social existente como por los estados miembros y la union europea quienes ven en estos avances un nuevo factor que debilita la posicion competitiva del conti
1560949,Compromis,concern:v1:empleo,support,declared:regex_v3,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,fiscalitat,False,True,tornar a reduir les llistes despera de la dependencia sete compromis fer cas a la ciencia contra el canvi climatic 32 recuperar tots els instruments de lluita contra el canvi climatic incloent la fiscalitat verda per a impulsar una transicio ecologica justa 33 introduir leducacio ambiental en tots els nivells educatius 34 crear una empresa publica denergia p
1560986,Compromis,concern:v1:empleo,support,declared:regex_v3,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,fiscalitat,False,True,tornar a reduir les llistes despera de la dependencia sete compromis fer cas a la ciencia contra el canvi climatic 32 recuperar tots els instruments de lluita contra el canvi climatic incloent la fiscalitat verda per a impulsar una transicio ecologica justa 33 introduir leducacio ambiental en tots els nivells educatius 34 crear una empresa publica denergia p
1561098,Compromis,concern:v1:empleo,support,declared:regex_v3,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,fiscalitat,False,True,tornar a reduir les llistes despera de la dependencia sete compromis fer cas a la ciencia contra el canvi climatic 32 recuperar tots els instruments de lluita contra el canvi climatic incloent la fiscalitat verda per a impulsar una transicio ecologica justa 33 introduir leducacio ambiental en tots els nivells educatius 34 crear una empresa publica denergia p
1561239,Compromis,concern:v1:empleo,support,declared:regex_v3,https://compromis.net/espai/uploads/groups/1/messages/2025/50_propostes_def.pdf,fiscalitat,False,True,tornar a reduir les llistes despera de la dependencia sete compromis fer cas a la ciencia contra el canvi climatic 32 recuperar tots els instruments de lluita contra el canvi climatic incloent la fiscalitat verda per a impulsar una transicio ecologica justa 33 introduir leducacio ambiental en tots els nivells educatius 34 crear una empresa publica denergia p
1560867,EAJ-PNV,concern:v1:empleo,support,declared:regex_v3,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,iva,True,False,de recursos comercio un sector basico tanto por sus magnitudes como por su importancia social y su capacidad vertebradora de la vida urbana turismo que ademas de ser un factor dinamizador de la actividad economica y del empleo constituye una poderosa herramienta para impulsar los procesos de internacionalizacion y apertura a nuevos mercados por ello proponem
1561017,EAJ-PNV,concern:v1:empleo,support,declared:regex_v3,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,iva,True,False,de recursos comercio un sector basico tanto por sus magnitudes como por su importancia social y su capacidad vertebradora de la vida urbana turismo que ademas de ser un factor dinamizador de la actividad economica y del empleo constituye una poderosa herramienta para impulsar los procesos de internacionalizacion y apertura a nuevos mercados por ello proponem
1561157,EAJ-PNV,concern:v1:empleo,support,declared:regex_v3,https://www.eaj-pnv.eus/es/adjuntos-documentos/20945/pdf/con-voz-propia-programa-electoral-23-j,iva,True,False,de recursos comercio un sector basico tanto por sus magnitudes como por su importancia social y su capacidad vertebradora de la vida urbana turismo que ademas de ser un factor dinamizador de la actividad economica y del empleo constituye una poderosa herramienta para impulsar los procesos de internacionalizacion y apertura a nuevos mercados por ello proponem
