source_record_pk,sample_initiative_id,initiative_source_id,initiative_title,doc_format,doc_kinds_csv,initiatives_count,doc_refs_count,extractor_version,confidence,needs_review,extracted_subject,extracted_title,extracted_excerpt,source_url,raw_path,review_status,final_subject,final_title,final_confidence,review_note,reviewer
141614,congreso:ley:1:2025,congreso_iniciativas,"Corrección de errores de la Ley Orgánica 1/2025, de 2 de enero, de medidas en materia de eficiencia del Servicio Público de Justicia.",pdf,bocg,1,1,heuristic_subject_v1,0.68,1,"Corrección de errores de la Ley Orgánica 1/2025, de 2 de enero, de medidas en materia de eficiencia del Servicio Público de Justicia.","Corrección de errores de la Ley Orgánica 1/2025, de 2 de enero, de medidas en materia de eficiencia del Servicio Público de Justicia.","BOLETÍN OFICIAL DEL ESTADO Núm. 10 Sábado 11 de enero de 2025 Sec. I. Pág. 4873 I. DISPOSICIONES GENERALES JEFATURA DEL ESTADO 461 Corrección de errores de la Ley Orgánica 1/2025, de 2 de enero, de medidas en materia de eficiencia del Servicio Público de Justicia. Advertido error en la Ley Orgánica 1/2025, de 2 de enero, de medidas en materia de eficiencia del Servicio Público de Justicia, publicada en el «Boletín Oficial del Estado» número 3, de 3 de enero de 2025, se procede a efectuar la oportuna corrección: En la página 1043, disposición final decimotercera, en la modificación de la Ley 15/2003, de 26 de mayo, reguladora del régimen retributivo de las carreras judicial y fiscal, el anex…",https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_001_2025_corr.pdf,etl/data/raw/text_documents/parl_initiative_docs/e43a2dcd25158942618bf1ca163980ee67981ec9ee63ebe0709920b4db17f017.pdf,,,,,,
141616,congreso:ley:3:2025,congreso_iniciativas,"Ley Orgánica 3/2025, de 27 de junio, por la que se modifica la Ley Orgánica 1/2002, de 22 de marzo, reguladora del derecho de asociación.",pdf,bocg,1,1,heuristic_subject_v1,0.68,1,"Ley Orgánica 3/2025, de 27 de junio, por la que se modifica la Ley Orgánica 1/2002, de 22 de marzo, reguladora del derecho de asociación.","Ley Orgánica 3/2025, de 27 de junio, por la que se modifica la Ley Orgánica 1/2002, de 22 de marzo, reguladora del derecho de asociación.","BOLETÍN OFICIAL DEL ESTADO Núm. 155 Sábado 28 de junio de 2025 Sec. I. Pág. 85200 I. DISPOSICIONES GENERALES JEFATURA DEL ESTADO 13140 Ley Orgánica 3/2025, de 27 de junio, por la que se modifica la Ley Orgánica 1/2002, de 22 de marzo, reguladora del derecho de asociación. FELIPE VI REY DE ESPAÑA A todos los que la presente vieren y entendieren. Sabed: Que las Cortes Generales han aprobado y Yo vengo en sancionar la siguiente ley orgánica: PREÁMBULO «En el plazo de un año a partir de la entrada en vigor de la presente ley, se promoverá la modificación de la Ley Orgánica 1/2002, de 22 de marzo, reguladora del Derecho de Asociación, con el objeto de incluir como causa de disolución de las asoc…",https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2025.pdf,etl/data/raw/text_documents/parl_initiative_docs/54a65622120dd6d249b8b2eb7305ac925924b6c49ab8aef22f39a5915b8c9803.pdf,,,,,,
141748,congreso:ley:2:2024,congreso_iniciativas,"Ley Orgánica 2/2024, de 1 de agosto, de representación paritaria y presencia equilibrada de mujeres y hombres.",pdf,bocg,1,1,heuristic_subject_v1,0.68,1,"Ley Orgánica 2/2024, de 1 de agosto, de representación paritaria y presencia equilibrada de mujeres y hombres.","Ley Orgánica 2/2024, de 1 de agosto, de representación paritaria y presencia equilibrada de mujeres y hombres.","BOLETÍN OFICIAL DEL ESTADO Núm. 186 Viernes 2 de agosto de 2024 Sec. I. Pág. 98041 I. DISPOSICIONES GENERALES JEFATURA DEL ESTADO 15936 Ley Orgánica 2/2024, de 1 de agosto, de representación paritaria y presencia equilibrada de mujeres y hombres. FELIPE VI REY DE ESPAÑA A todos los que la presente vieren y entendieren. Sabed: Que las Cortes Generales han aprobado y Yo vengo en sancionar la siguiente ley orgánica: PREÁMBULO Un aspecto de especial relevancia a la hora de determinar la calidad de un sistema democrático es, sin duda, el grado de igualdad entre mujeres y hombres que existe en la sociedad. La Constitución Española reconoce dicho principio en el artículo 14, al proclamar que todos…",https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_002_2024.pdf,etl/data/raw/text_documents/parl_initiative_docs/80c5a34bcd38a33bf2ac623ea992ea17887d9d86a04d195d1237139cd17ab66d.pdf,,,,,,
141749,congreso:ley:3:2024,congreso_iniciativas,"Ley Orgánica 3/2024, de 2 de agosto, de reforma de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial y de reforma de la Ley 50/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.",pdf,bocg,1,1,heuristic_subject_v1,0.68,1,"Ley Orgánica 3/2024, de 2 de agosto, de reforma de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial y de reforma de la Ley 50/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.","Ley Orgánica 3/2024, de 2 de agosto, de reforma de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial y de reforma de la Ley 50/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal.","BOLETÍN OFICIAL DEL ESTADO Núm. 188 Lunes 5 de agosto de 2024 Sec. I. Pág. 99202 I. DISPOSICIONES GENERALES JEFATURA DEL ESTADO 16127 Ley Orgánica 3/2024, de 2 de agosto, de reforma de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial y de reforma de la Ley 50/1981, de 30 de diciembre, por la que se regula el Estatuto Orgánico del Ministerio Fiscal. FELIPE VI REY DE ESPAÑA A todos los que la presente vieren y entendieren. Sabed: Que las Cortes Generales han aprobado y Yo vengo en sancionar la siguiente ley orgánica: PREÁMBULO I La presente ley orgánica responde a la necesidad de continuar ahondando en el perfeccionamiento de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial,…",https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_003_2024.pdf,etl/data/raw/text_documents/parl_initiative_docs/315773d0d8cff52299a97d595e98d5645b0bb9c9d057183e5f3718b22e7d8b90.pdf,,,,,,
141833,senado:leg14:exp:622/000004,senado_iniciativas,"Proposición de Ley Orgánica por la que se modifica la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para ampliar el derecho de sufragio activo a los mayores de dieciséis años. (622/000004)",html,ds,1,1,heuristic_subject_v1,0.68,1,"Proposición de Ley Orgánica por la que se modifica la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para ampliar el derecho de sufragio activo a los mayores de dieciséis años. (622/000004)","Proposición de Ley Orgánica por la que se modifica la Ley Orgánica 5/1985, de 19 de junio, del Régimen Electoral General, para ampliar el derecho de sufragio activo a los mayores de dieciséis años. (622/000004)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=14&id1=622&id2=000004,etl/data/raw/text_documents/parl_initiative_docs/992d24712fb84ef1ac8730a59f54a7216c91fcc63423a8f579f22961246ebf71.html,,,,,,
141834,senado:leg15:exp:600/000001,senado_iniciativas,Proposición de Reforma del artículo 49 de la Constitución Española. (600/000001),html,ds,1,1,heuristic_subject_v1,0.68,1,Proposición de Reforma del artículo 49 de la Constitución Española. (600/000001),Proposición de Reforma del artículo 49 de la Constitución Española. (600/000001),"Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=600&id2=000001,etl/data/raw/text_documents/parl_initiative_docs/0590979e3fa89e18a29ae06a14b0f82e448d2e54560d11db9e94f477ac2710a0.html,,,,,,
141835,senado:leg15:exp:610/000002,senado_iniciativas,"Convenio de Seguridad Social entre el Reino de España y la República de Moldavia, hecho en Madrid el 21 de julio de 2022. (610/000002)",html,ds,1,1,heuristic_subject_v1,0.68,1,"Convenio de Seguridad Social entre el Reino de España y la República de Moldavia, hecho en Madrid el 21 de julio de 2022. (610/000002)","Convenio de Seguridad Social entre el Reino de España y la República de Moldavia, hecho en Madrid el 21 de julio de 2022. (610/000002)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000002,etl/data/raw/text_documents/parl_initiative_docs/d2cef153da175a9b068938ada2f20c82421ef93f980545b5c127ea615ea9e662.html,,,,,,
141836,senado:leg15:exp:610/000003,senado_iniciativas,"Convenio sobre seguridad y salud en la construcción, hecho en Ginebra el 22 de junio de 1988. (610/000003)",html,ds,1,1,heuristic_subject_v1,0.68,1,"Convenio sobre seguridad y salud en la construcción, hecho en Ginebra el 22 de junio de 1988. (610/000003)","Convenio sobre seguridad y salud en la construcción, hecho en Ginebra el 22 de junio de 1988. (610/000003)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000003,etl/data/raw/text_documents/parl_initiative_docs/6bc0ba02f97bc00622cb9c50a838ba56758295b584ec78ceb27a54dc827a2d69.html,,,,,,
141837,senado:leg15:exp:610/000004,senado_iniciativas,"Acuerdo sobre la conservación de las poblaciones de murciélagos en Europa, hecho en Londres el 4 de diciembre de 1991, y de las Enmiendas de dicho Acuerdo adoptadas en Bristol el 20 de julio de 1995 y el 26 de julio de 2000. (610/000004)",html,ds,1,1,heuristic_subject_v1,0.68,1,"Acuerdo sobre la conservación de las poblaciones de murciélagos en Europa, hecho en Londres el 4 de diciembre de 1991, y de las Enmiendas de dicho Acuerdo adoptadas en Bristol el 20 de julio de 1995 y el 26 de julio de 2000. (610/000004)","Acuerdo sobre la conservación de las poblaciones de murciélagos en Europa, hecho en Londres el 4 de diciembre de 1991, y de las Enmiendas de dicho Acuerdo adoptadas en Bristol el 20 de julio de 1995 y el 26 de julio de 2000. (610/000004)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000004,etl/data/raw/text_documents/parl_initiative_docs/3d59dec37af4df0c337dd5672774bd1a1603e2112bdb00ebda29939b21b95344.html,,,,,,
141838,senado:leg15:exp:610/000006,senado_iniciativas,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)",html,ds,1,1,heuristic_subject_v1,0.68,1,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000006,etl/data/raw/text_documents/parl_initiative_docs/c88957d24f0e76d49416aeccafb8f58e7a0a41ca10ca39a7f6ca5ce6147b5c73.html,,,,,,
