source_record_pk,sample_initiative_id,initiative_source_id,initiative_title,doc_format,doc_kinds_csv,initiatives_count,doc_refs_count,extractor_version,subject_method,confidence,needs_review,extracted_subject,extracted_title,extracted_excerpt,source_url,raw_path,review_status,final_subject,final_title,final_confidence,review_note,reviewer
141838,senado:leg15:exp:610/000006,senado_iniciativas,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)",html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000006,etl/data/raw/text_documents/parl_initiative_docs/c88957d24f0e76d49416aeccafb8f58e7a0a41ca10ca39a7f6ca5ce6147b5c73.html,,,,,,
141839,senado:leg15:exp:610/000007,senado_iniciativas,"Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)",html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)","Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000007,etl/data/raw/text_documents/parl_initiative_docs/80e9d24dced363e51de5ef9300ea3f03b8837b56f489384a5ea336e2a9cf6a9d.html,,,,,,
141897,senado:leg15:exp:610/000006,senado_iniciativas,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)",xml,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","610 000006 Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006) /web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000006 Autorización /web/actividadparlamentaria/sesionesplenarias/pleno/rwdsesionespleno/detalle/votaciones/index.html?legis=15&id1=18&id2=112 https://www.senado.es/legis15/votaciones/ses_18_112.xml xml icon-xml-linea",https://www.senado.es/web/ficopendataservlet?legis=15&tipoFich=12&tipoEx=610&numEx=000006,etl/data/raw/text_documents/parl_initiative_docs/47938aacdd09a7cd9f9ec30dde692da9eaa52b3b406d9fa9a7c8007fc2db3a96.bin,,,,,,
141898,senado:leg15:exp:610/000007,senado_iniciativas,"Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)",xml,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)","Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)","610 000007 Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007) /web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=15&id1=610&id2=000007 Autorización /web/actividadparlamentaria/sesionesplenarias/pleno/rwdsesionespleno/detalle/votaciones/index.html?legis=15&id1=18&id2=113 https://www.senado.es/legis15/votaciones/ses_18_113.xml xml icon-xml-linea",https://www.senado.es/web/ficopendataservlet?legis=15&tipoFich=12&tipoEx=610&numEx=000007,etl/data/raw/text_documents/parl_initiative_docs/014c79624bf473ac759adac75efa7dbe037df18751565aa4395b018434fe40a6.bin,,,,,,
142043,senado:leg14:exp:621/000065,senado_iniciativas,Proyecto de Ley del Deporte. (621/000065),html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,Proyecto de Ley del Deporte. (621/000065),Proyecto de Ley del Deporte. (621/000065),"Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=14&id1=621&id2=000065,etl/data/raw/text_documents/parl_initiative_docs/7d771bd3b1216fa344d623d1c3db779580728bff36a6884682c54a6047de6852.html,,,,,,
142047,senado:leg14:exp:621/000077,senado_iniciativas,Proyecto de Ley de Empleo. (621/000077),html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,Proyecto de Ley de Empleo. (621/000077),Proyecto de Ley de Empleo. (621/000077),"Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=14&id1=621&id2=000077,etl/data/raw/text_documents/parl_initiative_docs/d19afb4781d2a456f6f22914036c6806fad8904e66c1d24b448f80d9ceb1290c.html,,,,,,
142110,senado:leg12:exp:610/000080,senado_iniciativas,"Convención para reducir los casos de apatridia, hecha en Nueva York el 30 de agosto de 1961, y Declaraciones y Objeción que España desea formular. (610/000080)",html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Convención para reducir los casos de apatridia, hecha en Nueva York el 30 de agosto de 1961, y Declaraciones y Objeción que España desea formular. (610/000080)","Convención para reducir los casos de apatridia, hecha en Nueva York el 30 de agosto de 1961, y Declaraciones y Objeción que España desea formular. (610/000080)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=12&id1=610&id2=000080,etl/data/raw/text_documents/parl_initiative_docs/471c0d6e84e50656b312f8178b91aff2f8f965fc23e94a32da2387bffd5e423e.html,,,,,,
142124,senado:leg14:exp:610/000044,senado_iniciativas,"Carta Social Europea revisada, hecha en Estrasburgo el 3 de mayo de 1996, y Declaración que España desea formular. (610/000044)",html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Carta Social Europea revisada, hecha en Estrasburgo el 3 de mayo de 1996, y Declaración que España desea formular. (610/000044)","Carta Social Europea revisada, hecha en Estrasburgo el 3 de mayo de 1996, y Declaración que España desea formular. (610/000044)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=14&id1=610&id2=000044,etl/data/raw/text_documents/parl_initiative_docs/86948b8e702986fddd949f71ae40c8c7dd476072b50526cd12c40fb4823fa972.html,,,,,,
142125,senado:leg14:exp:610/000046,senado_iniciativas,"Decisión (UE, Euratom) 2020/2053 del Consejo, de 14 de diciembre de 2020, sobre el sistema de recursos propios de la Unión Europea y por el que se deroga la Decisión 2014/335/UE, Euratom. (610/000046)",html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Decisión (UE, Euratom) 2020/2053 del Consejo, de 14 de diciembre de 2020, sobre el sistema de recursos propios de la Unión Europea y por el que se deroga la Decisión 2014/335/UE, Euratom. (610/000046)","Decisión (UE, Euratom) 2020/2053 del Consejo, de 14 de diciembre de 2020, sobre el sistema de recursos propios de la Unión Europea y por el que se deroga la Decisión 2014/335/UE, Euratom. (610/000046)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=14&id1=610&id2=000046,etl/data/raw/text_documents/parl_initiative_docs/fc69d8976529abf1874bbc32db88df7b4520a0d2664adfa8bf4e3a9ae76a0853.html,,,,,,
142665,senado:leg5:exp:610/000127,senado_iniciativas,"Enmienda del Protocolo de Montreal relativo a las sustancias que agotan la capa de ozono, adoptada en la Cuarta Reunión de las Partes del Protocolo de Montreal, celebrada en Copenhague del 23 al 25 de noviembre de 1992. (610/000127)",html,ds,1,1,heuristic_subject_v2,title_hint,0.68,1,"Enmienda del Protocolo de Montreal relativo a las sustancias que agotan la capa de ozono, adoptada en la Cuarta Reunión de las Partes del Protocolo de Montreal, celebrada en Copenhague del 23 al 25 de noviembre de 1992. (610/000127)","Enmienda del Protocolo de Montreal relativo a las sustancias que agotan la capa de ozono, adoptada en la Cuarta Reunión de las Partes del Protocolo de Montreal, celebrada en Copenhague del 23 al 25 de noviembre de 1992. (610/000127)","Iniciativas parlamentarias | Senado de España !function(e){var n=""https://s.go-mpulse.net/boomerang/"";if(""False""==""True"")e.BOOMR_config=e.BOOMR_config||{},e.BOOMR_config.PageParams=e.BOOMR_config.PageParams||{},e.BOOMR_config.PageParams.pci=!0,n=""https://s2.go-mpulse.net/boomerang/"";if(window.BOOMR_API_key=""BJC4H-ZA6C5-F8H88-XL4X5-7HVVC"",function(){function e(){if(!o){var e=document.createElement(""script"");e.id=""boomr-scr-as"",e.src=window.BOOMR.url,e.async=!0,i.parentNode.appendChild(e),o=!0}}function t(e){o=!0;var n,t,a,r,d=document,O=window;if(window.BOOMR.snippetMethod=e?""if"":""i"",t=function(e,n){var t=d.createElement(""script"");t.id=n||""boomr-if-as"",t.src=window.BOOMR.url,BOOMR_lstart=(ne…",https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=5&id1=610&id2=000127,etl/data/raw/text_documents/parl_initiative_docs/8bb14fb10b4c6f2cb31e51b34c2efa13b13b2ab21b77a1d73fa5aa799e528cfd.html,,,,,,
