source_record_pk,sample_initiative_id,initiative_source_id,initiative_title,doc_format,doc_kinds_csv,initiatives_count,doc_refs_count,extractor_version,confidence,needs_review,extracted_subject,extracted_title,extracted_excerpt,source_url,raw_path,review_status,final_subject,final_title,final_confidence,review_note,reviewer
146188,senado:leg5:exp:610/000045,senado_iniciativas,"Acta por la que se modifica el Protocolo sobre los Estatutos del Banco Europeo de Inversiones y se faculta al Consejo de Gobernadores para crear un Fondo Europeo de Inversiones, firmada en Bruselas el 25 de marzo de 1993. (610/000045)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Acta por la que se modifica el Protocolo sobre los Estatutos del Banco Europeo de Inversiones y se faculta al Consejo de Gobernadores para crear un Fondo Europeo de Inversiones, firmada en Bruselas el 25 de marzo de 1993. (610/000045)","Acta por la que se modifica el Protocolo sobre los Estatutos del Banco Europeo de Inversiones y se faculta al Consejo de Gobernadores para crear un Fondo Europeo de Inversiones, firmada en Bruselas el 25 de marzo de 1993. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 03/03/94 08/03/94 5 610/000045 NO Urgente GOBIERNO 1 Comisi�n de Asuntos Exteriores UE. Instituciones comunitarias Pol�tica financiera y monetaria C C 62-3 26/02/94 Aprobaci�n por el Pleno http://www.congreso.es/public_oficiales/L5/CONG/BOCG/C/C_062-03.PDF C Pleno y Diputaci�n Permanente Congreso 51 24/02/94 http://www.congreso.es/public_oficiales/L5/CONG/DS/PL/PL_051.PDF C Comisi�n de A…",http://www.senado.es/legis5/expedientes/610/xml/INI-3-610000045.xml,etl/data/raw/text_documents/parl_initiative_docs/aacc98cd9bd23da8ac3b7efc04b12534fb8f75edf49ca9eb53127c9efc1e06c6.bin,,,,,,
146269,senado:leg5:exp:610/000086,senado_iniciativas,"Quinto Protocolo modificatorio de la Constitución y Resoluciones de la Unión Postal de las Américas, España y Portugal (XV Congreso de la UPAEP), hecho en Montevideo el 23 de junio de 1993. (610/000086)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Quinto Protocolo modificatorio de la Constitución y Resoluciones de la Unión Postal de las Américas, España y Portugal (XV Congreso de la UPAEP), hecho en Montevideo el 23 de junio de 1993. (610/000086)","Quinto Protocolo modificatorio de la Constituci�n y Resoluciones de la Uni�n Postal de las Am�ricas, Espa�a y Portugal (XV Congreso de la UPAEP), hecho en Montevideo el 23 de junio de 1993. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 25/05/94 31/05/94 5 610/000086 NO Ordinario GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho internacional Comunicaci�n Relaciones internacionales C Pleno y Diputaci�n Permanente Congreso 74 19/05/94 http://www.congreso.es/public_oficiales/L5/CONG/DS/PL/PL_074.PDF C Comisi�n de Asuntos Exteriores 188 03/05/94 http://www.congreso.es/public_oficiales/L5/CONG/DS/CO/CO_188.PDF S Pleno 43 29/06/94 /legis5/publicaciones/pdf…",http://www.senado.es/legis5/expedientes/610/xml/INI-3-610000086.xml,etl/data/raw/text_documents/parl_initiative_docs/96437c686dc29da1706105653324fc5ac400d2aabf1268a4cf0a8f034a287d63.bin,,,,,,
146341,senado:leg6:exp:610/000139,senado_iniciativas,"Declaración prevista en el artículo 14 de la Convención Internacional sobre la eliminación de todas las formas de discriminación racial (Nueva York, 7 de marzo de 1966). (610/000139)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Declaración prevista en el artículo 14 de la Convención Internacional sobre la eliminación de todas las formas de discriminación racial (Nueva York, 7 de marzo de 1966). (610/000139)","Declaraci�n prevista en el art�culo 14 de la Convenci�n Internacional sobre la eliminaci�n de todas las formas de discriminaci�n racial (Nueva York, 7 de marzo de 1966). Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 14/11/97 18/11/97 6 610/000139 NO Urgente GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho internacional Libertades p�blicas y derechos fundamentales CG A 136 10/10/97 Texto de la Declaraci�n http://www.congreso.es/public_oficiales/L6/CORT/BOCG/A/A0136.PDF C Pleno y Diputaci�n Permanente Congreso 112 30/10/97 http://www.congreso.es/public_oficiales/L6/CONG/DS/PL/PC0112.PDF C Comisi�n de Asuntos Exteriores 309 21/10/97 http://www.congreso…",http://www.senado.es/legis6/expedientes/610/xml/INI-3-610000139.xml,etl/data/raw/text_documents/parl_initiative_docs/4b9d23300828c8ab7e2170337aec5da865905a1a213594f781b435bd2d205a34.bin,,,,,,
146354,senado:leg6:exp:610/000152,senado_iniciativas,"Resolución referente al Programa del Sistema Polar EUMETSAT (EPS) presentada para su adopción en la 32 Reunión del Consejo de EUMETSAT, celebrada en Darmstadt del 3 al 5 de diciembre de 1996. (610/000152)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Resolución referente al Programa del Sistema Polar EUMETSAT (EPS) presentada para su adopción en la 32 Reunión del Consejo de EUMETSAT, celebrada en Darmstadt del 3 al 5 de diciembre de 1996. (610/000152)","Resoluci�n referente al Programa del Sistema Polar EUMETSAT (EPS) presentada para su adopci�n en la 32 Reuni�n del Consejo de EUMETSAT, celebrada en Darmstadt del 3 al 5 de diciembre de 1996. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 16/03/98 17/03/98 6 610/000152 NO Urgente GOBIERNO 1 Comisi�n de Asuntos Exteriores Ciencia Medio ambiente Derecho internacional Transportes Organismos internacionales CG A 166 09/02/98 Texto de la Resoluci�n http://www.congreso.es/public_oficiales/L6/CORT/BOCG/A/A0166.PDF C Pleno y Diputaci�n Permanente Congreso 142 12/03/98 http://www.congreso.es/public_oficiales/L6/CONG/DS/PL/PC0142.PDF C Comisi�n de Asuntos Exter…",http://www.senado.es/legis6/expedientes/610/xml/INI-3-610000152.xml,etl/data/raw/text_documents/parl_initiative_docs/09b9f47f69e42c09aa5bcd8f71dc70c4c3f4b3b99600f8304af3431b3aaa0219.bin,,,,,,
146429,senado:leg6:exp:621/000136,senado_iniciativas,Proyecto de Ley de Cooperativas. (621/000136),xml,bocg,1,1,heuristic_subject_v2,0.82,1,Proyecto de Ley de Cooperativas,Proyecto de Ley de Cooperativas. (621/000136),Proyecto de Ley de Cooperativas. Aprobado con modificaciones Proyecto de Ley. 30/03/99 06/04/99 6 621/000136 NO Ordinario GOBIERNO 1 Comisi�n de Trabajo y Seguridad Social Empresa Derecho mercantil C A 125-9 15/12/98 �ndice de enmiendas al articulado http://www.congreso.es/public_oficiales/L6/CONG/BOCG/A/A0125-9.PDF C A 125-12 30/03/99 Aprobaci�n por la Comisi�n con competencia legislativa plena http://www.congreso.es/public_oficiales/L6/CONG/BOCG/A/A0125-12.PDF C A 125-13 11/06/99 Enmiendas del Senado mediante mensaje motivado http://www.congreso.es/public_oficiales/L6/CONG/BOCG/A/A0125-13.PDF C A 125-14 06/07/99 Aprobaci�n definitiva por el Congreso http://www.congreso.es/public_oficiales…,http://www.senado.es/legis6/expedientes/621/xml/INI-3-621000136.xml,etl/data/raw/text_documents/parl_initiative_docs/cd64e8f14fd10975b6c8ba6bbfa612ef67ee0ad7fb3beb35346d70f063d6070f.bin,,,,,,
146487,senado:leg6:exp:621/000154,senado_iniciativas,Proyecto de Ley de Enjuiciamiento Civil. (621/000154),xml,bocg,1,1,heuristic_subject_v2,0.82,1,Proyecto de Ley de Enjuiciamiento Civil,Proyecto de Ley de Enjuiciamiento Civil. (621/000154),Proyecto de Ley de Enjuiciamiento Civil. Aprobado con modificaciones Proyecto de Ley. 05/10/99 13/10/99 6 621/000154 NO Ordinario GOBIERNO 1 Comisi�n de Justicia Derecho civil. Foral C A 147-10 13/04/99 �ndice de enmiendas al articulado http://www.congreso.es/public_oficiales/L6/CONG/BOCG/A/A0147-10.PDF C A 147-11 18/05/99 Avocaci�n por el Pleno del debate y votaci�n http://www.congreso.es/public_oficiales/L6/CONG/BOCG/A/A0147-11.PDF C A 147-13 07/09/99 Dictamen de la Comisi�n y escritos de mantenimiento de enmiendas para su defensa ante el Pleno http://www.congreso.es/public_oficiales/L6/CONG/BOCG/A/A0147-13.PDF C A 147-14 14/09/99 Escritos de mantenimiento de enmiendas para su defensa ant…,http://www.senado.es/legis6/expedientes/621/xml/INI-3-621000154.xml,etl/data/raw/text_documents/parl_initiative_docs/488ee667fb56fc8de9edd454dd745daad1a8088afda58fb1b207f05e66bcdd70.bin,,,,,,
146509,senado:leg7:exp:610/000007,senado_iniciativas,"Protocolo sobre Privilegios e Inmunidades de la Autoridad Internacional de los Fondos Marinos, hecho en Kingston el 27 de marzo de 1998. (610/000007)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Protocolo sobre Privilegios e Inmunidades de la Autoridad Internacional de los Fondos Marinos, hecho en Kingston el 27 de marzo de 1998. (610/000007)","Protocolo sobre Privilegios e Inmunidades de la Autoridad Internacional de los Fondos Marinos, hecho en Kingston el 27 de marzo de 1998. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 11/10/00 17/10/00 7 610/000007 NO Ordinario GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho penal y penitenciario Derecho internacional Relaciones internacionales Medio ambiente C C 1 11-1 12/06/00 Iniciativa http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0011-1.PDF C C 3 11-2 05/10/00 Dictamen de la Comisi�n http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0011-2.PDF C C 5 11-3 10/10/00 Aprobaci�n por el Pleno http://www.congreso.es/public_oficiales/L7…",http://www.senado.es/legis7/expedientes/610/xml/INI-3-610000007.xml,etl/data/raw/text_documents/parl_initiative_docs/9ade519e0184d3aea1b57e2f3e8c2f17d44882b8fe4d3dddda7498d4d6475ee3.bin,,,,,,
146576,senado:leg7:exp:610/000089,senado_iniciativas,"Acta constitutiva de la Asociación de Estados Iberoamericanos para el desarrollo de las Bibliotecas Nacionales de los Países de Iberoamérica (ABINIA), hecho en Lima el 12 de octubre de 1999. (610/000089)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Acta constitutiva de la Asociación de Estados Iberoamericanos para el desarrollo de las Bibliotecas Nacionales de los Países de Iberoamérica (ABINIA), hecho en Lima el 12 de octubre de 1999. (610/000089)","Acta constitutiva de la Asociaci�n de Estados Iberoamericanos para el desarrollo de las Bibliotecas Nacionales de los Pa�ses de Iberoam�rica (ABINIA), hecho en Lima el 12 de octubre de 1999. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 03/07/01 10/07/01 7 610/000089 NO Ordinario GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho internacional Relaciones internacionales Cultura C C 1 114-1 01/06/01 Iniciativa http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0114-1.PDF C C 3 114-2 26/06/01 Dictamen de la Comisi�n http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0114-2.PDF C C 5 114-3 02/07/01 Aprobaci�n por el Pleno http://www.congreso.es…",http://www.senado.es/legis7/expedientes/610/xml/INI-3-610000089.xml,etl/data/raw/text_documents/parl_initiative_docs/fe2d71796dc94ea6a5ee687e7070901472fd72d91adbe1de92f81004a404bab1.bin,,,,,,
146578,senado:leg7:exp:610/000091,senado_iniciativas,"Protocolo facultativo de la Convención sobre los Derechos del Niño, sobre la participación de niños en conflictos armados, hecho en Nueva York el 25 de mayo de 2000 y Declaración que España va a formular en el momento de su ratificación. (610/000091)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Protocolo facultativo de la Convención sobre los Derechos del Niño, sobre la participación de niños en conflictos armados, hecho en Nueva York el 25 de mayo de 2000 y Declaración que España va a formular en el momento de su ratificación. (610/000091)","Protocolo facultativo de la Convenci�n sobre los Derechos del Ni�o, sobre la participaci�n de ni�os en conflictos armados, hecho en Nueva York el 25 de mayo de 2000 y Declaraci�n que Espa�a va a formular en el momento de su ratificaci�n. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 10/10/01 16/10/01 7 610/000091 NO Urgente GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho penal y penitenciario Derecho internacional Libertades p�blicas y derechos fundamentales Relaciones internacionales C C 1 129-1 23/07/01 Iniciativa http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0129-1.PDF C C 3 129-2 02/10/01 Dictamen de la Comisi�n http://www.congreso.es…",http://www.senado.es/legis7/expedientes/610/xml/INI-3-610000091.xml,etl/data/raw/text_documents/parl_initiative_docs/f247269bd8dd4e7f65ab73fe4b26f7764a1d7f360ecbfd22c7b061049f562076.bin,,,,,,
146579,senado:leg7:exp:610/000092,senado_iniciativas,"Protocolo facultativo de la Convención sobre los Derechos del Niño, relativo a la venta de niños, la prostitución infantil y la utilización de niños en la pornografía, hecho en Nueva York el 25 de mayo de 2000. (610/000092)",xml,bocg,1,1,heuristic_subject_v2,0.82,1,Convenios Internacionales (art�culo 94,"Protocolo facultativo de la Convención sobre los Derechos del Niño, relativo a la venta de niños, la prostitución infantil y la utilización de niños en la pornografía, hecho en Nueva York el 25 de mayo de 2000. (610/000092)","Protocolo facultativo de la Convenci�n sobre los Derechos del Ni�o, relativo a la venta de ni�os, la prostituci�n infantil y la utilizaci�n de ni�os en la pornograf�a, hecho en Nueva York el 25 de mayo de 2000. Aprobado Autorizaci�n de Convenios Internacionales (art�culo 94.1 de la Constituci�n). 10/10/01 16/10/01 7 610/000092 NO Urgente GOBIERNO 1 Comisi�n de Asuntos Exteriores Derecho penal y penitenciario Libertades p�blicas y derechos fundamentales Derecho internacional C C 1 130-1 23/07/01 Iniciativa http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0130-1.PDF C C 3 130-2 02/10/01 Dictamen de la Comisi�n http://www.congreso.es/public_oficiales/L7/CONG/BOCG/C/C0130-2.PDF C C 5 130…",http://www.senado.es/legis7/expedientes/610/xml/INI-3-610000092.xml,etl/data/raw/text_documents/parl_initiative_docs/cf6210536871fe1e0ad6f1003cd49e46f38dc296289eefffd08e544a80a2ad26.bin,,,,,,
