source_record_pk,sample_initiative_id,initiative_source_id,initiative_title,doc_format,doc_kinds_csv,initiatives_count,doc_refs_count,extractor_version,subject_method,confidence,needs_review,extracted_subject,extracted_title,extracted_excerpt,source_url,raw_path,review_status,final_subject,final_title,final_confidence,review_note,reviewer
141591,congreso:leg15:exp:121/000010/0000,congreso_iniciativas,"Proyecto de Ley de creación de la Autoridad Administrativa Independiente para la Investigación Técnica de Accidentes e Incidentes ferroviarios, marítimos y de aviación civil.",pdf,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,PROYECTOS DE LEY 1 de marzo de 2024 Núm,"Proyecto de Ley de creación de la Autoridad Administrativa Independiente para la Investigación Técnica de Accidentes e Incidentes ferroviarios, marítimos y de aviación civil.","BOLETÍN OFICIAL DE LAS CORTES GENERALES CONGRESO DE LOS DIPUTADOS XV LEGISLATURA Serie A: PROYECTOS DE LEY 1 de marzo de 2024 Núm. 10-1 Pág. 1 PROYECTO DE LEY 121/000010 Proyecto de Ley de creación de la Autoridad Administrativa Independiente para la Investigación Técnica de Accidentes e Incidentes ferroviarios, marítimos y de aviación civil. La Mesa de la Cámara, en su reunión del día de hoy, ha adoptado el acuerdo que se indica respecto del asunto de referencia. (121) Proyecto de ley. Autor: Gobierno Proyecto de Ley de creación de la Autoridad Administrativa Independiente para la Investigación Técnica de Accidentes e Incidentes ferroviarios, marítimos y de aviación civil. Acuerdo: Encomen…",https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-10-1.PDF,etl/data/raw/text_documents/parl_initiative_docs/9ebea9fbb1d9eac2f0c36c5abd46d1b907270041f20b73b0680bdc2f99f34b45.pdf,,,,,,
141592,congreso:leg15:exp:121/000012/0000,congreso_iniciativas,Proyecto de Ley por la que se regulan los servicios de atención a la clientela.,pdf,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,PROYECTOS DE LEY 8 de marzo de 2024 Núm,Proyecto de Ley por la que se regulan los servicios de atención a la clientela.,"BOLETÍN OFICIAL DE LAS CORTES GENERALES CONGRESO DE LOS DIPUTADOS XV LEGISLATURA Serie A: PROYECTOS DE LEY 8 de marzo de 2024 Núm. 12-1 Pág. 1 PROYECTO DE LEY 121/000012 Proyecto de Ley por la que se regulan los servicios de atención a la clientela. La Mesa de la Cámara, en su reunión del día de hoy, ha adoptado el acuerdo que se indica respecto del asunto de referencia. (121) Proyecto de ley. Autor: Gobierno Proyecto de Ley por la que se regulan los servicios de atención a la clientela. Acuerdo: Encomendar su aprobación con competencia legislativa plena y por el procedimiento de urgencia, conforme a los artículos 148 y 93 del Reglamento, a la Comisión de Derechos Sociales y Consumo. Asimis…",https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-12-1.PDF,etl/data/raw/text_documents/parl_initiative_docs/0060cf5028803afda7a1fa0a8cd5e32cc277ab239549d7a8dbd684bed2e62244.pdf,,,,,,
141593,congreso:leg15:exp:121/000013/0000,congreso_iniciativas,"Proyecto de Ley de creación de la Oficina Española de Derechos de Autor y Conexos, O.A.",pdf,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,PROYECTOS DE LEY 8 de marzo de 2024 Núm,"Proyecto de Ley de creación de la Oficina Española de Derechos de Autor y Conexos, O.A.","BOLETÍN OFICIAL DE LAS CORTES GENERALES CONGRESO DE LOS DIPUTADOS XV LEGISLATURA Serie A: PROYECTOS DE LEY 8 de marzo de 2024 Núm. 13-1 Pág. 1 PROYECTO DE LEY 121/000013 Proyecto de Ley de creación de la Oficina Española de Derechos de Autor y Conexos, O.A. La Mesa de la Cámara, en su reunión del día de hoy, ha adoptado el acuerdo que se indica respecto del asunto de referencia. (121) Proyecto de ley. Autor: Gobierno Proyecto de Ley de creación de la Oficina Española de Derechos de Autor y Conexos, O.A. Acuerdo: Encomendar su aprobación con competencia legislativa plena y por el procedimiento de urgencia, conforme a los artículos 148 y 93 del Reglamento, a la Comisión de Cultura. Asimismo,…",https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-13-1.PDF,etl/data/raw/text_documents/parl_initiative_docs/4fd8a62031a1cae26c8f8e80807ce4dd0dd7ccefdf958b88a42a4d05a8580d78.pdf,,,,,,
141607,congreso:leg15:exp:121/000009/0000,congreso_iniciativas,Proyecto de Ley de Movilidad Sostenible.,pdf,ds,3,3,heuristic_subject_v2,keyword_window,0.82,1,Proyecto de Ley de Movilidad Sostenible,Proposición de Ley para mejorar la calidad de vida de personas con Esclerosis Lateral Amiotrófica y otras enfermedades o procesos de alta complejidad y curso irreversible.,"CORTES GENERALES DIARIO DE SESIONES DEL CONGRESO DE LOS DIPUTADOS PLENO Y DIPUTACIÓN PERMANENTE XV LEGISLATURA Año 2024 Núm. 66 Pág. 1 PRESIDENCIA DE LA EXCMA. SRA. D.ª FRANCINA ARMENGOL SOCIAS Sesión plenaria núm. 63 celebrada el jueves 26 de septiembre de 2024 Página ORDEN DEL DÍA: Comparecencia del Gobierno ante el Pleno de la Cámara, de conformidad con lo dispuesto por el artículo 203 del Reglamento: — Comparecencia urgente de la vicepresidenta primera del Gobierno y ministra de Hacienda ante el Pleno de la Cámara, solicitada por el señor Tellado Filgueira y otros 130 diputados, para que informe sobre el sistema de financiación singular y el secesionismo fiscal que ha acordado con sus s…",https://www.congreso.es/public_oficiales/L15/CONG/DS/PL/DSCD-15-PL-66.PDF,etl/data/raw/text_documents/parl_initiative_docs/ee60a594613c7d128de461878842f1d3ae167696f928d689089f5d1e4b09971b.pdf,,,,,,
141637,congreso:leg15:exp:121/000018/0000,congreso_iniciativas,Proyecto de Ley por la que se crea la Autoridad Administrativa Independiente de Defensa del Cliente Financiero para la resolución extrajudicial de conflictos entre las entidades financieras y sus clientes.,pdf,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,PROYECTOS DE LEY 5 de abril de 2024 Núm,Proyecto de Ley por la que se crea la Autoridad Administrativa Independiente de Defensa del Cliente Financiero para la resolución extrajudicial de conflictos entre las entidades financieras y sus clientes.,"BOLETÍN OFICIAL DE LAS CORTES GENERALES CONGRESO DE LOS DIPUTADOS XV LEGISLATURA Serie A: PROYECTOS DE LEY 5 de abril de 2024 Núm. 18-1 Pág. 1 PROYECTO DE LEY 121/000018 Proyecto de Ley por la que se crea la Autoridad Administrativa Independiente de Defensa del Cliente Financiero para la resolución extrajudicial de conflictos entre las entidades financieras y sus clientes. La Mesa de la Cámara, en su reunión del día de hoy, ha adoptado el acuerdo que se indica respecto del asunto de referencia. (121) Proyecto de ley. Autor: Gobierno. Proyecto de Ley por la que se crea la Autoridad Administrativa Independiente de Defensa del Cliente Financiero para la resolución extrajudicial de conflictos e…",https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-18-1.PDF,etl/data/raw/text_documents/parl_initiative_docs/6bcc619061465cda917b473c058ec5c624864b01d2b77851cfd0eac574284bce.pdf,,,,,,
141639,congreso:leg15:exp:121/000020/0000,congreso_iniciativas,"Proyecto de Ley por la que se modifican la Ley 48/1960, de 21 de julio, sobre Navegación Aérea, y la Ley 21/2003, de 7 de julio, de Seguridad Aérea.",pdf,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,PROYECTOS DE LEY 17 de mayo de 2024 Núm,"Proyecto de Ley por la que se modifican la Ley 48/1960, de 21 de julio, sobre Navegación Aérea, y la Ley 21/2003, de 7 de julio, de Seguridad Aérea.","BOLETÍN OFICIAL DE LAS CORTES GENERALES CONGRESO DE LOS DIPUTADOS XV LEGISLATURA Serie A: PROYECTOS DE LEY 17 de mayo de 2024 Núm. 20-1 Pág. 1 PROYECTO DE LEY 121/000020 Proyecto de Ley por la que se modifican la Ley 48/1960, de 21 de julio, sobre Navegación Aérea, y la Ley 21/2003, de 7 de julio, de Seguridad Aérea. La Mesa de la Cámara, en su reunión del día de hoy, ha adoptado el acuerdo que se indica respecto del asunto de referencia. (121) Proyecto de ley. Autor: Gobierno Proyecto de Ley por la que se modifican la Ley 48/1960, de 21 de julio, sobre Navegación Aérea, y la Ley 21/2003, de 7 de julio, de Seguridad Aérea. Acuerdo: Encomendar su aprobación con competencia legislativa plena,…",https://www.congreso.es/public_oficiales/L15/CONG/BOCG/A/BOCG-15-A-20-1.PDF,etl/data/raw/text_documents/parl_initiative_docs/eb521215be2d6e7b1cfcae7c27f7d930efe7481b8e2dea299614ef8e95a9865b.pdf,,,,,,
141848,senado:leg15:exp:610/000006,senado_iniciativas,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)",other,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,Convenios Internacionales (artículo 94,"Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. (610/000006)","Actas del XXVII Congreso de la Unión Postal Universal (UPU), adoptadas en Abidjan el 27 de agosto de 2021. Autorizado Autorización de Convenios Internacionales (artículo 94.1 de la Constitución). 27-MAR-2024 02-ABR-2024 15 610/000006 NO Ordinario GOBIERNO 1 Comisión de Asuntos Exteriores Comunicación Organismos internacionales C C 1 6-1 16-FEB-2024 Acuerdo de tramitación http://www.congreso.es/public_oficiales/L15/CONG/BOCG/C/BOCG-15-C-6-1.PDF C C 1 6-2 25-MAR-2024 Dictamen de la Comisión http://www.congreso.es/public_oficiales/L15/CONG/BOCG/C/BOCG-15-C-6-2.PDF C C 1 6-3 26-MAR-2024 Aprobación por el Pleno http://www.congreso.es/public_oficiales/L15/CONG/BOCG/C/BOCG-15-C-6-3.PDF CG A 1 16 1…",https://www.senado.es/web/ficopendataservlet?legis=15&tipoFich=3&tipoEx=610&numEx=000006,etl/data/raw/text_documents/parl_initiative_docs/e413bb0f40e58710687c7aec76150113155316262d7900a6d3be09d144f1f7b1.bin,,,,,,
141849,senado:leg15:exp:610/000007,senado_iniciativas,"Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)",other,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,Convenios Internacionales (artículo 94,"Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. (610/000007)","Actas y Resoluciones del 24º Congreso de la Unión Postal de las Américas, España y Portugal (UPAEP), adoptadas en Curaçao el 22 de octubre de 2021. Autorizado Autorización de Convenios Internacionales (artículo 94.1 de la Constitución). 27-MAR-2024 02-ABR-2024 15 610/000007 NO Ordinario GOBIERNO 1 Comisión de Asuntos Exteriores Comunicación Relaciones internacionales C C 1 7-1 16-FEB-2024 Acuerdo de tramitación http://www.congreso.es/public_oficiales/L15/CONG/BOCG/C/BOCG-15-C-7-1.PDF C C 1 7-2 25-MAR-2024 Dictamen de la Comisión http://www.congreso.es/public_oficiales/L15/CONG/BOCG/C/BOCG-15-C-7-2.PDF C C 1 7-3 26-MAR-2024 Aprobación por el Pleno http://www.congreso.es/public_oficiales/L15/…",https://www.senado.es/web/ficopendataservlet?legis=15&tipoFich=3&tipoEx=610&numEx=000007,etl/data/raw/text_documents/parl_initiative_docs/c2525b11064f3da276ba023c7badf5f7465f12d84b54776189374c9956ab32ed.bin,,,,,,
141855,senado:leg12:exp:624/000003,senado_iniciativas,"Proposición de Ley de modificación de la Ley 15/2015, de 2 de julio, de Jurisdicción Voluntaria. (624/000003)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis12/enmiendas/624_000003,"Proposición de Ley de modificación de la Ley 15/2015, de 2 de julio, de Jurisdicción Voluntaria. (624/000003)",Total de enmiendas /legis12/enmiendas/624_000003.doc doc 18 RETIRADAS 2 801 1 GRUPO PARLAMENTARIO POPULAR EN EL SENADO 0 1 804 3 GRUPO PARLAMENTARIO UNIDOS PODEMOS-EN COM� PODEM-EN MAREA 0 3 805 4 GRUPO PARLAMENTARIO DE ESQUERRA REPUBLICANA 0 5 803 5 GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV) 0 7 806 7 GRUPO PARLAMENTARIO MIXTO 0 4 TOTAL 0 20,http://www.senado.es/legis12/expedientes/624/enmiendas/global_enmiendas_vetos_12_624000003.xml,etl/data/raw/text_documents/parl_initiative_docs/1a23f0e33162d46692059f0a09e53b3c93eb9e51e70cfd5358bbb2d5c87d65c5.bin,,,,,,
141856,senado:leg12:exp:624/000004,senado_iniciativas,"Proposición de Ley de modificación de la Ley 1/1996, de 10 de enero, de asistencia jurídica gratuita. (624/000004)",xml,bocg,1,1,heuristic_subject_v2,keyword_window,0.82,1,enmiendas /legis12/enmiendas/624_000004,"Proposición de Ley de modificación de la Ley 1/1996, de 10 de enero, de asistencia jurídica gratuita. (624/000004)",Total de enmiendas /legis12/enmiendas/624_000004.doc doc 37 RETIRADAS 0 804 3 GRUPO PARLAMENTARIO UNIDOS PODEMOS-EN COM� PODEM-EN MAREA 0 9 805 4 GRUPO PARLAMENTARIO DE ESQUERRA REPUBLICANA 0 15 803 5 GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV) 0 2 806 7 GRUPO PARLAMENTARIO MIXTO 0 11 TOTAL 0 37,http://www.senado.es/legis12/expedientes/624/enmiendas/global_enmiendas_vetos_12_624000004.xml,etl/data/raw/text_documents/parl_initiative_docs/262785daaf609e775bbab0ad351e883b7830acbf9685cacf43b3a6ffb2d03a78.bin,,,,,,
