link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,query,query_variant,search_url,candidate_rank,candidate_score,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_department,candidate_title,candidate_person_hint,match_institution,match_role
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,1,29,BOE-A-2003-23115,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,17/12/2003,Ministerio del Interior,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",Mariano Fernández Fernández,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,2,28,BOE-A-1997-2771,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,08/02/1997,Ministerio del Interior,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,Ventura Hernando Barberán,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,3,27,BOE-A-1996-25171,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,13/11/1996,Ministerio del Interior,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",Enriqueta Zepeda Aguilar,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,4,26,BOE-A-1990-16923,https://www.boe.es/buscar/doc.php?id=BOE-A-1990-16923,17/07/1990,Ministerio del Interior,"Resolución de 1 de julio de 1990, de la Subsecretaría, por la que se hace público el nombramiento, por el sistema de libre designación, del funcionario don Eduardo Berzosa Alonso-Martínez para el puesto de trabajo de Subdirector general adjunto de Personal de la Dirección General de Tráfico.",,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,5,25,BOE-A-1985-13094,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-13094,05/07/1985,"Ministerio de Transportes, Turismo y Comunicaciones","Orden de 28 de junio de 1985 por la que se dispone el nombramiento como Subdirector general de Tráfico Marítimo, en la Dirección General de la Marina Mercante, de don Miguel Hernández Hernández.",Miguel Hernández Hernández,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Inspección de Trabajo y Seguridad Social,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Inspecci%C3%B3n%20de%20Trabajo%20y%20Seguridad%20Social&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,1,29,BOE-A-2001-17717,https://www.boe.es/buscar/doc.php?id=BOE-A-2001-17717,19/09/2001,Ministerio de Trabajo y Asuntos Sociales,"Orden de 6 de septiembre de 2001 por la que se dispone el nombramiento, por el procedimiento de libre designación, de don Jaime Garicano Rojas como Subdirector general de Asuntos Generales de la Dirección General de la Inspección de Trabajo y Seguridad Social.",Jaime Garicano Rojas,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Inspección de Trabajo y Seguridad Social,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Inspecci%C3%B3n%20de%20Trabajo%20y%20Seguridad%20Social&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,2,28,BOE-A-1987-15212,https://www.boe.es/buscar/doc.php?id=BOE-A-1987-15212,02/07/1987,Ministerio de Trabajo y Seguridad Social,Orden de 24 de junio de 1987 por la que se dispone el nombramiento de don Angel Allue Buiza como Subdirector general de Coordinación y Planificación de la Dirección General de la Inspección de Trabajo y Seguridad Social.,Angel Allue Buiza,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Inspección de Trabajo y Seguridad Social,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Inspecci%C3%B3n%20de%20Trabajo%20y%20Seguridad%20Social&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,3,27,BOE-A-1985-12316,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-12316,27/06/1985,Ministerio de Trabajo y Seguridad Social,Orden de 3 de junio de 1985 por la que se dispone el nombramiento de don Urbano Martín Alonso como Subdirector general de Coordinación y Planificación en la Dirección General de la Inspección de Trabajo y Seguridad Social.,Urbano Martín Alonso,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Inspección de Trabajo y Seguridad Social,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Inspecci%C3%B3n%20de%20Trabajo%20y%20Seguridad%20Social&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,4,26,BOE-A-1985-11137,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-11137,14/06/1985,Ministerio de Trabajo y Seguridad Social,"Orden de 23 de mayo de 1985 por la que se dispone el nombramiento de don Alejandro Mulas García, como Subdirector general de Inspección de Relaciones Laborales y Seguridad e Higiene en la Dirección General de la Inspección de Trabajo y Seguridad Social.",Alejandro Mulas García,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Inspección de Trabajo y Seguridad Social,2,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Inspecci%C3%B3n%20de%20Trabajo%20y%20Seguridad%20Social&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,5,25,BOE-A-1984-27292,https://www.boe.es/buscar/doc.php?id=BOE-A-1984-27292,15/12/1984,Ministerio de Trabajo y Seguridad Social,"Real Decreto 2206/1984, de 12 de diciembre, por el que se dispone el nombramiento de don Juan Ignacio Moltó García como Director general de Inspección de Trabajo y Seguridad Social.",Juan Ignacio Moltó García,1,0
