link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,reasons_csv,candidate_rank_for_link,candidate_score,candidate_relevance_bucket,autofill_confidence,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_publication_date_iso,candidate_department,candidate_title,candidate_person_hint,role_token_overlap,institution_token_overlap,suggested_reviewed_designated_actor_label,suggested_reviewed_enforcement_evidence_date,suggested_reviewed_source_url,suggested_reviewed_evidence_quote,recommended_action,review_status,review_note
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,1,29,medium,medium,BOE-A-2003-23115,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,17/12/2003,2003-12-17,Ministerio del Interior,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",Mariano Fernández Fernández,0,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,2,28,medium,medium,BOE-A-1997-2771,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,08/02/1997,1997-02-08,Ministerio del Interior,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,Ventura Hernando Barberán,0,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,institutional_designated_actor,3,27,medium,medium,BOE-A-1996-25171,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,13/11/1996,1996-11-13,Ministerio del Interior,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",Enriqueta Zepeda Aguilar,0,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,1,29,medium,medium,BOE-A-2001-17717,https://www.boe.es/buscar/doc.php?id=BOE-A-2001-17717,19/09/2001,2001-09-19,Ministerio de Trabajo y Asuntos Sociales,"Orden de 6 de septiembre de 2001 por la que se dispone el nombramiento, por el procedimiento de libre designación, de don Jaime Garicano Rojas como Subdirector general de Asuntos Generales de la Dirección General de la Inspección de Trabajo y Seguridad Social.",Jaime Garicano Rojas,0,3,Jaime Garicano Rojas,,https://www.boe.es/buscar/doc.php?id=BOE-A-2001-17717,"Orden de 6 de septiembre de 2001 por la que se dispone el nombramiento, por el procedimiento de libre designación, de don Jaime Garicano Rojas como Subdirector general de Asuntos Generales de la Dirección General de la Inspección de Trabajo y Seguridad Social.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,2,28,medium,medium,BOE-A-1987-15212,https://www.boe.es/buscar/doc.php?id=BOE-A-1987-15212,02/07/1987,1987-07-02,Ministerio de Trabajo y Seguridad Social,Orden de 24 de junio de 1987 por la que se dispone el nombramiento de don Angel Allue Buiza como Subdirector general de Coordinación y Planificación de la Dirección General de la Inspección de Trabajo y Seguridad Social.,Angel Allue Buiza,0,3,Angel Allue Buiza,,https://www.boe.es/buscar/doc.php?id=BOE-A-1987-15212,Orden de 24 de junio de 1987 por la que se dispone el nombramiento de don Angel Allue Buiza como Subdirector general de Coordinación y Planificación de la Dirección General de la Inspección de Trabajo y Seguridad Social.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,missing_designated_actor,3,27,medium,medium,BOE-A-1985-12316,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-12316,27/06/1985,1985-06-27,Ministerio de Trabajo y Seguridad Social,Orden de 3 de junio de 1985 por la que se dispone el nombramiento de don Urbano Martín Alonso como Subdirector general de Coordinación y Planificación en la Dirección General de la Inspección de Trabajo y Seguridad Social.,Urbano Martín Alonso,0,3,Urbano Martín Alonso,,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-12316,Orden de 3 de junio de 1985 por la que se dispone el nombramiento de don Urbano Martín Alonso como Subdirector general de Coordinación y Planificación en la Dirección General de la Inspección de Trabajo y Seguridad Social.,review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,institutional_designated_actor,1,49,strong,high,BOE-A-2007-12769,https://www.boe.es/buscar/doc.php?id=BOE-A-2007-12769,30/06/2007,2007-06-30,Ministerio de Economía y Hacienda,"Resolución de 21 de junio de 2007, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Ejecutivo de la Delegación Especial de Andalucía, Ceuta y Melilla de don José Alberto García Valera.",José Alberto García Valera,1,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2007-12769,"Resolución de 21 de junio de 2007, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Ejecutivo de la Delegación Especial de Andalucía, Ceuta y Melilla de don José Alberto García Valera.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,institutional_designated_actor,2,48,strong,high,BOE-A-2006-2465,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-2465,14/02/2006,2006-02-14,Ministerio de Economía y Hacienda,"Resolución de 8 de febrero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Jesús Manuel Andradas Heranz, como Delegado de Planificación y Control de la Delegación Especial de la Agencia Estatal de Administración Tributaria de Madrid.",Jesús Manuel Andradas Heranz,1,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-2465,"Resolución de 8 de febrero de 2006, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento de don Jesús Manuel Andradas Heranz, como Delegado de Planificación y Control de la Delegación Especial de la Agencia Estatal de Administración Tributaria de Madrid.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal|Ministerio de Hacienda|AEAT|Delegaciones AEAT|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23186,es:boe-a-2003-23186:fragment:articulo:bloque-sancionador-principal,es:boe-a-2003-23186,BOE-A-2003-23186,AEAT,Delegacion Especial,institutional_designated_actor,3,47,strong,high,BOE-A-2004-9367,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9367,20/05/2004,2004-05-20,Ministerio de Economía y Hacienda,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial Adjunto Ejecutivo en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid de don Manuel Trillo Álvarez.",Manuel Trillo Álvarez,1,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2004-9367,"Resolución de 14 de mayo de 2004, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se dispone el nombramiento como Delegado Especial Adjunto Ejecutivo en la Delegación Especial de la Agencia Estatal de Administración Tributaria en Madrid de don Manuel Trillo Álvarez.",review_for_possible_approval,pending,
delegated_enforcement_v1|es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias|Ministerio de Hacienda|AEAT|Agencia Estatal de Administracion Tributaria|https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,es:boe-a-2003-23514:fragment:articulo:bloque-de-infracciones-tributarias,es:boe-a-2003-23514,BOE-A-2003-23514,AEAT,Direccion General de la AEAT,institutional_designated_actor,1,29,weak,low,BOE-A-2024-12397,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,19/06/2024,2024-06-19,Ministerio de Hacienda,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",,0,0,,,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-12397,"Resolución de 12 de junio de 2024, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se renueva el nombramiento de vocales de la Comisión Consultiva de Ética.",inspect_candidate,pending,
