link_key,fragment_id,norm_id,boe_id_context,delegated_institution_label,designated_role_title,query,query_variant,search_url,candidate_rank,candidate_score,candidate_boe_id,candidate_doc_url,candidate_publication_date,candidate_department,candidate_title,candidate_person_hint,match_institution,match_role
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,"nombramiento ""Dirección General de Tráfico""",13,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",1,29,BOE-A-2003-23115,https://www.boe.es/buscar/doc.php?id=BOE-A-2003-23115,17/12/2003,Ministerio del Interior,"Orden INT/3514/2003, de 5 de diciembre, por la que se dispone el nombramiento de don Mariano Fernández Fernández como Subdirector General de Normativa y Recursos de la Dirección General de Tráfico.",Mariano Fernández Fernández,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,"nombramiento ""Dirección General de Tráfico""",13,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",2,28,BOE-A-1997-2771,https://www.boe.es/buscar/doc.php?id=BOE-A-1997-2771,08/02/1997,Ministerio del Interior,Orden de 24 de enero de 1997 por la que se dispone el nombramiento de don Ventura Hernando Barberán como Subdirector general de Legislación y Recursos de la Dirección General de Tráfico.,Ventura Hernando Barberán,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,"nombramiento ""Dirección General de Tráfico""",13,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",3,27,BOE-A-1996-25171,https://www.boe.es/buscar/doc.php?id=BOE-A-1996-25171,13/11/1996,Ministerio del Interior,"Orden de 29 de octubre de 1996 por la que se dispone el nombramiento de doña Enriqueta Zepeda Aguilar, como Secretaría general, de la Dirección General de Tráfico.",Enriqueta Zepeda Aguilar,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,"nombramiento ""Dirección General de Tráfico""",13,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",4,26,BOE-A-1990-16923,https://www.boe.es/buscar/doc.php?id=BOE-A-1990-16923,17/07/1990,Ministerio del Interior,"Resolución de 1 de julio de 1990, de la Subsecretaría, por la que se hace público el nombramiento, por el sistema de libre designación, del funcionario don Eduardo Berzosa Alonso-Martínez para el puesto de trabajo de Subdirector general adjunto de Personal de la Dirección General de Tráfico.",,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,"nombramiento ""Dirección General de Tráfico""",13,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",5,25,BOE-A-1983-28146,https://www.boe.es/buscar/doc.php?id=BOE-A-1983-28146,26/10/1983,Ministerio del Interior,Orden de 13 de octubre de 1983 por la que se dispone el nombramiento de don Miguel María Muñoz Medina como Subdirector general de Circulación y Seguridad Vial de la Dirección General de Tráfico.,Miguel María Muñoz Medina,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,"nombramiento ""Dirección General de Tráfico""",13,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",6,24,BOE-A-1983-26523,https://www.boe.es/buscar/doc.php?id=BOE-A-1983-26523,06/10/1983,Ministerio del Interior,Orden de 29 de septiembre de 1983 por la que se dispone el nombramiento de doña María Isabel Herrarte del Alamo como Subdirectora general de Servicios de la Dirección General de Tráfico.,María Isabel Herrarte del Alamo,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,14,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,7,23,BOE-A-1985-13094,https://www.boe.es/buscar/doc.php?id=BOE-A-1985-13094,05/07/1985,"Ministerio de Transportes, Turismo y Comunicaciones","Orden de 28 de junio de 1985 por la que se dispone el nombramiento como Subdirector general de Tráfico Marítimo, en la Dirección General de la Marina Mercante, de don Miguel Hernández Hernández.",Miguel Hernández Hernández,1,0
delegated_enforcement_v1|es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador|Ministerio competente en trafico|DGT|Unidad sancionadora DGT|https://www.boe.es/buscar/act.php?id=BOE-A-1994-8985,es:boe-a-1994-8985:fragment:articulo:bloque-procedimental-sancionador,es:boe-a-1994-8985,BOE-A-1994-8985,DGT,Subdireccion de Gestion de Sanciones,nombramiento Dirección General de Tráfico,14,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Direcci%C3%B3n%20General%20de%20Tr%C3%A1fico&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,8,22,BOE-A-1976-22164,https://www.boe.es/buscar/doc.php?id=BOE-A-1976-22164,05/11/1976,Ministerio de Comercio,Orden de 30 de septiembre de 1976 sobre nombramiento de Subdirector general de Tráfico Marítimo de la Dirección General de Navegación a don José María Moréu Curbera.,,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,"nombramiento ""Jefe de Inspeccion""",3,"https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20""Jefe%20de%20Inspeccion""&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc",1,29,BOE-A-1988-24053,https://www.boe.es/buscar/doc.php?id=BOE-A-1988-24053,19/10/1988,Ministerio de Asuntos Sociales,Orden de 14 de octubre de 1988 por la que se dispone el nombramiento de don Miguel José Sanz Aranda como Jefe de Inspección General de Servicios.,Miguel José Sanz Aranda,1,0
delegated_enforcement_v1|es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral|Ministerio de Trabajo|Inspeccion de Trabajo y Seguridad Social||https://www.boe.es/buscar/act.php?id=BOE-A-2000-15060,es:boe-a-2000-15060:fragment:articulo:bloque-de-tipificacion-laboral,es:boe-a-2000-15060,BOE-A-2000-15060,Inspeccion de Trabajo y Seguridad Social,Jefatura de Inspeccion,nombramiento Jefe de Inspeccion,4,https://www.boe.es/buscar/boe.php?campo[1]=TITULOS&dato[1]=nombramiento%20Jefe%20de%20Inspeccion&accion=Buscar&sort_field[0]=FPU&sort_order[0]=desc,2,28,BOE-A-2006-5093,https://www.boe.es/buscar/doc.php?id=BOE-A-2006-5093,21/03/2006,Ministerio de Defensa,"Orden DEF/795/2006, de 13 de marzo, por la que se dispone el nombramiento como Segundo Jefe de la Dirección de Infraestructura de la Inspección General del Ejército de Tierra, del General de Brigada del Cuerpo de Ingenieros Politécnicos don Gabriel Sierra Escriche.",,1,0
